returned_spotify_id,spotify_name,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,population
3e7awlrlDSwF3iM0WBjGMp,Little Mix,12405563,14779473,strict,UK001F,London,12274097
3RGLhK1IP9jnYFH4BRFJBS,The Clash,3508323,14589467,strict,UK001F,London,12274097
3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,6882187,14381934,strict,UK001F,London,12274097
7MhMgCo0Bl0Kukl93PZbYS,Blur,4274924,14009757,strict,UK001F,London,12274097
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,7131475,13707032,strict,UK010F,Sheffield,1168389
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,3465980,13274460,strict,UK550F,Dundee City,261740
0uq5PttqEjj3IH1bzwcrXF,Spice Girls,4560204,12877807,strict,UK001F,London,12274097
3ICflSq6ZgYAIrm2CTkfVP,The Animals,2812173,12324330,strict,UK013F,Newcastle,1173303
4WN5naL3ofxrVBgFpguzKo,Rudimental,1462225,11737472,strict,UK001F,London,12274097
5T4UKHhr4HGIC0VzdZQtAE,Faithless,796754,11726956,strict,UK001F,London,12274097
5EehXjjMktLuJmbRsM7YfB,Disciples,299331,11691137,strict,UK001F,London,12274097
59oA5WbbQvomJz2BuRG071,Jungle,1886516,11614048,strict,UK001F,London,12274097
5jTtGLk1mGFMY5lQOvJYUj,bôa,1380058,11444869,strict,UK001F,London,12274097
3cniTumSiUysiPWXapGx1i,Cutting Crew,628518,10972839,strict,UK001F,London,12274097
0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,3218082,10807735,strict,UK004F,Glasgow,1831890
6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,6056540,10792689,strict,UK010F,Sheffield,1168389
2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,2426999,10634217,strict,UK001F,London,12274097
6waa8mKu91GjzD4NlONlNJ,The Hollies,1450461,10112715,strict,UK008F,Manchester,3432092
5lpH0xAS4fVfLkACg9DAuM,Wham!,3400543,10018855,strict,UK001F,London,12274097
536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,2655723,9884423,strict,UK012F,Belfast,803943
0RUEHcBiENFEqxgicqS2ig,The Stranglers,862339,9836875,strict,UK033F,Guildford,272893
6hN9F0iuULZYWXppob22Aj,Simple Minds,2504682,9628717,strict,UK004F,Glasgow,1831890
2wpWOzQE5TpA0dVnh5YD08,Bronski Beat,730877,9566679,strict,UK001F,London,12274097
4Ly0KABsxlx4fNj63zJTrF,Seafret,1149369,9520023,strict,UK026F,Hull,609661
3CkvROUTQ6nRi9yQOcsB50,Genesis,3958098,9434858,strict,UK033F,Guildford,272893
2urZrEdsq72kx0UzfYN8Yv,Spandau Ballet,1587103,9335819,strict,UK001F,London,12274097
69MEO1AADKg1IZrq2XLzo5,UB40,2783787,9327767,strict,UK002F,Birmingham,3135994
1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,2435363,9143502,strict,UK008F,Manchester,3432092
1fa0cOhromAZdq2xRA4vv8,Simply Red,2960800,9097250,strict,UK008F,Manchester,3432092
6J7biCazzYhU3gM9j1wfid,Jamiroquai,3053662,9068742,strict,UK001F,London,12274097
6mdiAmATAx73kdxrNrnlao,Iron Maiden,10931269,9029433,strict,UK001F,London,12274097
6xeFne1rkxMhKSW3ipvkdV,Toploader,146489,8829850,strict,UK055F,Eastbourne,101601
0yNLKJebCb8Aueb54LYya3,New Order,2651294,8786188,strict,UK008F,Manchester,3432092
6FXMGgJwohJLUSr5nVlf9X,Massive Attack,2943616,8692931,strict,UK011F,Bristol,979556
67ea9eGLXYMsO2eYQRui3w,The Who,6100346,8659112,strict,UK001F,London,12274097
5VadK1havLhK1OpKYsXv9y,D-Block Europe,1930307,8351560,strict,UK001F,London,12274097
3XHO7cRUPCLOr6jwp8vsx5,alt-J,3499216,8110938,strict,UK003F,Leeds,2969034
4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,384886,7999321,strict,UK002F,Birmingham,3135994
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,2958309,7864488,strict,UK001F,London,12274097
3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,4214119,7695790,strict,UK001F,London,12274097
5cIc3SBFuBLVxJz58W2tU9,Oh Wonder,1128715,7552797,strict,UK001F,London,12274097
2nm38smINjms1LtczR0Cei,Goodboys,130149,7292613,strict,UK001F,London,12274097
2NhdGz9EDv2FeUw6udu2g1,The Wanted,2480552,7143333,strict,UK001F,London,12274097
6kz53iCdBSqhQCZ21CoLcc,Culture Club,1913999,7076755,strict,UK001F,London,12274097
568ZhdwyaiCyOGJRtNYhWf,Deep Purple,6229490,6998809,strict,UK001F,London,12274097
1GLtl8uqKmnyCWxHmw9tL4,The Kooks,2737101,6950019,strict,UK515F,Brighton and Hove,441252
3K2zB87GZv1krx031en5VA,La Roux,712440,6858904,strict,UK001F,London,12274097
6i6WlGzQtXtz7GcC5H5st5,10cc,952868,6808182,strict,UK008F,Manchester,3432092
240wlM8vDrf6S4zCyzGj2W,CamelPhat,572358,6543464,strict,UK006F,Liverpool,1540817
1XgFuvRd7r5g0h844A5ZUQ,Take That,1517488,6539015,strict,UK008F,Manchester,3432092
3UbyYnvNIT5DFXU4WgiGpP,Whitesnake,3532823,6249726,strict,UK559F,Middlesbrough,570155
7gAppWoH7pcYmphCVTXkzs,The Vamps,5952843,6167219,strict,UK001F,London,12274097
1aX2dmV8XoHYCOQRxjPESG,The Human League,1370364,6085844,strict,UK010F,Sheffield,1168389
2VAnyOxzJuSAj7XIuEOT38,AlunaGeorge,456793,6010368,strict,UK001F,London,12274097
6liAMWkVf5LH7YR9yfFy1Y,Portishead,2540792,5958911,strict,UK011F,Bristol,979556
6MUyqmIQ35inLjch0YzIEG,Frou Frou,419619,5930276,strict,UK001F,London,12274097
6aq8T2RcspxVOGgMrTzjWc,Soft Cell,869007,5766246,strict,UK003F,Leeds,2969034
7bPU7cvfoD20ixGD9Qnqki,Stealers Wheel,253056,5726001,strict,UK004F,Glasgow,1831890
2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,171867,5671000,strict,UK017F,Cambridge,396189
0HxX6imltnNXJyQhu4nsiO,LF SYSTEM,113693,5611864,strict,UK007F,Edinburgh,893610
13ccXrK7AmXb4TddMkE7jy,Everything But The Girl,480010,5607393,strict,UK026F,Hull,609661
47Z8LEl3LnQkcpva0xSthT,The La's,320009,5581915,strict,UK006F,Liverpool,1540817
3iOvXCl6edW5Um0fXEBRXy,The xx,3911861,5459918,strict,UK001F,London,12274097
20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,1018624,5309505,strict,UK002F,Birmingham,3135994
21UJ7PRWb3Etgsu99f8yo8,Stereophonics,1843050,5187258,strict,UK009F,Cardiff,905859
78SHxLdtysAXgywQ4vE0Oa,Bush,2264067,5127264,strict,UK001F,London,12274097
5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,1683661,5124023,strict,UK551F,Falkirk,158760
2jgPkn6LuUazBoBk6vvjh5,The Zombies,1164571,5025277,strict,UK001F,London,12274097
