popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
538,231kUXNyI5BYxIvZacVbCu,Levitation,Q6535703,7922,260389,Levitation (band),ok,4646,12,strict,UK001F,London,True,3.8988348380682742,3.6670792054642165,3.821297971673432,-0.15421876620921537,909.0,879.0
539,5HAtRoEPUvGSA7ziTGB1cF,The Orb,Q924993,214298,260320,The Orb,ok,81991,12,strict,UK001F,London,True,5.33101811787796,4.913766183300156,4.84542490313845,0.06834128016170649,398.0,415.0
540,3cqIsBnzV3BabbPWKz8Txf,Mud,Q1471676,92756,259860,Mud (band),ok,123760,12,strict,UK001F,London,True,4.967342011900145,5.092580300691311,4.58536706018437,0.5072132405069407,590.0,315.0
541,4UwR1ir6PovnQiwX5jRPvF,Anti Up,Q113199573,52163,259333,,no_enwiki_article,0,0,excluded_no_defensible_fua,,,False,,,,,,
542,3IXtskFMls8KXRipcIJT9y,AS IT IS,Q19654688,161720,259244,As It Is (band),ok,29284,12,excluded_no_defensible_fua,,,False,5.2087637326616365,4.466630398181393,4.758003125384995,-0.2913727272036022,456.0,650.0
543,3Z7thZHrtFvqp8OpPffPKp,Propellerheads,Q1426055,173478,258314,Propellerheads,ok,36384,12,excluded_no_defensible_fua,,,False,5.239244406594255,4.560910443007641,4.779799273618025,-0.21888883061038378,440.0,608.0
544,3cohAS2UQTaOo80kCn8qjT,Ten Fé,Q56757496,50901,257636,,no_enwiki_article,0,0,excluded_no_defensible_fua,,,False,,,,,,
545,2qV7axHq9Jk7QqFcB3f05A,The Zutons,Q1142296,160719,254373,The Zutons,ok,72341,12,strict,UK006F,Liverpool,True,5.206067221551088,4.859384507901965,4.756074901750326,0.10330960615163942,458.0,445.0
546,6ydvoGN30eRfE78bjTANF7,Sad Night Dynamite,Q128482668,83934,253077,,not_captured,0,0,excluded_no_defensible_fua,,,False,,,,,,
547,5ZfzzHE7rxONfoksJsLXrX,Bucks Fizz,Q839831,70385,252247,Bucks Fizz,ok,175484,12,excluded_no_defensible_fua,,,False,4.847480114947017,5.244237525197968,4.499656105129445,0.7445814200685232,656.0,234.0
548,7sYipTRgDXS2JVOPEhRutx,Portico Quartet,Q3399302,213988,251925,Portico Quartet,ok,19607,12,strict,UK001F,London,True,5.33038941970477,4.292411148837825,4.844975333072939,-0.5525641842351137,399.0,722.0
