popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
509,7EV6jW6dotBdvsHj6xPixi,The Divine Comedy,Q1543686,174650,291037,The Divine Comedy (band),ok,147066,12,excluded_no_defensible_fua,,,False,5.242168589973666,5.167512280347374,4.781890301347238,0.3856219790001365,439.0,270.0
510,6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,Q1256943,38450,290650,Peter and Gordon,ok,107096,12,excluded_no_defensible_fua,,,False,4.58489634413745,5.0297732503802335,4.311887461798089,0.7178857885821444,781.0,349.0
511,45FqwUG4hTT6d39r2HUsUe,Sea Girls,Q3476673,161623,289846,Sea Girls,ok,11247,12,strict,UK001F,London,True,5.208503163754882,4.051036695141213,4.757816797532498,-0.706780102391285,457.0,807.0
512,19f2JXwlRU26376TCKmp6L,GoGo Penguin,Q18151740,295895,289811,GoGo Penguin,ok,39093,12,strict,UK008F,Manchester,True,5.471137626563959,4.59209899950497,4.945621689745291,-0.3535226902403208,331.0,586.0
513,3oxkIoEAyXXQlLTZXlffLJ,Zola Blood,Q64832876,87001,286256,Zola Blood,ok,4584,12,excluded_no_defensible_fua,,,False,4.939524244480526,3.6612446089593336,4.5654751055796154,-0.9042304966202819,602.0,880.0
514,66GWpx9iLxrvvfhDsG9STP,Inspiral Carpets,Q500492,169178,285082,Inspiral Carpets,ok,137964,12,strict,UK008F,Manchester,True,5.228343886481907,5.139765777408489,4.772004519712286,0.3677612576962037,447.0,283.0
515,4K3NWDwBIxgktui14SccR2,The Vapors,Q1504687,63462,284360,The Vapors,ok,61317,12,strict,UK033F,Guildford,True,4.802513754736926,4.787580898378723,4.467501519085659,0.3200793792930634,683.0,486.0
516,0GShYlUdyLahdsvgKdselx,Bad Manners,Q798739,175516,283186,Bad Manners,ok,74045,12,strict,UK001F,London,True,5.244316712796027,4.869495737459201,4.783426382982521,0.08606935447668018,437.0,440.0
517,31DXlldabwPHwu6dYevuzK,Simian Mobile Disco,Q585470,182922,281669,Simian Mobile Disco,ok,23735,12,strict,UK001F,London,True,5.262265941146297,4.375389236054379,4.796261533630956,-0.42087229757657685,428.0,687.0
518,7DEseTqRODmSu3C7jxCHl5,The Boxer Rebellion,Q1633685,126547,280654,The Boxer Rebellion (band),ok,27577,12,strict,UK001F,London,True,5.10225185396769,4.440547019116441,4.681838513614147,-0.24129149449770537,521.0,662.0
519,0roeI3yPusDWwWRzAqTopw,Jesus Jones,Q4387765,66527,280634,Jesus Jones,ok,71026,12,excluded_no_defensible_fua,,,False,4.822997939606854,4.851417357022564,4.482149368763941,0.36926798825862317,668.0,453.0
520,1GWV70Reko15eV2nHCm0bM,The Blue Nile,Q1970440,109768,278387,The Blue Nile (band),ok,102671,12,strict,UK004F,Glasgow,True,5.040475751325913,5.011447792005194,4.637663601556244,0.3737841904489505,547.0,358.0
521,2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,Q1141454,252497,278011,The Dave Clark Five,ok,174075,12,strict,UK001F,London,True,5.402256222489588,5.240736403847618,4.896365912231214,0.3443704916164032,370.0,237.0
522,3qQloBz05T6e0rKubNCmjG,Young Gun Silver Fox,Q100599254,77208,276802,Young Gun Silver Fox,ok,34006,12,excluded_no_defensible_fua,,,False,4.887662302613576,4.531555550483368,4.52838962068897,0.0031659297943980036,641.0,624.0
523,0aTdKgInKeMlNnwWSa1YPT,OceanLab,Q1971039,83360,276395,OceanLab,ok,10191,12,strict,UK001F,London,True,4.920957705955449,4.008216801589691,4.5521985282059845,-0.5439817266162938,614.0,815.0
524,51Eq6WMVEOjjx9KQMAnneG,The Cribs,Q1146764,212021,276100,The Cribs,ok,78525,12,strict,UK003F,Leeds,True,5.326378878534612,4.895007945070542,4.842107471619722,0.05290047345082005,400.0,424.0
525,3VQXCMRCSzdKek71OkAL3Q,World News,Q135966902,17710,276065,World News (band),no_pageview_data,0,0,strict,UK001F,London,True,,,,,,
526,2i8ynmFv4qgRksyDlBgi6d,Wire,Q1135620,240002,272502,Wire (band),ok,110223,12,strict,UK001F,London,True,5.380214860817209,5.042272227282038,4.880604555138815,0.1616676721432233,379.0,343.0
527,14GEKKALFIO2oB9IdGXg2e,Reverend And The Makers,Q2146848,95993,271305,Reverend and the Makers,ok,102124,12,strict,UK010F,Sheffield,True,4.982239564579003,5.009127816942105,4.596020015798657,0.4131078011434486,579.0,360.0
528,191Koh7PSIi28IrGAGoINO,Reef,Q652420,68741,269572,Reef (band),ok,54543,12,excluded_no_defensible_fua,,,False,4.837215845684869,4.736739021533997,4.492316322064409,0.24442269946958817,665.0,512.0
529,3q7uty73JMtjzCSJdGQD7B,Cinnamon Chasers,Q2669700,52546,269301,,no_enwiki_article,0,0,excluded_no_defensible_fua,,,False,,,,,,
530,5pL8Q5xbDLEDE6JvYMXX9u,Nu:Logic,Q7067693,41401,269288,Nu:Logic,ok,1873,12,strict,UK017F,Cambridge,True,4.617010831199084,3.2725377773752373,4.334851918619827,-1.0623141412445896,771.0,911.0
531,2bt3I0VkmYuPvP57sxokab,Stiff Little Fingers,Q1538935,236374,266703,Stiff Little Fingers,ok,115170,12,strict,UK012F,Belfast,True,5.373599704537811,5.061339366837068,4.875874183127712,0.18546518370935594,382.0,332.0
532,1DlbW0TOOja6uqR4CHAaeg,Grace,Q5590943,9154,266321,Grace (group),ok,6432,12,excluded_no_defensible_fua,,,False,3.9616109080912807,3.808346035740395,3.866187941322175,-0.05784190558178004,902.0,860.0
533,7KnaZr690xW0sCihF9Z8oP,lostprophets,Q18852,179652,264396,Lostprophets,ok,1303745,12,strict,UK009F,Cardiff,True,5.254432056409184,6.115192655872498,4.790659672158075,1.3245329837144233,434.0,18.0
534,5fEKZRCUa0JApec5Xy095q,Moose Blood,Q18712447,194936,263954,Moose Blood,ok,14653,12,excluded_no_defensible_fua,,,False,5.289892050290489,4.165926549609097,4.816016437060577,-0.6500898874514807,413.0,778.0
535,194g4SFwSSzyPtgkH7v3Cx,After The Fire,Q389095,24888,261736,After the Fire,ok,32342,12,strict,UK001F,London,True,4.395989998100647,4.509766872778387,4.1768041388545,0.3329627339238872,847.0,634.0
536,52K4ArhA4OgMO7AsyEgqCT,Bow Wow Wow,Q895390,131599,261338,Bow Wow Wow,ok,197498,12,strict,UK001F,London,True,5.119252589155353,5.295562702021407,4.693995414903139,0.601567287118268,511.0,214.0
537,2qsc1hUhG2UrNZhByveJ6x,Danny Wilson,Q365099,29191,260573,Danny Wilson (band),ok,39016,12,strict,UK550F,Dundee City,True,4.465248972927137,4.59124274258351,4.226329910007821,0.36491283257568874,829.0,587.0
