popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,monthly_listeners,followers,wikidata_name,inception_year,genre_qids,genre_labels,genre_families,record_label_qids,record_label_names,member_qids,member_names,enwiki_title,mapping_tier,fua_code,study_city_label,population,mapped_fua,has_genre,has_inception_year,formation_decade
472,30tUlKZ8oLo0BnN6n0GZKD,Nuages,Q59418184,303990,100431,Nuages,2012.0,,,,,,,,,excluded_no_defensible_fua,,,,False,False,True,2010
473,5lhaM01nwvsMZpmPY2HVER,Carcass,Q283835,303826,495994,Carcass,1985.0,Q1147692|Q188534|Q253918|Q483251,death metal|goregrind|grindcore|melodic death metal,Metal|Other genres,Q158886|Q838544,Earache Records|Nuclear Blast,Q119465|Q373669|Q704663|Q713496,Bill Steer|Jeffrey Walker|Ken Owen|Michael Amott,Carcass (band),strict,UK006F,Liverpool,1540817.0,True,True,True,1980
474,2pVMD4bFwl4AyoYyyo51Qg,Barclay James Harvest,Q807957,303511,187986,Barclay James Harvest,1966.0,Q49451,progressive rock,Rock and indie,Q1324712|Q208909,Harvest|Parlophone,Q153346,Mel Pritchard,Barclay James Harvest,strict,UK008F,Manchester,3432092.0,True,True,True,1960
475,4IdvJZeciaa37wYr2qBpjm,Cliff Richard & The Shadows,Q46510292,303431,118840,Cliff Richard & The Shadows,,,,,,,Q212168|Q82238,Cliff Richard,,excluded_no_defensible_fua,,,,False,False,False,
476,3H7pODXycF821OnRyAw2VT,911,Q3648767,302164,186144,911,1995.0,Q37073,pop music,"Pop, soul and R&B",Q203059,Virgin Records,Q6513136,Lee Brennan,911 (group),excluded_no_defensible_fua,,,,False,True,True,1990
477,1sAkg8871iPVI0wPbOfIZa,Fairground Attraction,Q238641,301377,48326,Fairground Attraction,1987.0,Q37073,pop music,"Pop, soul and R&B",Q202585,RCA Records,Q443837,Eddi Reader,Fairground Attraction,excluded_no_defensible_fua,,,,False,True,True,1980
478,4Bgfzia8wyaGaTn42egzTv,Catatonia,Q1050456,301265,90480,Catatonia,1992.0,Q11366|Q3231749,alternative rock|post-Britpop,"Pop, soul and R&B|Rock and indie",Q881469,Blanco y Negro,Q15513325|Q291300,Cerys Matthews|Mark Roberts,Catatonia (band),strict,UK009F,Cardiff,905859.0,True,True,True,1990
479,52y1cRHUkI0kQqIXCg6JuZ,Johnny Kidd & The Pirates,Q6669284,300280,37258,Johnny Kidd & the Pirates,1959.0,Q7749,rock and roll,Rock and indie,Q56762278,His Master's Voice,Q4706303,Alan Caddy,Johnny Kidd & the Pirates,strict,UK001F,London,12274097.0,True,True,True,1950
480,4AbDWrmJPSOeIbT2Ou60ik,Funeral For A Friend,Q916973,298448,268224,Funeral for a Friend,2001.0,Q10926|Q377910|Q542703,emo|melodic hardcore|post-hardcore,Other genres|Punk and new wave,Q107296709|Q18628|Q202440|Q28370520|Q6844096,Atlantic Records|Distiller|End Hits Records|Mighty Atom Records|Roadrunner Records,,,Funeral for a Friend,excluded_no_defensible_fua,,,,False,True,True,2000
481,4Q6EFOghPrRjdwsF4p7Nzm,Nailbomb,Q1470712,297670,203781,Nailbomb,1994.0,Q208494|Q483352,industrial metal|thrash metal,Metal,Q18628,Roadrunner Records,Q307391,Max Cavalera,Nailbomb,excluded_no_defensible_fua,,,,False,True,True,1990
