popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,monthly_listeners,followers,wikidata_name,inception_year,genre_qids,genre_labels,genre_families,record_label_qids,record_label_names,member_qids,member_names,enwiki_title,mapping_tier,fua_code,study_city_label,population,mapped_fua,has_genre,has_inception_year,formation_decade
535,6EK2381dTQEvcn3KrnMOWQ,Uniting Nations,Q1476064,251123,11305,Uniting Nations,,Q949369,funky house,"Pop, soul and R&B",Q5621680,Gut Records,Q7151722,Paul Keenan,Uniting Nations,strict,UK006F,Liverpool,1540817.0,True,True,False,
536,7DruTvBV7owt1aSAZHsU58,Viola Beach,Q22712305,245749,146142,Viola Beach,2013.0,Q183504|Q842324,indie pop|indie rock,"Pop, soul and R&B|Rock and indie",,,Q124313388|Q22807086,Kris Leonard|Tomas Lowe,Viola Beach,strict,UK531F,Warrington,211182.0,True,True,True,2010
537,4KlYg0F5KG9QNDFKaeTNAy,VNV Nation,Q727124,245699,225268,VNV Nation,1990.0,Q1298934|Q372103|Q4736507|Q487965|Q828243,alternative electronic|electronic body music|futurepop|industrial music|synth-pop,"Electronic and dance|Pop, soul and R&B",Q2545760|Q4439915,Dependent Records|Wax Trax! Records,Q6768221|Q7365464,Mark Jackson|Ronan Harris,VNV Nation,strict,UK001F,London,12274097.0,True,True,True,1990
538,7hqZBHSgDs1odG9aupMzEI,Big Audio Dynamite,Q239474,244576,159697,Big Audio Dynamite,1984.0,Q598929,post-punk,Punk and new wave,Q330629,Sony Music,Q357310,Mick Jones,Big Audio Dynamite,strict,UK001F,London,12274097.0,True,True,True,1980
539,2VL8sLEJ6lHEwocjc1pN9w,The Tremeloes,Q177364,239363,158758,The Tremeloes,1958.0,Q484641,pop rock,"Pop, soul and R&B",Q183387|Q216364|Q557632,Columbia Records|Decca|Epic Records,Q100448153|Q112438121|Q16013582,Alan Blakley|Dave Munden|Len Hawkes,The Tremeloes,excluded_no_defensible_fua,,,,False,True,True,1950
540,2IkHcHKErbWa0TA14yHkbl,Dirty Vegas,Q1228291,237782,57837,Dirty Vegas,2001.0,Q817138,electronica,Electronic and dance,Q3629023,EMI Records,,,Dirty Vegas,excluded_no_defensible_fua,,,,False,True,True,2000
541,2RiGIRDi4GoJpDbjDnPVJl,Sylosis,Q1631741,236596,189903,Sylosis,2000.0,Q253918|Q483352,melodic death metal|thrash metal,Metal,Q158886,Nuclear Blast,,,Sylosis,strict,UK552F,Reading,351602.0,True,True,True,2000
542,5OK8j1JnhoBlivN32G7yOO,This Mortal Coil,Q1754136,236565,200368,This Mortal Coil,1983.0,Q592330,dream pop,"Pop, soul and R&B",Q238095,4AD,Q948832,Ivo Watts-Russell,This Mortal Coil,excluded_no_defensible_fua,,,,False,True,True,1980
543,4qobOrZpdUri80gScwsHfs,Bondax,Q15528102,235766,111883,Bondax,,Q5510816,future garage,Other genres,,,,,Bondax,excluded_no_defensible_fua,,,,False,True,False,
544,2CxLP749mup3ncPrXgCnvU,Humble Pie,Q664459,234347,375622,Humble Pie,1969.0,Q83270,hard rock,Rock and indie,Q1397901|Q1431331|Q277626|Q585643,A&M Records|Atco Records|Cleopatra Records|Immediate Records,Q1544975|Q337089|Q4935625|Q506950|Q5228572|Q6184433,Bobby Tench|Dave Colwell|Greg Ridley|Jerry Shirley|Peter Frampton|Steve Marriott,Humble Pie,strict,UK001F,London,12274097.0,True,True,True,1960
545,41yDmxekjnWShKi6nRmzZ4,Rivers & Robots,Q22080889,233180,136616,Rivers & Robots,2010.0,Q1339121,contemporary worship music,Other genres,,,,,Rivers & Robots,excluded_no_defensible_fua,,,,False,True,True,2010
546,0ZUyFEafMwocvApBjTXvdo,This Is The Kit,Q15044932,229902,129605,This Is The Kit,2003.0,Q11366,alternative rock,Rock and indie,Q4957951,Brassland Records,,,This Is the Kit,excluded_no_defensible_fua,,,,False,True,True,2000
547,1TrwMxRrrlk0hZxJkw4jUF,Levellers,Q1380135,228842,94240,Levellers,1988.0,Q186472|Q2614533|Q2662148,British folk rock|Celtic rock|folk rock,Other genres|Rock and indie,Q3328555,Musidisc,,,Levellers (band),strict,UK515F,Brighton and Hove,441252.0,True,True,True,1980
548,7n1EM42Fseebd9H2p8eWWS,New Model Army,Q1501951,226980,124775,New Model Army,1980.0,Q1425661|Q186472|Q20378|Q3071|Q485395|Q598929,alternative metal|folk punk|folk rock|gothic rock|post-punk|punk rock,Metal|Other genres|Punk and new wave,Q118683261|Q216364|Q373246|Q55965015|Q56641820,Abstract Sounds|Attack Attack|EMI|Eagle Records|Epic Records,,,New Model Army (band),strict,UK003F,Leeds,2969034.0,True,True,True,1980
549,3gnrmLahFhVXRI9DA1MImH,We Were Promised Jetpacks,Q1488607,226591,142629,We Were Promised Jetpacks,,Q183504,indie rock,Rock and indie,Q2589723,FatCat Records,,,We Were Promised Jetpacks,strict,UK007F,Edinburgh,893610.0,True,True,False,
550,6C0JkmxU2cgkVzotHJgfW7,Athlete,Q580268,225403,142136,Athlete,2000.0,Q183504,indie rock,Rock and indie,Q1200368|Q208909,Astralwerks|Parlophone,Q6213853,Joel Pott,Athlete (band),strict,UK001F,London,12274097.0,True,True,True,2000
551,4W2dcPOyD7eSfJCPHCfwoA,Living In A Box,Q1866528,223338,94130,Living in a Box,1985.0,Q1298934|Q164444|Q187760|Q264289|Q37073|Q885561,blue-eyed soul|funk|new wave|pop music|sophisti-pop|synth-pop,"Electronic and dance|Pop, soul and R&B|Punk and new wave",Q1088453,Chrysalis Records,Q16193538|Q6391227,Kenny Thomas|Richard Darbyshire,Living in a Box,strict,UK010F,Sheffield,1168389.0,True,True,True,1980
552,3SUI6pbPumjijbLHHY6vss,The Temperance Movement,Q14957024,223097,80272,The Temperance Movement,2011.0,Q193355|Q83270,blues rock|hard rock,Rock and indie,Q5158829|Q838544,Concord|Earache Records,,,The Temperance Movement (band),excluded_no_defensible_fua,,,,False,True,True,2010
553,6DKmuXxXASTF6xaJwcTfjv,Spiritualized,Q1144015,222247,285400,Spiritualized,1990.0,Q206159|Q236913,psychedelic rock|space rock,Rock and indie,Q13221666|Q1397914|Q55609269,Dedicated Records|Double Six Records|Fat Possum Records,Q16216579|Q2836635|Q3193978|Q327117|Q6271209|Q648341|Q7329821|Q8002739,Damon Reece|Gregg Hale|Jason Pierce|Jon Mattock|Kate Radley|Richard Warren|Thighpaulsandra|Will Carruthers,Spiritualized,strict,UK025F,Coventry,741982.0,True,True,True,1990
554,3LtBdgNHdH0Ix8hCFZ4NJG,Blancmange,Q594199,221240,123820,Blancmange,1979.0,Q187760,new wave,Punk and new wave,Q935090,London Records,Q5560298|Q95570484,Neil Arthur|Stephen Luscombe,Blancmange (band),strict,UK001F,London,12274097.0,True,True,True,1970
555,2H32fphWQj9hhVuCOKkchM,The Nolans,Q1038777,217117,39473,The Nolans,1974.0,Q37073,pop music,"Pop, soul and R&B",Q216364,Epic Records,Q117531511|Q117917415|Q118412151|Q16193271|Q2982426|Q4892803,Anne Nolan|Bernie Nolan|Coleen Nolan|Denise Nolan|Linda Nolan|Maureen Nolan,The Nolans,excluded_non_uk,,,,False,True,True,1970
556,2KB6LGMBaOYYYdvvgyptFH,Utah Saints,Q2036827,216105,53925,Utah Saints,1991.0,Q817138,electronica,Electronic and dance,Q935090,London Records,,,Utah Saints,excluded_no_defensible_fua,,,,False,True,True,1990
557,3mZqziCJj4pq3P2VBpmK6p,Friendly Fires,Q1464530,215715,235528,Friendly Fires,2006.0,Q183504|Q3071,indie rock|punk rock,Punk and new wave|Rock and indie,Q1123947,XL Recordings,,,Friendly Fires,strict,UK001F,London,12274097.0,True,True,True,2000
558,5wnhqlZzXIq8aO9awQO2ND,Coldcut,Q698224,214514,66493,Coldcut,1986.0,Q817138,electronica,Electronic and dance,Q1358555|Q4905961,Big Life|Ninja Tune,,,Coldcut,excluded_no_defensible_fua,,,,False,True,True,1980
559,2SRIVGDkdqQnrQdaXxDkJt,Haken,Q774774,213215,248459,Haken,2007.0,Q484344|Q49451,progressive metal|progressive rock,Metal|Rock and indie,Q2271353|Q702361,Inside Out Music|Sensory Records,Q7326414|Q7792087,Richard Henshall|Thomas MacLean,Haken (band),strict,UK001F,London,12274097.0,True,True,True,2000
560,1Pe3z1UqRzKsQtHsl25dm6,Juno Reactor,Q1410018,212577,99783,Juno Reactor,1990.0,Q170611|Q9778,electronic music|techno,Electronic and dance,Q2333358,Metropolis Records,Q9168649,Ben Watkins,Juno Reactor,strict,UK001F,London,12274097.0,True,True,True,1990
561,1dmEUAQBopYUrsMnQnScWL,Fun Boy Three,Q1473992,210879,123794,Fun Boy Three,,Q187760,new wave,Punk and new wave,Q1088453,Chrysalis Records,Q1728388,Terry Hall,Fun Boy Three,excluded_no_defensible_fua,,,,False,True,False,
562,3RP50pmG8Wz1mhNCidQj68,RITUAL,Q60752425,208784,49910,Ritual,,,,,,,,,Ritual (electronic band),excluded_no_defensible_fua,,,,False,False,False,
563,4hzCcF4Leos2sKnz79nwhz,The Sound,Q732151,207467,119926,The Sound,1979.0,Q11366,alternative rock,Rock and indie,Q6432589,Korova,Q372675,Adrian Borland,The Sound (band),strict,UK001F,London,12274097.0,True,True,True,1970
564,5zbAdSKQiTetVoHnbHvsDg,Sea of Thieves,Q20113718,205720,99748,Sea of Thieves,,Q185029|Q343568,action-adventure game|first-person shooter,Other genres,,,,,Sea of Thieves,excluded_no_defensible_fua,,,,False,True,False,
565,497rp5TEzJffeBnUT0BeE1,Mammal Hands,Q18984313,205120,143732,Mammal Hands,,Q8341,jazz,Other genres,Q56248515,Gondwana Records,Q56248758|Q56248793|Q56248800,Jesse Barrett|Jordan Smart|Nick Smart,Mammal Hands,excluded_no_defensible_fua,,,,False,True,False,
566,6VsiDFMZJlJ053P1uO4A6h,Public Service Broadcasting,Q7257602,204661,191872,Public Service Broadcasting,2010.0,Q1298934|Q217467,art rock|synth-pop,Electronic and dance|Rock and indie,,,,,Public Service Broadcasting (band),strict,UK001F,London,12274097.0,True,True,True,2010
567,33W24YuaMUEk85MwRX6cRs,Paper Lace,Q2050633,203759,42819,Paper Lace,,Q37073,pop music,"Pop, soul and R&B",Q155152,Polydor Records,,,Paper Lace,strict,UK029F,Nottingham,906878.0,True,True,False,
568,3Q9P0SbpaP9xsBtLUVK0Be,Planet Perfecto,Q7201145,203707,10221,Planet Perfecto,,Q170611,techno,Electronic and dance,,,,,Planet Perfecto,excluded_no_defensible_fua,,,,False,True,False,
569,5fwaejlOHVBAw1KhIPPaQe,Venom,Q192861,203523,617815,Venom,1979.0,Q132438|Q211723|Q38848|Q483352,black metal|heavy metal music|speed metal|thrash metal,Metal,Q1347984,Sanctuary Records,Q2852819|Q3313359|Q425723|Q58821169|Q60839581|Q646194|Q717901|Q931561,Anthony Lant|Conrad Lant|Danny Needham|Jeffrey Dunn|Mike Hickey|Stuart Dixon|Tony Bray|Tony Dolan,Venom (band),strict,UK013F,Newcastle,1173303.0,True,True,True,1970
570,5uh8Bhewltd8j0TLZjNImc,Lemon Jelly,Q1444372,203232,188511,Lemon Jelly,1998.0,Q9778,electronic music,Electronic and dance,Q1123947,XL Recordings,Q7027140,Nick Franglen,Lemon Jelly,strict,UK001F,London,12274097.0,True,True,True,1990
571,6veTV9sF06FBf2KN0xAdvo,The Go! Team,Q1514317,202864,101993,The Go! Team,2000.0,Q183504,indie rock,Rock and indie,Q827077,Memphis Industries,,,The Go! Team,strict,UK515F,Brighton and Hove,441252.0,True,True,True,2000
572,3tgiOZXeC1DIimfprvfL64,Sam And The Womp,Q2115414,201092,49372,Sam and the Womp,2009.0,Q9778,electronic music,Electronic and dance,Q1750746,Stiff Records,Q2248954,Bloem de Ligny,Sam and the Womp,excluded_no_defensible_fua,,,,False,True,True,2000
573,0NV5eY4Jzg4ldg2ikGnV4n,Virus Syndicate,Q14158679,200462,68866,Virus Syndicate,,Q1166726|Q20474|Q469343,UK rap|dubstep|grime,Other genres,,,Q124375772|Q124375795,JSD|Nika D,Virus Syndicate,excluded_no_defensible_fua,,,,False,True,False,
574,6e6GkaF6uiSEFuTrlvDJUF,The Twilight Sad,Q750092,199417,116543,The Twilight Sad,2003.0,Q1899347,post-punk revival,Punk and new wave,Q2589723,FatCat Records,,,The Twilight Sad,excluded_no_defensible_fua,,,,False,True,True,2000
575,3UqRgrDIQ208yNGiWKRMNt,Napalm Death,Q321762,199401,453164,Napalm Death,1981.0,Q10922|Q188534|Q483251,death metal|grindcore|hardcore punk,Metal|Punk and new wave,Q158867|Q2533251|Q838544,Century Media Records|Earache Records|Spitfire Records,Q2670413|Q732653|Q981856|Q981996,Barney Greenway|Danny Herrera|Mitch Harris|Shane Embury,Napalm Death,strict,UK002F,Birmingham,3135994.0,True,True,True,1980
576,77zwstbi3x1IxnbDFg6uns,Wishbone Ash,Q137758,199281,239755,Wishbone Ash,1969.0,Q83270,hard rock,Rock and indie,Q2265719|Q2338889|Q557632|Q6061175,Decca|I.R.S. Records|Invisible Hands Music|MCA Records,Q2796723|Q33022578|Q366747|Q527081|Q715676,Andy Powell|John Wetton|Mark Abrahams|Martin Turner|Ted Turner,Wishbone Ash,strict,UK561F,Torbay,139440.0,True,True,True,1960
577,0THUMJMWUd5L8os9K6O4FE,World Party,Q2504465,199197,59109,World Party,1986.0,Q11366,alternative rock,Rock and indie,Q1088453|Q4038090,Chrysalis Records|Ensign Records,Q1302516,Karl Wallinger,World Party,strict,UK001F,London,12274097.0,True,True,True,1980
578,1fQDzf4lnUF4DYngrLJH0m,letherette,Q16960515,199074,72744,Letherette,,Q9778,electronic music,Electronic and dance,Q1358555,Ninja Tune,,,Letherette,excluded_no_defensible_fua,,,,False,True,False,
579,3z3KnhKZObj216IgfHYGVf,Diamond Head,Q552377,199057,216505,Diamond Head,1976.0,Q370515|Q38848,heavy metal music|new wave of British heavy metal,Metal,Q1036027|Q2338889|Q30900578,Cargo Records|MCA Records|Silver Lining Music,Q1261808|Q3644513|Q7172318,Brian Tatler|Pete Vuckovic|Robbie France,Diamond Head (British band),strict,UK002F,Birmingham,3135994.0,True,True,True,1970
580,4zPGlyitRvJo7iz6OKlETa,Gomez,Q1536853,198405,139162,Gomez,1996.0,Q183504,indie rock,Rock and indie,Q128280,ATO Records,Q5980832,Ian Ball,Gomez (band),strict,UK006F,Liverpool,1540817.0,True,True,True,1990
581,0IBAqjHG8DSaD7PPCGnGiZ,Babyshambles,Q797992,198309,291010,Babyshambles,2003.0,Q183504,indie rock,Rock and indie,Q385558,Rough Trade,Q2748607|Q311875|Q349328|Q5530705|Q652243|Q978960,Adam Ficek|Drew McConnell|Gemma Clarke|Mick Whitnall|Patrick Walden|Pete Doherty,Babyshambles,strict,UK001F,London,12274097.0,True,True,True,2000
582,4Cyr5aqgXza16isOrQNOvo,Brotherhood of Man,Q832745,196558,61658,Brotherhood of Man,1969.0,Q37073,pop music,"Pop, soul and R&B",Q1178799|Q183412|Q2117397|Q2733913|Q557632,Dawn Records|Decca|Deram|EMI|Pye Records,Q1330686|Q16150554|Q6515044|Q6775985|Q7416767,Lee Sheriden|Martin Lee|Nicky Stevens|Sandra Stevens|Tony Burrows,Brotherhood of Man,excluded_no_defensible_fua,,,,False,True,True,1960
583,5zhn89Em2jWUUWdpcLO3YL,Sea Power,Q920131,196069,106520,Sea Power,2000.0,Q11366|Q183504|Q1899347|Q209137,alternative rock|indie rock|post-punk revival|post-rock,Punk and new wave|Rock and indie,Q264137|Q385558,Caroline Records|Rough Trade,Q4667519|Q5325520|Q7182459,Abi Fry|Eamon Hamilton|Phil Sumner,Sea Power,excluded_no_defensible_fua,,,,False,True,True,2000
584,35S20clEkkSNUo23ViaslZ,Band Aid,Q806231,195618,53354,Band Aid,1984.0,Q1443316,Christmas music,Other genres,Q330629,Sony Music,,,Band Aid (band),strict,UK001F,London,12274097.0,True,True,True,1980
585,1fy3AQc7grjf5LnCd7snSg,The View,Q578954,195510,156449,The View,2005.0,Q183504,indie rock,Rock and indie,Q4571998,1965 Records,Q6451144,Kyle Falconer,The View (band),strict,UK550F,Dundee City,261740.0,True,True,True,2000
586,1USHlPahTZrCeJXS2v5pkF,Thunderclap Newman,Q2165685,194255,20516,Thunderclap Newman,1969.0,Q11399|Q37073,pop music|rock music,"Pop, soul and R&B|Rock and indie",Q2142601,Track Record,Q1347221|Q6217418|Q9614936,"Andy Newman|Jimmy McCulloch|John ""Speedy"" Keene",Thunderclap Newman,strict,UK001F,London,12274097.0,True,True,True,1960
587,3vldh5Ceynytj6Iglw4haP,Tommy Lefroy,Q115209312,192772,94042,Tommy Lefroy,,Q183504,indie rock,Rock and indie,Q6456938|Q7181469,LAB Records|Pheromone Recordings,,,Tommy Lefroy,strict,UK001F,London,12274097.0,True,True,False,
588,4JKHXlntTvmZnLxjbeRcPL,City of London Sinfonia,Q2974592,190860,4379,City of London Sinfonia,1971.0,,,,,,,,City of London Sinfonia,excluded_no_defensible_fua,,,,False,False,True,1970
589,6WoTvA9qinpHtSRJuldYh6,The Fall,Q909916,190295,224200,The Fall,1976.0,Q11366|Q3071,alternative rock|punk rock,Punk and new wave|Rock and indie,Q1238400|Q2265719|Q5998908|Q729590,Domino Recording Company|Fontana Records|I.R.S. Records|Illegal Records,Q1346818,Mark E. Smith,The Fall (band),strict,UK008F,Manchester,3432092.0,True,True,True,1970
590,2Sp19cOHSqAUlE64hekARW,Teenage Fanclub,Q1515611,186449,164920,Teenage Fanclub,1989.0,Q11366,alternative rock,Rock and indie,Q1139341|Q7132747,Creation Records|Paperhouse Records,Q7051979,Norman Blake,Teenage Fanclub,strict,UK004F,Glasgow,1831890.0,True,True,True,1980
591,7gCZfkXLOfuZozSItq6tCG,London Symphony Chorus,Q6670826,185312,4932,London Symphony Chorus,1966.0,Q9730,classical music,Other genres,,,,,London Symphony Chorus,excluded_no_defensible_fua,,,,False,True,True,1960
592,7FPkZue0zzjHaOPJb4WCw3,The Pigeon Detectives,Q1469656,184605,214476,The Pigeon Detectives,2002.0,Q183504,indie rock,Rock and indie,Q3013340,Dance to the Radio,,,The Pigeon Detectives,strict,UK003F,Leeds,2969034.0,True,True,True,2000
593,2McLd7klWE4UjkPLqqMwLv,The Qemists,Q2067701,184241,105080,The Qemists,2004.0,Q124791567|Q188994|Q325504|Q817138|Q851213,Drum and bass electronic rock|drum and bass|electronic dance music|electronic rock|electronica,Electronic and dance,Q1358555,Ninja Tune,,,The Qemists,strict,UK515F,Brighton and Hove,441252.0,True,True,True,2000
594,1G3Eh23f2hwhEnAMw7HsZ6,Bomb The Bass,Q891757,184150,54515,Bomb the Bass,,Q817138,electronica,Electronic and dance,Q315760,!K7 Music,,,Bomb the Bass,excluded_no_defensible_fua,,,,False,True,False,
595,3HghjRl8Mo6OJWG0WElY2z,Way Out West,Q1431341,183677,50191,Way Out West,1994.0,Q205560,trip hop,Electronic and dance,Q2891955,Deconstruction Records,Q16958551|Q1738428,Jody Wisternoff|Nick Warren,Way Out West (duo),excluded_no_defensible_fua,,,,False,True,True,1990
596,7vPXrGlSGukcwpaPxUfKKR,Japan,Q174933,183396,251906,Japan,1974.0,Q187760,new wave,Punk and new wave,Q180277,Hansa Records,Q519273,David Sylvian,Japan (band),strict,UK001F,London,12274097.0,True,True,True,1970
597,4SXsNXgRundFdewI58vbZT,King King,Q21288873,182479,31218,King King,2008.0,Q9759,blues,Other genres,,,,,King King (band),excluded_no_defensible_fua,,,,False,True,True,2000
598,2qhmNI4ZHPpeDutdg473Z3,The Future Sound Of London,Q168031,181260,179121,The Future Sound of London,1988.0,Q170611,techno,Electronic and dance,Q1200368,Astralwerks,Q5524109,Garry Cobain,The Future Sound of London,strict,UK008F,Manchester,3432092.0,True,True,True,1980
599,6RDAHUqUqJab8TZmyRHFss,Stooshe,Q1346917,180657,81733,Stooshe,2011.0,Q850412,contemporary R&B,"Pop, soul and R&B",,,,,Stooshe,strict,UK001F,London,12274097.0,True,True,True,2010
600,3EbMlZ7ZKmFWPTHrLzpzvs,Bolt Thrower,Q662463,180166,285017,Bolt Thrower,1986.0,Q188534|Q483251,death metal|grindcore,Metal,Q756320|Q7932936|Q838544,Earache Records|Metal Blade Records|Vinyl Solution,Q10411486|Q1880653|Q2336319|Q2683347|Q4843436|Q5229032|Q529075|Q5904439|Q82907,Alex Thomas|Andy Whale|Barry Thomson|Dave Ingram|Gavin Ward|Jo Bench|Karl Willetts|Martin Kearns|Martin van Drunen,Bolt Thrower,strict,UK025F,Coventry,741982.0,True,True,True,1980
601,4CbuwI3bEF7gQOwpxBKtal,London Elektricity,Q1858715,179973,102536,London Elektricity,,Q188994,drum and bass,Electronic and dance,Q1630451,Hospital Records,,,London Elektricity,strict,UK001F,London,12274097.0,True,True,False,
602,3zIIUxcnIoUMouVQdphkeC,Showaddywaddy,Q731797,178641,93848,Showaddywaddy,1973.0,Q7749,rock and roll,Rock and indie,Q4883239,,Q7363084,Romeo Challenger,Showaddywaddy,excluded_no_defensible_fua,,,,False,True,True,1970
603,3TBfn8PtXr42OrTPaoC3E8,The Futureheads,Q141703,175654,108938,The Futureheads,2000.0,Q183504|Q3071,indie rock|punk rock,Punk and new wave|Rock and indie,Q669127,Vagrant Records,Q136039835|Q7369524,Barry Hyde|Ross Millard,The Futureheads,strict,UK510F,Sunderland,274378.0,True,True,True,2000
604,3MomZRiJwdZmYnysgtF4Ey,Therapy?,Q1130493,175573,123041,Therapy?,1989.0,Q11366|Q181861|Q20378,alternative metal|alternative rock|noise rock,Metal|Rock and indie,Q104905694|Q277626|Q3568013,A&M Records|Marshall Records|Wiiija,Q2849082|Q3308375|Q6988421,Andy Cairns|Michael McKeegan|Neil Cooper,Therapy?,excluded_no_defensible_fua,,,,False,True,True,1980
605,0PFM64sKw3GG4Sk8kqNIcp,Until The Ribbon Breaks,Q19881622,174393,44423,Until the Ribbon Breaks,2012.0,Q9778,electronic music,Electronic and dance,Q16995752,Kobalt Label Services,,,Until the Ribbon Breaks,strict,UK009F,Cardiff,905859.0,True,True,True,2010
606,3mbVe260Kgvs1P8YFcCyY7,The Seahorses,Q7762808,173184,134499,The Seahorses,1996.0,Q11399,rock music,Rock and indie,Q212699,Geffen Records,Q1342312,John Squire,The Seahorses,strict,UK533F,York,201851.0,True,True,True,1990
607,2Ah7S4oLgEBYRbz2V0cZzU,Lawson,Q1076,172494,182546,Lawson,2009.0,Q484641,pop rock,"Pop, soul and R&B",Q155152,Polydor Records,,,Lawson (band),excluded_no_defensible_fua,,,,False,True,True,2000
608,7hC74DRW4q3obXLB5lTq4F,swim school,Q112039696,172006,31979,Swim School,,,,,,,,,Swim School,excluded_no_defensible_fua,,,,False,False,False,
609,57YVY9QP1mhqc51WqHln0e,Tom Robinson Band,Q526586,171964,37011,Tom Robinson Band,1976.0,Q3071,punk rock,Punk and new wave,Q3629023,EMI Records,,,Tom Robinson Band,excluded_no_defensible_fua,,,,False,True,True,1970
610,5BEYGWk6aPdNXxBx9pwU8S,The Soup Dragons,Q3066755,171856,50553,The Soup Dragons,1985.0,Q183504,indie rock,Rock and indie,Q3522912,The Subway Organization,,,The Soup Dragons,strict,UK004F,Glasgow,1831890.0,True,True,True,1980
611,37QFe07xXVifiZf6t6t3PE,The Corries,Q1349385,171307,37863,The Corries,,Q1048469,music of Scotland,Other genres,,,,,The Corries,strict,UK007F,Edinburgh,893610.0,True,True,False,
612,6XgIk9Y6qy6JCMZVime6DQ,Bob Vylan,Q111685240,171179,188980,Bob Vylan,,Q11401|Q1166726|Q25554481|Q3071|Q877693,grime|hip-hop|punk music|punk rock|rap rock,Other genres|Punk and new wave|Rock and indie,,,Q98019779,Bob Vylan,Bob Vylan,strict,UK001F,London,12274097.0,True,True,False,
613,4pE3KE9J1Z1LKzjwLtWU21,Sailor,Q354427,168700,47029,Sailor,1973.0,Q83270,hard rock,Rock and indie,Q1542119,United Artists Records,,,Sailor (band),excluded_no_defensible_fua,,,,False,True,True,1970
614,25IRTisJjqI6JlkyCVMBsV,Dr. Feelgood,Q1253897,167923,120205,Dr. Feelgood,1971.0,Q1431327|Q187760|Q212952,boogie-woogie|new wave|pub rock,Other genres|Punk and new wave|Rock and indie,Q1542119,United Artists Records,Q355546,Lee Brilleaux,Dr. Feelgood (band),excluded_no_defensible_fua,,,,False,True,True,1970
615,4NPManowiyiGa72hezruf2,Cock Sparrer,Q600311,166468,137956,Cock Sparrer,1972.0,Q3071,punk rock,Punk and new wave,Q115104719|Q557632,Decca|Unity Worldwide Records,,,Cock Sparrer,strict,UK001F,London,12274097.0,True,True,True,1970
616,3SfrwwVPGtjYTI3vwQ4hEU,Thunder,Q678521,165055,122168,Thunder,1989.0,Q83270,hard rock,Rock and indie,Q1843637,STC Recordings,Q1962198|Q2074096|Q2194132|Q2682846,Ben Matthews|Danny Bowes|Gary James|Luke Morley,Thunder (band),strict,UK001F,London,12274097.0,True,True,True,1980
617,6NB4b8lltHCjOhW7vQZkAy,The Exploited,Q117684,164967,272998,The Exploited,1979.0,Q10922,hardcore punk,Punk and new wave,Q158886,Nuclear Blast,Q2569072,Wattie Buchan,The Exploited,strict,UK007F,Edinburgh,893610.0,True,True,True,1970
618,5O0RrEgz4NLCPLrDZiPggz,The Slits,Q677115,164826,155815,The Slits,1976.0,Q3071,punk rock,Punk and new wave,Q190585,Island Records,Q2013235|Q233342|Q4015600|Q4978300|Q7128416|Q7705617|Q976089,Ari Up|Bruce Smith|Neneh Cherry|Palmolive|Steve Beresford|Tessa Pollitt|Viv Albertine,The Slits,strict,UK001F,London,12274097.0,True,True,True,1970
619,6msJKphD3VXZPItnztefdH,Stateless,Q3497309,164345,31770,Stateless,2002.0,Q11366|Q183504,alternative rock|indie rock,Rock and indie,Q1358555,Ninja Tune,,,Stateless (band),strict,UK003F,Leeds,2969034.0,True,True,True,2000
620,5yBDILLJyNFAjFpECkk7ys,Beady Eye,Q753648,164088,205926,Beady Eye,2009.0,Q11366|Q11399|Q183504,alternative rock|indie rock|rock music,Rock and indie,Q5216047|Q6753829,Dangerbird Records|MapleMusic Recordings,Q216708,Liam Gallagher,Beady Eye,strict,UK001F,London,12274097.0,True,True,True,2000
621,3k7uMwc8FLJmH8RHMh2HF8,Babylon Zoo,Q696624,163876,17699,Babylon Zoo,1992.0,Q11366|Q236913,alternative rock|space rock,Rock and indie,Q183412|Q58825265,EMI|Phonogram International B.V.,Q5805853,Jas Mann,Babylon Zoo,strict,UK002F,Birmingham,3135994.0,True,True,True,1990
622,7y4breKexfBWgdyMgHMEHK,Kareful,Q59563575,162343,17678,Kareful,,,,,Q57546157,wavemob,,,,excluded_no_defensible_fua,,,,False,False,False,
623,5gNduPlUGHsgy1w7f71obH,The Swinging Blue Jeans,Q1310839,161534,71064,The Swinging Blue Jeans,1962.0,Q546264,beat music,Rock and indie,Q301754,His Master's Voice,Q3178934|Q6200521,Jim Rodford|Terry Sylvester,The Swinging Blue Jeans,strict,UK006F,Liverpool,1540817.0,True,True,True,1960
624,0umDTRGYujQH31KZq9FdrU,Loadstar,Q15052759,160497,38144,Loadstar,2010.0,Q188994,drum and bass,Electronic and dance,Q4048005,RAM Records,Q8042871,Xample,Loadstar (duo),strict,UK011F,Bristol,979556.0,True,True,True,2010
625,0P2q6xyNc2hVFkG3ThjYcJ,The Magic Numbers,Q1474849,160113,102124,The Magic Numbers,2002.0,Q183504,indie rock,Rock and indie,Q183412|Q193023,Capitol Records|EMI,,,The Magic Numbers,strict,UK001F,London,12274097.0,True,True,True,2000
626,0uhNYfjHJyAmHh2xNZ4vqf,Oxide & Neutrino,Q1428002,159474,27287,Oxide & Neutrino,2000.0,Q1165777,UK garage,Other genres,Q2576206,East West Records,,,Oxide & Neutrino,strict,UK001F,London,12274097.0,True,True,True,2000
