fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,followers_total,largest_band_by_followers,largest_band_followers,population_share,band_share,monthly_listener_share,follower_share,band_output_quotient,monthly_listener_output_quotient,follower_output_quotient,largest_band_follower_share,representation_status,model_included,expected_follower_median,expected_follower_mean_smearing,expected_follower_median_share,expected_median_ci_low,expected_median_ci_high,log_residual,studentized_log_residual,observed_to_expected_median,leverage,cooks_distance,residual_rank
UK559F,Middlesbrough,Middlesbrough,2021,570155,2,7662113.0,3875163.0,Whitesnake,3532823.0,0.010969026023865382,0.002,0.003391421854070322,0.004238063800718213,0.18233159404021715,0.30918167635773525,0.3863664642145465,0.911657909615673,two or more selected bands,True,2246578.8476572554,6289512.568515725,0.0024569661946388962,1578137.4372811601,3198147.638798971,0.5451791795244816,0.36547301102279395,1.7249174245724965,0.018656897960613424,0.0012696943557914426,21
UK558F,Newport,Newport,2021,252141,3,2238119.0,981527.0,Skindred,681458.0,0.004850858434431762,0.003,0.0009906413137746749,0.001073444922994864,0.6184472378550098,0.20421979473633523,0.2212896825385524,0.6942834990784768,two or more selected bands,True,648923.6891551785,1816723.9948890319,0.0007096940171128491,410213.51493015426,1026543.3463801562,0.41379439465772805,0.27756130833618525,1.5125461073517472,0.019823405175593896,0.0007790436392132724,22
UK011F,Bristol,Bristol,2021,979556,8,17056887.0,6968117.0,Massive Attack,2943616.0,0.018845358289997418,0.008,0.007549758054234906,0.007620666386644688,0.42450771574060087,0.4006163182496829,0.40437896002696444,0.42244066797385865,two or more selected bands,True,5119792.596378611,14333349.535760302,0.005599250320540659,3502775.401067533,7483287.744325424,0.30823110074288884,0.20786770130952786,1.3610154842851976,0.030312358257710198,0.0006753546519257748,23
UK004F,Glasgow,Glasgow,2021,1831890,31,54570056.0,16996691.0,Franz Ferdinand,3218082.0,0.035243134029972124,0.031,0.02415392209645581,0.018588395084050153,0.8796039527482544,0.685351140335998,0.5274330900379592,0.18933579483206467,two or more selected bands,True,13275318.436315272,37165524.92396283,0.014518523868016612,8115631.188379189,21715387.93407988,0.24711212354119283,0.16891617407817336,1.280322659041063,0.0561595052282298,0.0008488620990435372,24
UK021F,Stevenage,Stevenage,2021,89360,1,73403.0,150339.0,Fields Of The Nephilim,150339.0,0.001719167885035842,0.001,3.248980253284229e-05,0.0001644179286745294,0.5816767569382274,0.01889856297086711,0.09563808753390105,1.0,one selected band,True,133820.23705045742,374642.5653959564,0.0001463522185897919,65133.662280634904,274940.1034304324,0.11639535937159451,0.07946568457126074,1.1234399468543315,0.05383899259273885,0.0001796640317454292,25
UK528F,Northampton,Northampton,2021,426707,3,1185288.0,1453874.0,Bauhaus,1137691.0,0.008209276753804713,0.003,0.0005246348659393701,0.0015900262183049826,0.36544023182183555,0.06390756234356701,0.19368651660672312,0.7825237950468885,two or more selected bands,True,1445290.095272102,4046227.99188395,0.0015806384490947276,995050.0321313917,2099254.7028186186,0.005921658470805724,0.003965342121343768,1.005939226149808,0.01649095414633258,1.3182529634485842e-07,26
UK002F,West Midlands urban area,Birmingham,2021,3135994,28,70556202.0,29959721.0,Black Sabbath,10711277.0,0.06033236540359323,0.028,0.03122974633798799,0.0327653853656523,0.46409584329561854,0.5176284093798854,0.543081398292083,0.35752258841128726,two or more selected bands,True,30088499.613752656,84235635.30201508,0.03290622382360924,16096808.310870538,56242069.32969514,-0.004289179924580111,-0.0029841997171265516,0.9957200054703361,0.08894261526609201,4.3470029671700636e-07,27
UK007F,Edinburgh,Edinburgh,2021,893610,15,15060452.0,4370899.0,Nazareth,1724966.0,0.01719187123709578,0.015,0.00666609146132106,0.004780224426300374,0.8725053714707758,0.38774670711453985,0.27805143258552556,0.3946478744990447,two or more selected bands,True,4451969.59730488,12463715.113359246,0.004868887113196489,3076769.9767918265,6441831.350679483,-0.01837789561920289,-0.012376786609927231,0.9817899481267895,0.02763632183029119,2.1768942116990154e-06,28
UK573F,Bracknell Forest,Bracknell Forest,2021,125195,1,438135.0,219418.0,The Hoosiers,219418.0,0.0024085857583601416,0.001,0.00019392830855314986,0.00023996603059690363,0.4151813970206478,0.080515426066948,0.09962943182072197,1.0,one selected band,True,223569.5555682871,625904.37506814,0.0002445063705440562,119360.9951162758,418757.78706695617,-0.01874398982559633,-0.012696340943512907,0.9814305862990401,0.03878641461439558,3.252272240422083e-06,29
UK012F,Belfast,Belfast,2021,803943,4,12013487.0,3605764.0,Two Door Cinema Club,2655723.0,0.01546679707922303,0.004,0.005317436894416686,0.003943436155416665,0.2586185090236497,0.3437969003653474,0.2549613947359528,0.7365215804473061,two or more selected bands,True,3790152.547297485,10610894.920371054,0.004145092299317834,2642954.555845748,5435302.056182619,-0.049872592069574395,-0.033540206292569194,0.9513506263939269,0.02490844347526618,1.4368209667786048e-05,30
UK026F,Kingston upon Hull,Hull,2021,609661,5,16308597.0,2355702.0,Seafret,1149369.0,0.011729069068473999,0.005,0.0072185482353269515,0.00257630849888882,0.42629129138980515,0.615440849839425,0.21965157540196908,0.48790933657992397,two or more selected bands,True,2487743.7879304118,6964676.9076240985,0.0027207157203682744,1749776.4242372864,3536948.5316297095,-0.054537418225965695,-0.03657724749508582,0.9469230760132816,0.019562122708115054,1.3347131642941742e-05,31
UK586F,Derry & Strabane Local Government District,Derry & Strabane Local Government District,2021,150834,1,562915.0,274928.0,The Undertones,274928.0,0.0029018461142736817,0.001,0.0002491587154854014,0.0003006744244316579,0.34460821167641253,0.08586213936701625,0.10361487570022826,1.0,one selected band,True,296867.7287899586,831109.6284727508,0.00032466876231687685,166403.57577532122,529618.7175442821,-0.07677743678758908,-0.051826202082835386,0.9260959455600456,0.0321202063820517,4.456825973798175e-05,32
UK561F,Torbay,Torbay,2021,139440,1,199281.0,239755.0,Wishbone Ash,239755.0,0.0026826406657273704,0.001,8.820620871827235e-05,0.0002622075475383087,0.3727670324153758,0.03288036666452163,0.09774232937276892,1.0,one selected band,True,263417.080921865,737461.3372450637,0.0002880855321816956,144688.94874232297,479570.54857707676,-0.09412106644628615,-0.06362119614372626,0.9101725642124033,0.0347873794547507,7.29411131839506e-05,33
UK055F,Eastbourne,Eastbourne,2021,101601,1,8829850.0,146489.0,Toploader,146489.0,0.001954668490236421,0.001,0.003908288256537437,0.00016020738433542288,0.5115957027982009,1.9994634773412254,0.08196140938254214,1.0,one selected band,True,162697.88852638012,455488.315411111,0.00017793420091411345,82072.87083740156,322525.61243269494,-0.10494469611568746,-0.07141504213058002,0.9003743154063619,0.04765442463944324,0.00012760216993910038,34
UK516F,Plymouth,Plymouth,2021,411409,2,4057174.0,1153297.0,Metronomy,1135985.0,0.00791496352299363,0.002,0.0017957955683198493,0.0012613008193918327,0.2526859402686864,0.22688614585562059,0.15935649175484493,0.9849891224896969,two or more selected bands,True,1367167.9262939317,3827517.5005160226,0.0014952003045882966,937416.3206783662,1993935.9892243294,-0.17011659611842056,-0.11391168145193124,0.8435664542879636,0.016419711322769422,0.00010830842242639228,35
UK009F,Cardiff,Cardiff,2021,905859,12,7735166.0,3543508.0,Stereophonics,1843050.0,0.017427525751686247,0.012,0.0034237567388084355,0.003875350012981491,0.6885659026404771,0.19645684577325387,0.22236948997803208,0.5201201746969387,two or more selected bands,True,4545181.996622223,12724672.149280462,0.004970828656126407,3136905.416530574,6585687.688750061,-0.24895057316846092,-0.167691034475114,0.7796185065049933,0.028015036479075772,0.000405248427098726,36
UK549F,Bedford,Bedford,2021,185796,1,584790.0,285868.0,DON BROCO,285868.0,0.0035744686254265815,0.001,0.00025884107765596564,0.00031263893224200225,0.27976186247281964,0.0724138619695047,0.08746444996553622,1.0,one selected band,True,407720.50713640486,1141452.594352589,0.00044590266837943825,240672.77750980726,690713.8134174445,-0.35505174231778014,-0.23891897550998356,0.7011371638080531,0.026053767541965516,0.0007634961368916296,37
UK013F,Newcastle upon Tyne,Newcastle,2021,1173303,10,16181906.0,4640329.0,The Animals,2812173.0,0.022572793610297768,0.01,0.00716247197723548,0.005074885974686211,0.4430111829595595,0.3173055183549785,0.22482312390306156,0.606028796665064,two or more selected bands,True,6738293.422727328,18864497.55226044,0.00736932031852036,4494338.347879083,10102621.283997737,-0.37302142259064297,-0.25235541961941993,0.6886504800086051,0.03640342206552648,0.0012029352146422326,38
UK535F,Swindon,Swindon,2021,233760,1,705276.0,391755.0,XTC,391755.0,0.0044972323724930445,0.001,0.00031217086455802734,0.00042844202534199555,0.22235897929500342,0.06941399480876172,0.09526793144213012,1.0,one selected band,True,578308.7348374103,1619030.6696937412,0.0006324661220066293,359769.3813945976,929598.2651242601,-0.38947122498938924,-0.2614128154953227,0.6774149799244179,0.02107374373116113,0.0007355555402044396,39
