origin_cluster,band_count,monthly_listeners_total,band_share,listener_share
Bailiff Bridge,1,411812,0.001,0.00018227716252271502
Witton Gilbert,1,410644,0.001,0.00018176017971059072
Blackpool,1,410364,0.001,0.0001816362454748075
Dorset,1,401179,0.001,0.00017757075991884716
Weston-super-Mare,1,401016,0.001,0.00017749861248873052
Windsor,1,382250,0.001,0.00016919236295763072
Macclesfield,1,377418,0.001,0.00016705361214582883
Buckinghamshire,1,358816,0.001,0.00015881995266711635
Kettering,1,356937,0.001,0.00015798826542055678
Halifax,1,336657,0.001,0.00014901188577168628
Worcestershire,1,321812,0.001,0.00014244115816382225
Hounslow,1,318066,0.001,0.000140783095137951
Kirkby,1,306242,0.001,0.0001355495294097338
Rotherham,1,294182,0.001,0.00013021150482564218
Eel Pie Island,1,291320,0.001,0.0001289447198870294
Northern Ireland,1,291037,0.001,0.00012881945778443418
Bradford-on-Avon,1,280634,0.001,0.00012421485830281683
Tottenham,1,278011,0.001,0.00012305386008689044
Wakefield,1,276100,0.001,0.00012220800892766994
Glastonbury,1,269572,0.001,0.00011931857074483826
Pontypridd,1,264396,0.001,0.00011702755787193127
Leuchars,1,260573,0.001,0.00011533541293121965
Selkirk,1,251709,0.001,0.00011141200912413936
Warrington,1,245749,0.001,0.00010877398039103934
Moreton,1,234347,0.001,0.00010372720126103829
Winchester,1,229902,0.001,0.00010175974526797964
Rugby,1,222247,0.001,9.837147178612048e-05
Harrow,1,221240,0.001,9.792575115957154e-05
Dublin,1,217117,0.001,9.61008195376636e-05
Kilsyth,1,199417,0.001,8.826640534708134e-05
Torquay,1,199281,0.001,8.820620871827235e-05
Southport,1,198405,0.001,8.781847160917912e-05
Prestwich,1,190295,0.001,8.422880499417224e-05
Rothwell,1,184605,0.001,8.17102842741489e-05
Catford,1,183396,0.001,8.117515394892778e-05
Larne,1,175573,0.001,7.771251992559869e-05
Hunstanton,1,155196,0.001,6.869320591647471e-05
Wales,1,153792,0.001,6.807176424847598e-05
Merthyr Tydfil,1,152499,0.001,6.749945365251989e-05
South London,1,150253,0.001,6.650532403263018e-05
Camberley,1,149817,0.001,6.631234072262488e-05
Ladbroke Grove,1,136226,0.001,6.029666144216142e-05
County Tyrone,1,133806,0.001,5.9225515547177855e-05
Mold,1,133646,0.001,5.915469598387316e-05
Yeovil,1,130128,0.001,5.75975508357111e-05
Battersea,1,119814,0.001,5.3032344736181994e-05
Great Yarmouth,1,119190,0.001,5.275614843929367e-05
Bexhill-on-Sea,1,109420,0.001,4.843172885500053e-05
Worthing,1,101724,0.001,4.502530786004454e-05
Huddersfield,1,99821,0.001,4.418299767898929e-05
Harlow,1,96100,0.001,4.25360002098844e-05
Otley,1,90538,0.001,4.007413514050483e-05
Whitley Bay,1,89626,0.001,3.967046362966805e-05
Dalmarnock,1,86543,0.001,3.830585916924064e-05
Tavistock,1,85506,0.001,3.784685987457206e-05
High Wycombe,1,82953,0.001,3.671684521759147e-05
Norwich,1,81221,0.001,3.5950223444818115e-05
Hatfield,1,80353,0.001,3.556602731389013e-05
Falkirk,1,79984,0.001,3.5402699696018665e-05
Stoke-on-Trent,1,77256,0.001,3.419522614167356e-05
Ventnor,1,76473,0.001,3.384865290375119e-05
Chelmsford,1,73454,0.001,3.2512376268645666e-05
Stevenage,1,73403,0.001,3.248980253284229e-05
Folkestone,1,71392,0.001,3.159968914655637e-05
Hamburg,1,70557,0.001,3.123009955055997e-05
Mansfield,1,67864,0.001,3.003811777568777e-05
Peckham,1,66984,0.001,2.9648610177511932e-05
Plumstead,1,66590,0.001,2.947421700287411e-05
East End of London,1,63708,0.001,2.8198579618848235e-05
Hampshire,1,62236,0.001,2.754703963644501e-05
Carlisle,1,60855,0.001,2.6935778280671333e-05
Leek,1,56564,0.001,2.5036486117293455e-05
Brixton,1,49698,0.001,2.199744160698059e-05
Tyne and Wear,1,47976,0.001,2.1235246056913776e-05
Droitwich Spa,1,45246,0.001,2.002688725802736e-05
Newry,1,44268,0.001,1.9594002677327394e-05
South Shields,1,37083,0.001,1.6413761662675788e-05
Peacehaven,1,35963,0.001,1.59180247195429e-05
Failsworth,1,35668,0.001,1.5787451149699863e-05
Tewkesbury,1,35282,0.001,1.5616598953227277e-05
Ryde,1,35157,0.001,1.5561271169395483e-05
Shotts,1,34584,0.001,1.530764860831053e-05
Scunthorpe,1,30983,0.001,1.3713765811684165e-05
Salisbury,1,29143,0.001,1.2899340833680135e-05
Hendon,1,29124,0.001,1.2890931010537703e-05
Preston,1,28811,0.001,1.2752390239822887e-05
Warwick,1,27912,0.001,1.2354472818504613e-05
Leicestershire,1,27883,0.001,1.2341636772655637e-05
Motherwell,1,26800,0.001,1.186227685353696e-05
Peterborough,1,26774,0.001,1.1850768674499947e-05
Exeter,1,26219,0.001,1.1605113314286775e-05
