popularity_rank,spotify_name,returned_spotify_id,wikidata_qid,monthly_listeners,formation_label,current_claim_place,current_origin_cluster,current_origin_resolution,wikidata_url,musicbrainz_ids,musicbrainz_names,musicbrainz_begin_area,musicbrainz_urls,musicbrainz_matches_claim,wikipedia_title,wikipedia_origin,wikipedia_url,wikipedia_matches_claim,automated_status,proposed_origin,review_priority,manual_status,manual_decision,manual_source_url,manual_notes,final_status,final_origin
358,Big Country,1h8YIw9HLr6E8gdXVDRbVJ,Q858738,622663,Dunfermline,Dunfermline,Dunfermline,reported_place,https://www.wikidata.org/wiki/Q858738,b4013ff1-d7ce-4b1a-af6e-e0b19ca7f378,Big Country,Dunfermline,https://musicbrainz.org/artist/b4013ff1-d7ce-4b1a-af6e-e0b19ca7f378,True,Big Country,"Dunfermline, Fife, Scotland",https://en.wikipedia.org/wiki/Big_Country,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Dunfermline
359,New Hope Club,2WuKU0SYZOQyY3MmE4vtez,Q28677824,617401,Manchester,Manchester,Manchester,reported_place,https://www.wikidata.org/wiki/Q28677824,25227c04-3b4a-4f9b-a159-a77cdf4e3513,New Hope Club,England,https://musicbrainz.org/artist/25227c04-3b4a-4f9b-a159-a77cdf4e3513,,New Hope Club,"Manchester and London, England",https://en.wikipedia.org/wiki/New_Hope_Club,True,corroborated_one_source,,,not_reviewed,,,,confirmed,Manchester
360,Lovejoy,33tFkBLsl6f8TjKkV0uF0C,Q109558113,617221,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q109558113,deefd67b-c917-4b0d-ab48-c5af7f92cd82,Lovejoy,United Kingdom,https://musicbrainz.org/artist/deefd67b-c917-4b0d-ab48-c5af7f92cd82,,Lovejoy (band),"Brighton, East Sussex, England",https://en.wikipedia.org/wiki/Lovejoy_(band),False,proposed_one_source,Brighton,medium,not_reviewed,,,,evidence_for_missing_claim,Brighton
361,Deacon Blue,5jqKIZLB5WA5KquEihB3ND,Q1180767,612759,Glasgow,Glasgow,Glasgow,reported_place,https://www.wikidata.org/wiki/Q1180767,1d46cb3a-8071-45ba-855e-74e3cff20974,Deacon Blue,Glasgow,https://musicbrainz.org/artist/1d46cb3a-8071-45ba-855e-74e3cff20974,True,Deacon Blue,"Glasgow, Scotland",https://en.wikipedia.org/wiki/Deacon_Blue,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Glasgow
362,Slade,10n5lhNDoSMUHWLlnST1yw,Q156872,612385,Wolverhampton,Wolverhampton,Wolverhampton,reported_place,https://www.wikidata.org/wiki/Q156872,2e700147-56a3-416b-a95d-381ea42f947f,Slade,Wolverhampton,https://musicbrainz.org/artist/2e700147-56a3-416b-a95d-381ea42f947f,True,Slade,"Wolverhampton, Staffordshire, England",https://en.wikipedia.org/wiki/Slade,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Wolverhampton
363,Freemasons,49H2dQUNhIlso7VNkS8nFR,Q1453598,607845,Brighton,Brighton,Brighton,reported_place,https://www.wikidata.org/wiki/Q1453598,ae934b5b-0236-431f-a9dc-81406c10e66c,Freemasons,Brighton,https://musicbrainz.org/artist/ae934b5b-0236-431f-a9dc-81406c10e66c,True,Freemasons (DJs),"Brighton, East Sussex, England",https://en.wikipedia.org/wiki/Freemasons_(DJs),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Brighton
364,Ocean Colour Scene,5vIOGcdmx1eIkq3ZtuS12U,Q1332158,606956,Birmingham,Birmingham,Birmingham,reported_place,https://www.wikidata.org/wiki/Q1332158,601d793d-7e96-4bb6-b4a6-712d5c926259,Ocean Colour Scene,Moseley,https://musicbrainz.org/artist/601d793d-7e96-4bb6-b4a6-712d5c926259,False,Ocean Colour Scene,"Birmingham, England",https://en.wikipedia.org/wiki/Ocean_Colour_Scene,True,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,Birmingham
365,Aquilo,26GHRG8x1F4AzbCKzUaIbw,Q17279149,602693,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q17279149,6c1a2bc2-f546-47cf-9380-b858a06f71cf,Aquilo,Lancashire,https://musicbrainz.org/artist/6c1a2bc2-f546-47cf-9380-b858a06f71cf,False,Aquilo (band),"Silverdale, Lancashire, England",https://en.wikipedia.org/wiki/Aquilo_(band),False,proposed_two_sources,Lancashire,medium,not_reviewed,,,,evidence_for_missing_claim,Lancashire
366,Fiction Factory,6T6T5RCps6bHzTSDq8pyFj,Q664789,601160,Perth,Perth,Perth,reported_place,https://www.wikidata.org/wiki/Q664789,379811c5-4db9-4a78-b5ff-06ebe8723e39,Fiction Factory,,https://musicbrainz.org/artist/379811c5-4db9-4a78-b5ff-06ebe8723e39,,Fiction Factory,"Perth, Scotland",https://en.wikipedia.org/wiki/Fiction_Factory,True,corroborated_one_source,,,not_reviewed,,,,confirmed,Perth
367,Mount Kimbie,3NUtpWpGDoffm3RCGhSHtl,Q1359424,601000,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q1359424,4a3a5fc0-af4b-4990-957b-8d94f7bfe706,Mount Kimbie,London,https://musicbrainz.org/artist/4a3a5fc0-af4b-4990-957b-8d94f7bfe706,False,Mount Kimbie,"London, England",https://en.wikipedia.org/wiki/Mount_Kimbie,False,proposed_two_sources,London,medium,not_reviewed,,,,evidence_for_missing_claim,London
368,Them,5BaHqGtf6UAZnHfqdPaTDA,Q1338638,598923,Belfast,Belfast,Belfast,reported_place,https://www.wikidata.org/wiki/Q1338638,dbd8e1e8-b3d5-4c5f-9343-bbe5e86380a6,Them,Belfast,https://musicbrainz.org/artist/dbd8e1e8-b3d5-4c5f-9343-bbe5e86380a6,True,Them (band),"Belfast, Northern Ireland",https://en.wikipedia.org/wiki/Them_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Belfast
369,UNKLE,2nszamLjZFgu3Yx77mKxuC,Q2032426,596520,London,London,London,reported_place,https://www.wikidata.org/wiki/Q2032426,6648391e-7890-4f6c-b939-976f215195d3,UNKLE,London,https://musicbrainz.org/artist/6648391e-7890-4f6c-b939-976f215195d3,True,Unkle,"London, England",https://en.wikipedia.org/wiki/Unkle,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
