popularity_rank,capture_key,city,returned_spotify_id,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access,requested_spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label,identity_decision,origin_override,reason,source_url,identity_name_match,identity_status,identity_accepted,band_eligible,eligibility_status,requested_is_returned,redirect_duplicate,entity_duplicate,origin_cluster,origin_resolution
43,The Animals [3ICflSq6ZgYAIrm2CTkfVP],,3ICflSq6ZgYAIrm2CTkfVP,The Animals,12324330,2812173,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3ICflSq6ZgYAIrm2CTkfVP,Q131422,The Animals,The Animals,Q1425428,Newcastle upon Tyne,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Newcastle upon Tyne,reported_place
44,Rudimental [4WN5naL3ofxrVBgFpguzKo],,4WN5naL3ofxrVBgFpguzKo,Rudimental,11737472,1462225,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4WN5naL3ofxrVBgFpguzKo,Q50971,Rudimental,Rudimental,Q205679,London Borough of Hackney,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,editorial_city_cluster
45,Faithless [5T4UKHhr4HGIC0VzdZQtAE],,5T4UKHhr4HGIC0VzdZQtAE,Faithless,11726956,796754,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5T4UKHhr4HGIC0VzdZQtAE,Q542071,Faithless,Faithless,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
46,Disciples [5EehXjjMktLuJmbRsM7YfB],,5EehXjjMktLuJmbRsM7YfB,Disciples,11691137,299331,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5EehXjjMktLuJmbRsM7YfB,Q24025201,Disciples,Disciples,Q84,London,musical ensemble,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
47,Jungle [59oA5WbbQvomJz2BuRG071],,59oA5WbbQvomJz2BuRG071,Jungle,11614048,1886516,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,59oA5WbbQvomJz2BuRG071,Q17405943,Jungle,Jungle,Q84,London,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
48,Bôa [5jTtGLk1mGFMY5lQOvJYUj],,5jTtGLk1mGFMY5lQOvJYUj,bôa,11444869,1380058,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5jTtGLk1mGFMY5lQOvJYUj,Q285481,Bôa,Bôa,Q84,London,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
49,Cutting Crew [3cniTumSiUysiPWXapGx1i],,3cniTumSiUysiPWXapGx1i,Cutting Crew,10972839,628518,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3cniTumSiUysiPWXapGx1i,Q977526,Cutting Crew,Cutting Crew,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
50,Franz Ferdinand [0XNa1vTidXlvJ2gHSsRi4A],,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,10807735,3218082,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0XNa1vTidXlvJ2gHSsRi4A,Q173180,Franz Ferdinand,Franz Ferdinand,Q4093,Glasgow,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Glasgow,reported_place
51,Def Leppard [6H1RjVyNruCmrBEWRbD0VZ],,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,10792689,6056540,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6H1RjVyNruCmrBEWRbD0VZ,Q182890,Def Leppard,Def Leppard,Q42448,Sheffield,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Sheffield,reported_place
52,Pet Shop Boys [2ycnb8Er79LoH2AsR5ldjh],,2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,10634217,2426999,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2ycnb8Er79LoH2AsR5ldjh,Q485625,Pet Shop Boys,Pet Shop Boys,Q84,London,male duo|musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
