popularity_rank,capture_key,city,returned_spotify_id,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access,requested_spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label,identity_decision,origin_override,reason,source_url,identity_name_match,identity_status,identity_accepted,band_eligible,eligibility_status,requested_is_returned,redirect_duplicate,origin_cluster,origin_resolution
255,Primal Scream [3wury2nd8idV4GecUg5xze],,3wury2nd8idV4GecUg5xze,Primal Scream,1165795,590819,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3wury2nd8idV4GecUg5xze,Q666697,Primal Scream,Primal Scream,Q4093,Glasgow,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Glasgow,reported_place
256,Ultravox [3iUjRVvYCsMfz7tuAQtBDI],,3iUjRVvYCsMfz7tuAQtBDI,Ultravox,1162862,609815,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3iUjRVvYCsMfz7tuAQtBDI,Q316485,Ultravox,Ultravox,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
257,N-Trance [45InkbGypoMk5nVX6dsHkt],,45InkbGypoMk5nVX6dsHkt,N-Trance,1162155,82658,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,45InkbGypoMk5nVX6dsHkt,Q1959629,N-Trance,N-Trance,Q202628,Oldham,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Oldham,reported_place
258,South Arcade [3vEL65ycUboLH76pgdtqlF],,3vEL65ycUboLH76pgdtqlF,South Arcade,1151351,332563,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3vEL65ycUboLH76pgdtqlF,Q131762147,South Arcade,South Arcade,,,musical group,England,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
259,Belle and Sebastian [4I2BJf80C0skQpp1sQmA0h],,4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,1141204,747098,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4I2BJf80C0skQpp1sQmA0h,Q691568,Belle and Sebastian,Belle and Sebastian,Q4093,Glasgow,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Glasgow,reported_place
260,"Emerson, Lake & Palmer [0nCiidE5GgDrc5kWN3NZgZ]",,0nCiidE5GgDrc5kWN3NZgZ,"Emerson, Lake & Palmer",1139758,1194686,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0nCiidE5GgDrc5kWN3NZgZ,Q273171,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",Q2213391|Q84,Croydon|London,rock band|supergroup,England|United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_multiple_places
261,Badfinger [4pJCawaKSZ40EnxN0YEYw3],,4pJCawaKSZ40EnxN0YEYw3,Badfinger,1128068,471790,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4pJCawaKSZ40EnxN0YEYw3,Q798993,Badfinger,Badfinger,Q23051,Swansea,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Swansea,reported_place
262,President [40nPYop0FOD9Syyu5y4dAU],,40nPYop0FOD9Syyu5y4dAU,PRESIDENT,1108071,247203,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,40nPYop0FOD9Syyu5y4dAU,Q135218611,President,President,,,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
263,The Spencer Davis Group [3i9hP422d2KMjaupTzBNVS],,3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,1087690,317136,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3i9hP422d2KMjaupTzBNVS,Q1049145,The Spencer Davis Group,The Spencer Davis Group,Q2256,Birmingham,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Birmingham,reported_place
264,Imagination [2CkhxuagMCG9uvlbKm5G3m],,2CkhxuagMCG9uvlbKm5G3m,Imagination,1083676,139019,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2CkhxuagMCG9uvlbKm5G3m,Q142904,Imagination,Imagination,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
265,The Beautiful South [4fomCZiFUMX73KJ0YQ0V90],,4fomCZiFUMX73KJ0YQ0V90,The Beautiful South,1074612,498337,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4fomCZiFUMX73KJ0YQ0V90,Q1757677,The Beautiful South,The Beautiful South,Q128147,Kingston upon Hull,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Kingston upon Hull,reported_place
266,Spacehog [3NZE8jDD2cCzd4vUyZ5CQQ],,3NZE8jDD2cCzd4vUyZ5CQQ,Spacehog,1073095,164649,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3NZE8jDD2cCzd4vUyZ5CQQ,Q339626,Spacehog,Spacehog,Q60,New York City,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,New York City,reported_place
267,Manfred Mann [5670CyWrIOA7702gNjsGMZ],,5670CyWrIOA7702gNjsGMZ,Manfred Mann,1070103,421269,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5670CyWrIOA7702gNjsGMZ,Q319265,Manfred Mann,Manfred Mann,,,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
268,Caskets [2XIbOWDT5vZPW7jNyzdfcK],,2XIbOWDT5vZPW7jNyzdfcK,Caskets,1063882,255906,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2XIbOWDT5vZPW7jNyzdfcK,Q107981908,Caskets,Caskets,,,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
269,Idles [75mafsNqNE1WSEVxIKuY5C],,75mafsNqNE1WSEVxIKuY5C,IDLES,1060008,893225,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,75mafsNqNE1WSEVxIKuY5C,Q39070668,Idles,Idles,Q23154,Bristol,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Bristol,reported_place
270,Koven [3UCbp6D1lvILlxRJT9LnFa],,3UCbp6D1lvILlxRJT9LnFa,Koven,1057644,149136,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3UCbp6D1lvILlxRJT9LnFa,Q106091172,Koven,Koven,,,musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
271,Mis-Teeq [6csA2rxNLkQJXeEa7lyGXn],,6csA2rxNLkQJXeEa7lyGXn,Mis-Teeq,1053166,147133,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6csA2rxNLkQJXeEa7lyGXn,Q1303048,Mis-Teeq,Mis-Teeq,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
272,UFO [2Omy3P5hFZym7FKum1JA1s],,2Omy3P5hFZym7FKum1JA1s,UFO,1051240,669681,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2Omy3P5hFZym7FKum1JA1s,Q251657,UFO,UFO,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
273,White Lies [6ssXMmc5EOUrauZxirM910],,6ssXMmc5EOUrauZxirM910,White Lies,1046821,560678,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6ssXMmc5EOUrauZxirM910,Q1331605,White Lies,White Lies,Q83726,Ealing,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Ealing,reported_place
274,The Vaccines [0Ak6DLKHtpR6TEEnmcorKA],,0Ak6DLKHtpR6TEEnmcorKA,The Vaccines,1042137,807443,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0Ak6DLKHtpR6TEEnmcorKA,Q1458872,The Vaccines,The Vaccines,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
275,Modern English [0fYPQBOx0vsRMmjUba9HgF],,0fYPQBOx0vsRMmjUba9HgF,Modern English,1039829,242915,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0fYPQBOx0vsRMmjUba9HgF,Q1691644,Modern English,Modern English,Q184163,Colchester,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Colchester,reported_place
276,The Lightning Seeds [67YNiSqhrx1P8oPvIIvbP5],,67YNiSqhrx1P8oPvIIvbP5,The Lightning Seeds,1037603,189073,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,67YNiSqhrx1P8oPvIIvbP5,Q1973228,The Lightning Seeds,The Lightning Seeds,Q24826,Liverpool,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Liverpool,reported_place
277,King Crimson [7M1FPw29m5FbicYzS2xdpi],,7M1FPw29m5FbicYzS2xdpi,King Crimson,1036506,1414122,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7M1FPw29m5FbicYzS2xdpi,Q189382,King Crimson,King Crimson,Q21,England,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
278,Squeeze [6Jrj26oAY96EEC2lqC6fua],,6Jrj26oAY96EEC2lqC6fua,Squeeze,1034511,369318,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6Jrj26oAY96EEC2lqC6fua,Q591279,Squeeze,Squeeze,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
279,ABC [2s79xe5F6eUQkjwjww27Fh],,2s79xe5F6eUQkjwjww27Fh,ABC,1028147,431631,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2s79xe5F6eUQkjwjww27Fh,Q287078,ABC,ABC,Q42448,Sheffield,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Sheffield,reported_place
280,Ace [6QNkSI0c63lCTNXpHDBiqP],,6QNkSI0c63lCTNXpHDBiqP,Ace,1026309,40060,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6QNkSI0c63lCTNXpHDBiqP,Q339889,Ace,Ace,Q42448,Sheffield,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Sheffield,reported_place
281,Busted [3Z6IRCo7umuk8K2XQy0ZDj],,3Z6IRCo7umuk8K2XQy0ZDj,Busted,1009124,307292,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3Z6IRCo7umuk8K2XQy0ZDj,Q826185,Busted,Busted,Q203995,Southend-on-Sea,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Southend-on-Sea,reported_place
282,Girls Aloud [12EtLdLfJ41vUOoVzPZIUy],,12EtLdLfJ41vUOoVzPZIUy,Girls Aloud,996906,552875,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,12EtLdLfJ41vUOoVzPZIUy,Q205473,Girls Aloud,Girls Aloud,Q84,London,girl group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
283,Bear's Den [0nJaMZM8paoA5HEUTUXPqi],,0nJaMZM8paoA5HEUTUXPqi,Bear's Den,996827,345964,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0nJaMZM8paoA5HEUTUXPqi,Q18357134,Bear's Den,Bear's Den,Q84,London,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
284,Noah and the Whale [0aeLcja6hKzb7Uz2ou7ulP],,0aeLcja6hKzb7Uz2ou7ulP,Noah And The Whale,995813,469876,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0aeLcja6hKzb7Uz2ou7ulP,Q1811037,Noah and the Whale,Noah and the Whale,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
285,Il Divo [3KNZ9AOjBajjmr6ZR2VGfl],,3KNZ9AOjBajjmr6ZR2VGfl,Il Divo,977922,966587,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3KNZ9AOjBajjmr6ZR2VGfl,Q269813,Il Divo,Il Divo,Q145,United Kingdom,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
286,The Jesus and Mary Chain [4rjlerN21ygkIhmUv55irs],,4rjlerN21ygkIhmUv55irs,The Jesus and Mary Chain,975001,578109,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4rjlerN21ygkIhmUv55irs,Q1126301,The Jesus and Mary Chain,The Jesus and Mary Chain,Q654226,East Kilbride,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,East Kilbride,reported_place
287,Bombay Bicycle Club [3pTE9iaJTkWns3mxpNQlJV],,3pTE9iaJTkWns3mxpNQlJV,Bombay Bicycle Club,970928,881071,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3pTE9iaJTkWns3mxpNQlJV,Q891829,Bombay Bicycle Club,Bombay Bicycle Club,Q24502,Crouch End,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Crouch End,reported_place
288,You Me at Six [1kNQXvepPjaPgUfeDAF2h6],,1kNQXvepPjaPgUfeDAF2h6,You Me At Six,967721,698799,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1kNQXvepPjaPgUfeDAF2h6,Q1512507,You Me at Six,You Me at Six,Q1754096,Weybridge,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Weybridge,reported_place
289,McFly [47izDDvtOxxz3FzHYuUptd],,47izDDvtOxxz3FzHYuUptd,McFly,964171,515965,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,47izDDvtOxxz3FzHYuUptd,Q223768,McFly,McFly,Q21,England,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
290,Go West [7bKupnlF7XOfR1En3K8oAL],,7bKupnlF7XOfR1En3K8oAL,Go West,925778,281420,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7bKupnlF7XOfR1En3K8oAL,Q1533399,Go West,Go West,Q84,London,male duo|musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
291,Traffic [1CD77o9fbdyQFrHnUPUEsF],,1CD77o9fbdyQFrHnUPUEsF,Traffic,924163,664568,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1CD77o9fbdyQFrHnUPUEsF,Q1048439,Traffic,Traffic,Q2256,Birmingham,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Birmingham,reported_place
292,Cornershop [3Kf7VEIRWquxrNIuyJZnfF],,3Kf7VEIRWquxrNIuyJZnfF,Cornershop,920853,85161,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3Kf7VEIRWquxrNIuyJZnfF,Q1134101,Cornershop,Cornershop,Q83065,Leicester,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Leicester,reported_place
293,Hot Chip [37uLId6Z5ZXCx19vuruvv5],,37uLId6Z5ZXCx19vuruvv5,Hot Chip,912686,723814,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,37uLId6Z5ZXCx19vuruvv5,Q877512,Hot Chip,Hot Chip,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
294,The Libertines [4fSPtBgFPZzygkY6MehwQ7],,4fSPtBgFPZzygkY6MehwQ7,The Libertines,911120,943427,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4fSPtBgFPZzygkY6MehwQ7,Q214350,The Libertines,The Libertines,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
295,Heatwave [6D7h7R79IZjqJC2GM2wzyY],,6D7h7R79IZjqJC2GM2wzyY,Heatwave,907968,515706,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6D7h7R79IZjqJC2GM2wzyY,Q1592619,Heatwave,Heatwave,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
296,Manic Street Preachers [2uH0RyPcX7fnCcT90HFDQX],,2uH0RyPcX7fnCcT90HFDQX,Manic Street Preachers,893282,751312,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2uH0RyPcX7fnCcT90HFDQX,Q217025,Manic Street Preachers,Manic Street Preachers,Q880986,Blackwood,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Blackwood,reported_place
297,Elbow [0TJB3EE2efClsYIDQ8V2Jk],,0TJB3EE2efClsYIDQ8V2Jk,Elbow,891884,578182,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0TJB3EE2efClsYIDQ8V2Jk,Q665798,Elbow,Elbow,Q2736093,Ramsbottom,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Ramsbottom,reported_place
298,Jaded [6tCJN1fQNdFCEaOa8Da9Wf],,6tCJN1fQNdFCEaOa8Da9Wf,JADED,891067,55678,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6tCJN1fQNdFCEaOa8Da9Wf,Q47006918,Jaded,Jaded,,,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
299,The Troggs [57xdnSVt4ahJCIXYLieQ25],,57xdnSVt4ahJCIXYLieQ25,The Troggs,883780,337104,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,57xdnSVt4ahJCIXYLieQ25,Q943253,The Troggs,The Troggs,Q492805,Andover,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Andover,reported_place
300,Breathe [1MNeXu0284O7mQWgF1YRc0],,1MNeXu0284O7mQWgF1YRc0,Breathe,876466,38500,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1MNeXu0284O7mQWgF1YRc0,Q2307431,Breathe,Breathe,,,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
301,Orbital [3csPCeXsj2wezyvkRFzvmV],,3csPCeXsj2wezyvkRFzvmV,Orbital,874037,416016,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3csPCeXsj2wezyvkRFzvmV,Q515942,Orbital,Orbital,Q939838,Sevenoaks,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Sevenoaks,reported_place
302,Academy of Ancient Music [60adCptqwRkANTtVja0bvf],,60adCptqwRkANTtVja0bvf,Academy of Ancient Music,863103,46459,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,60adCptqwRkANTtVja0bvf,Q337310,Academy of Ancient Music,Academy of Ancient Music,,,charitable organization|musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
303,Crystal Fighters [75EZuo5MHV2572NRpMWotC],,75EZuo5MHV2572NRpMWotC,Crystal Fighters,846287,356161,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,75EZuo5MHV2572NRpMWotC,Q526130,Crystal Fighters,Crystal Fighters,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
304,Herman's Hermits [48YxSlb23RAaCd4RyHcV9V],,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,843685,542791,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,48YxSlb23RAaCd4RyHcV9V,Q693597,Herman's Hermits,Herman's Hermits,Q18125,Manchester,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Manchester,reported_place
305,La Serenissima [15PIcAgtP1zCipRK3sniUN],,15PIcAgtP1zCipRK3sniUN,La Serenissima,840773,10706,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,15PIcAgtP1zCipRK3sniUN,Q6465241,La Serenissima,La Serenissima,,,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
306,Floetry [0un6YenPxWZ2VW4aFGMupM],,0un6YenPxWZ2VW4aFGMupM,Floetry,834779,827023,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0un6YenPxWZ2VW4aFGMupM,Q3937955,Floetry,Floetry,Q24826,Liverpool,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Liverpool,reported_place
307,Average White Band [3tx8fyu3c4OBP5nejYtUOb],,3tx8fyu3c4OBP5nejYtUOb,Average White Band,830950,473616,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3tx8fyu3c4OBP5nejYtUOb,Q583556,Average White Band,Average White Band,Q123709,Dundee,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Dundee,reported_place
308,Elvis Costello & the Attractions [4qmHkMxr6pTWh5Zo74odpH],,4qmHkMxr6pTWh5Zo74odpH,Elvis Costello & The Attractions,830368,329467,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4qmHkMxr6pTWh5Zo74odpH,Q7714866,Elvis Costello & the Attractions,Elvis Costello & the Attractions,Q21,England,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
309,Del Amitri [2Q4FnG5T6NTUcAAZwuMV5K],,2Q4FnG5T6NTUcAAZwuMV5K,Del Amitri,827530,117032,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2Q4FnG5T6NTUcAAZwuMV5K,Q1183784,Del Amitri,Del Amitri,Q4093,Glasgow,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Glasgow,reported_place
310,Courteeners [1NfJU4hy56Z4UM4iyIa1B2],,1NfJU4hy56Z4UM4iyIa1B2,Courteeners,819255,366021,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1NfJU4hy56Z4UM4iyIa1B2,Q1352997,Courteeners,Courteeners,Q2560244,Middleton,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Middleton,reported_place
311,Wasia Project [7poQNrOwZoUcoqihg4Xex0],,7poQNrOwZoUcoqihg4Xex0,Wasia Project,815222,394807,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,7poQNrOwZoUcoqihg4Xex0,Q111865044,Wasia Project,Wasia Project,,,musical duo|sibling duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,,unresolved_generic_or_missing
312,Climie Fisher [3bpvhFSIErguVNQUiutctF],,3bpvhFSIErguVNQUiutctF,Climie Fisher,814321,91736,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3bpvhFSIErguVNQUiutctF,Q1101485,Climie Fisher,Climie Fisher,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
313,Kokoroko [3u9rbdcmA6CxjxOAkjaeFr],,3u9rbdcmA6CxjxOAkjaeFr,Kokoroko,813289,405946,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3u9rbdcmA6CxjxOAkjaeFr,Q104870323,Kokoroko,Kokoroko,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,London,reported_place
314,Bauhaus [5N5tQ9Dx1h8Od7aRmGj7Fi],,5N5tQ9Dx1h8Od7aRmGj7Fi,Bauhaus,808555,1137691,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5N5tQ9Dx1h8Od7aRmGj7Fi,Q180582,Bauhaus,Bauhaus,Q192240,Northampton,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Northampton,reported_place
315,Kajagoogoo [0f3kLT4wvi2mFHlHJgV8Hl],,0f3kLT4wvi2mFHlHJgV8Hl,Kajagoogoo,797085,292881,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0f3kLT4wvi2mFHlHJgV8Hl,Q608271,Kajagoogoo,Kajagoogoo,Q2462645,Leighton Buzzard,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,Leighton Buzzard,reported_place
