band_name,study_city_label,affiliation_type,entity_id,entity_name,source
The Outfield,Manchester,record_label,wd:Q183387,Columbia Records,Wikidata P264
Depeche Mode,London,record_label,wd:Q165711,Sire,Wikidata P264
Depeche Mode,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
Depeche Mode,London,record_label,wd:Q183412,EMI,Wikidata P264
Depeche Mode,London,record_label,wd:Q193023,Capitol Records,Wikidata P264
Depeche Mode,London,record_label,wd:Q203059,Virgin Records,Wikidata P264
Depeche Mode,London,record_label,wd:Q240804,Mute Records,Wikidata P264
Depeche Mode,London,record_label,wd:Q645889,Reprise Records,Wikidata P264
America,London,record_label,wd:Q193023,Capitol Records,Wikidata P264
America,London,record_label,wd:Q64485314,Warner Records,Wikidata P264
America,London,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
The Verve,Manchester,record_label,wd:Q183412,EMI,Wikidata P264
Duran Duran,Birmingham,record_label,wd:Q193023,Capitol Records,Wikidata P264
Duran Duran,Birmingham,record_label,wd:Q216364,Epic Records,Wikidata P264
Duran Duran,Birmingham,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
Eurythmics,Sunderland,record_label,wd:Q14192383,19 Recordings,Wikidata P264
Eurythmics,Sunderland,record_label,wd:Q664167,Arista Records,Wikidata P264
Little Mix,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
The Clash,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
The Clash,London,record_label,wd:Q330629,Sony Music,Wikidata P264
Mumford & Sons,London,record_label,wd:Q190585,Island Records,Wikidata P264
Mumford & Sons,London,record_label,wd:Q3771894,Glassnote Records,Wikidata P264
Mumford & Sons,London,record_label,wd:Q38903,Universal Music Group,Wikidata P264
Blur,London,record_label,wd:Q183412,EMI,Wikidata P264
Blur,London,record_label,wd:Q203059,Virgin Records,Wikidata P264
Blur,London,record_label,wd:Q208909,Parlophone,Wikidata P264
Blur,London,record_label,wd:Q2511544,SBK Records,Wikidata P264
Blur,London,record_label,wd:Q5465369,Food Records,Wikidata P264
Blur,London,record_label,wd:Q64485314,Warner Records,Wikidata P264
Bring Me The Horizon,Sheffield,record_label,wd:Q183387,Columbia Records,Wikidata P264
Bring Me The Horizon,Sheffield,record_label,wd:Q202585,RCA Records,Wikidata P264
Bring Me The Horizon,Sheffield,record_label,wd:Q2093972,Visible Noise,Wikidata P264
Bring Me The Horizon,Sheffield,record_label,wd:Q56760250,Sony Music,Wikidata P264
Bring Me The Horizon,Sheffield,record_label,wd:Q726153,Epitaph Records,Wikidata P264
Bring Me The Horizon,Sheffield,record_label,wd:Q796316,BMG Rights Management,Wikidata P264
Bring Me The Horizon,Sheffield,record_label,wd:Q838544,Earache Records,Wikidata P264
Snow Patrol,Dundee City,record_label,wd:Q2481499,Fiction Records,Wikidata P264
Spice Girls,London,record_label,wd:Q183412,EMI,Wikidata P264
Spice Girls,London,record_label,wd:Q203059,Virgin Records,Wikidata P264
The Animals,Newcastle,record_label,wd:Q183387,Columbia Records,Wikidata P264
The Animals,Newcastle,record_label,wd:Q1881437,MGM Records,Wikidata P264
The Animals,Newcastle,record_label,wd:Q202440,Atlantic Records,Wikidata P264
The Animals,Newcastle,record_label,wd:Q2265719,I.R.S. Records,Wikidata P264
The Animals,Newcastle,record_label,wd:Q3177785,Jet Records,Wikidata P264
The Animals,Newcastle,record_label,wd:Q5086379,Charly Records,Wikidata P264
The Animals,Newcastle,record_label,wd:Q557632,Decca,Wikidata P264
The Animals,Newcastle,record_label,wd:Q585643,Atco Records,Wikidata P264
Rudimental,London,record_label,wd:Q17985937,Black Butter Records,Wikidata P264
Rudimental,London,record_label,wd:Q1998195,Asylum Records,Wikidata P264
Rudimental,London,record_label,wd:Q202440,Atlantic Records,Wikidata P264
Faithless,London,record_label,wd:Q56760250,Sony Music,Wikidata P264
Disciples,London,record_label,wd:Q208909,Parlophone,Wikidata P264
Jungle,London,record_label,wd:Q1123947,XL Recordings,Wikidata P264
bôa,London,record_label,wd:Q3395828,Polystar,Wikidata P264
Cutting Crew,London,record_label,wd:Q203059,Virgin Records,Wikidata P264
Franz Ferdinand,Glasgow,record_label,wd:Q1238400,Domino Recording Company,Wikidata P264
Def Leppard,Sheffield,record_label,wd:Q165745,Mercury Records,Wikidata P264
Def Leppard,Sheffield,record_label,wd:Q190585,Island Records,Wikidata P264
Def Leppard,Sheffield,record_label,wd:Q27037164,earMUSIC,Wikidata P264
Pet Shop Boys,London,record_label,wd:Q208909,Parlophone,Wikidata P264
Pet Shop Boys,London,record_label,wd:Q56404384,Rhino,Wikidata P264
The Hollies,Manchester,record_label,wd:Q193023,Capitol Records,Wikidata P264
The Hollies,Manchester,record_label,wd:Q208909,Parlophone,Wikidata P264
The Hollies,Manchester,record_label,wd:Q216364,Epic Records,Wikidata P264
Wham!,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
Wham!,London,record_label,wd:Q216364,Epic Records,Wikidata P264
Two Door Cinema Club,Belfast,record_label,wd:Q917561,Kitsuné,Wikidata P264
The Stranglers,Guildford,record_label,wd:Q1542119,United Artists Records,Wikidata P264
The Stranglers,Guildford,record_label,wd:Q183412,EMI,Wikidata P264
The Stranglers,Guildford,record_label,wd:Q216364,Epic Records,Wikidata P264
The Stranglers,Guildford,record_label,wd:Q603117,Castle Communications,Wikidata P264
Simple Minds,Glasgow,record_label,wd:Q1088453,Chrysalis Records,Wikidata P264
Simple Minds,Glasgow,record_label,wd:Q203059,Virgin Records,Wikidata P264
Simple Minds,Glasgow,record_label,wd:Q277626,A&M Records,Wikidata P264
Simple Minds,Glasgow,record_label,wd:Q8074157,Zoom Records,Wikidata P264
Bronski Beat,London,record_label,wd:Q935090,London Records,Wikidata P264
Seafret,Hull,record_label,wd:Q183387,Columbia Records,Wikidata P264
Genesis,Guildford,record_label,wd:Q1063242,Charisma,Wikidata P264
Genesis,Guildford,record_label,wd:Q202440,Atlantic Records,Wikidata P264
Genesis,Guildford,record_label,wd:Q287177,ABC Records,Wikidata P264
Genesis,Guildford,record_label,wd:Q557632,Decca,Wikidata P264
Genesis,Guildford,record_label,wd:Q585643,Atco Records,Wikidata P264
Spandau Ballet,London,record_label,wd:Q1088453,Chrysalis Records,Wikidata P264
Spandau Ballet,London,record_label,wd:Q216364,Epic Records,Wikidata P264
UB40,Birmingham,record_label,wd:Q277626,A&M Records,Wikidata P264
UB40,Birmingham,record_label,wd:Q5204852,DEP International,Wikidata P264
The Chemical Brothers,Manchester,record_label,wd:Q1200368,Astralwerks,Wikidata P264
The Chemical Brothers,Manchester,record_label,wd:Q2879885,Freestyle Dust,Wikidata P264
The Chemical Brothers,Manchester,record_label,wd:Q6313173,Junior Boy's Own,Wikidata P264
Simply Red,Manchester,record_label,wd:Q2576206,East West Records,Wikidata P264
Simply Red,Manchester,record_label,wd:Q726251,Elektra,Wikidata P264
Jamiroquai,London,record_label,wd:Q165745,Mercury Records,Wikidata P264
Jamiroquai,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
Jamiroquai,London,record_label,wd:Q216364,Epic Records,Wikidata P264
Jamiroquai,London,record_label,wd:Q3001888,"Sony BMG Music Entertainment, Inc.",Wikidata P264
Jamiroquai,London,record_label,wd:Q330629,Sony Music,Wikidata P264
Iron Maiden,London,record_label,wd:Q193023,Capitol Records,Wikidata P264
Iron Maiden,London,record_label,wd:Q216364,Epic Records,Wikidata P264
Iron Maiden,London,record_label,wd:Q55965015,EMI,Wikidata P264
Toploader,Eastbourne,record_label,wd:Q7388256,Sony Soho Square,Wikidata P264
New Order,Manchester,record_label,wd:Q2400027,Factory Benelux,Wikidata P264
New Order,Manchester,record_label,wd:Q240804,Mute Records,Wikidata P264
New Order,Manchester,record_label,wd:Q3414893,Qwest Records,Wikidata P264
New Order,Manchester,record_label,wd:Q578943,Factory Records,Wikidata P264
New Order,Manchester,record_label,wd:Q645889,Reprise Records,Wikidata P264
New Order,Manchester,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
New Order,Manchester,record_label,wd:Q935090,London Records,Wikidata P264
Massive Attack,Bristol,record_label,wd:Q183412,EMI,Wikidata P264
The Who,London,record_label,wd:Q155152,Polydor Records,Wikidata P264
The Who,London,record_label,wd:Q557632,Decca,Wikidata P264
The Who,London,record_label,wd:Q585643,Atco Records,Wikidata P264
The Who,London,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
The Who,London,record_label,wd:Q994175,Brunswick Records,Wikidata P264
alt-J,Leeds,record_label,wd:Q1253168,Infectious Music,Wikidata P264
alt-J,Leeds,record_label,wd:Q202440,Atlantic Records,Wikidata P264
Dexys Midnight Runners,Birmingham,record_label,wd:Q55965015,EMI,Wikidata P264
The Kinks,London,record_label,wd:Q202585,RCA Records,Wikidata P264
The Kinks,London,record_label,wd:Q2117397,Pye Records,Wikidata P264
The Kinks,London,record_label,wd:Q2338889,MCA Records,Wikidata P264
The Kinks,London,record_label,wd:Q330629,Sony Music,Wikidata P264
The Kinks,London,record_label,wd:Q38903,Universal Music Group,Wikidata P264
The Kinks,London,record_label,wd:Q6429478,Konk,Wikidata P264
The Kinks,London,record_label,wd:Q645889,Reprise Records,Wikidata P264
The Kinks,London,record_label,wd:Q664167,Arista Records,Wikidata P264
The Kinks,London,record_label,wd:Q935090,London Records,Wikidata P264
Supertramp,London,record_label,wd:Q1088453,Chrysalis Records,Wikidata P264
Supertramp,London,record_label,wd:Q277626,A&M Records,Wikidata P264
Oh Wonder,London,record_label,wd:Q190585,Island Records,Wikidata P264
Oh Wonder,London,record_label,wd:Q5045044,Virgin Music,Wikidata P264
Goodboys,London,record_label,wd:Q50133002,Virgin,Wikidata P264
The Wanted,London,record_label,wd:Q212699,Geffen Records,Wikidata P264
Culture Club,London,record_label,wd:Q203059,Virgin Records,Wikidata P264
Culture Club,London,record_label,wd:Q216364,Epic Records,Wikidata P264
Deep Purple,London,record_label,wd:Q1324712,Harvest,Wikidata P264
Deep Purple,London,record_label,wd:Q155152,Polydor Records,Wikidata P264
Deep Purple,London,record_label,wd:Q183412,EMI,Wikidata P264
Deep Purple,London,record_label,wd:Q21077,Warner Music Group,Wikidata P264
Deep Purple,London,record_label,wd:Q2859201,Aquarius Records,Wikidata P264
Deep Purple,London,record_label,wd:Q3519170,Tetragrammaton Records,Wikidata P264
Deep Purple,London,record_label,wd:Q3629023,EMI Records,Wikidata P264
Deep Purple,London,record_label,wd:Q523563,Edel Records,Wikidata P264
Deep Purple,London,record_label,wd:Q770103,Bertelsmann Music Group,Wikidata P264
Deep Purple,London,record_label,wd:Q796316,BMG Rights Management,Wikidata P264
Deep Purple,London,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
The Kooks,Brighton and Hove,record_label,wd:Q203059,Virgin Records,Wikidata P264
The Kooks,Brighton and Hove,record_label,wd:Q3629023,EMI Records,Wikidata P264
La Roux,London,record_label,wd:Q155152,Polydor Records,Wikidata P264
La Roux,London,record_label,wd:Q917561,Kitsuné,Wikidata P264
10cc,Manchester,record_label,wd:Q2467208,UK Records,Wikidata P264
CamelPhat,Liverpool,record_label,wd:Q2743409,Xploded Music,Wikidata P264
Take That,Manchester,record_label,wd:Q3233924,CBS Records,Wikidata P264
Take That,Manchester,record_label,wd:Q796316,BMG Rights Management,Wikidata P264
Whitesnake,Middlesbrough,record_label,wd:Q212699,Geffen Records,Wikidata P264
The Vamps,London,record_label,wd:Q13218788,Virgin EMI Records,Wikidata P264
The Vamps,London,record_label,wd:Q165745,Mercury Records,Wikidata P264
The Vamps,London,record_label,wd:Q55965015,EMI,Wikidata P264
The Human League,Sheffield,record_label,wd:Q183412,EMI,Wikidata P264
The Human League,Sheffield,record_label,wd:Q203059,Virgin Records,Wikidata P264
The Human League,Sheffield,record_label,wd:Q2310327,Fast Product,Wikidata P264
The Human League,Sheffield,record_label,wd:Q2576206,East West Records,Wikidata P264
The Human League,Sheffield,record_label,wd:Q264137,Caroline Records,Wikidata P264
The Human League,Sheffield,record_label,wd:Q277626,A&M Records,Wikidata P264
The Human League,Sheffield,record_label,wd:Q7133008,Papillon Records,Wikidata P264
The Human League,Sheffield,record_label,wd:Q976267,Wall of Sound,Wikidata P264
AlunaGeorge,London,record_label,wd:Q18155323,Tri Angle,Wikidata P264
AlunaGeorge,London,record_label,wd:Q190585,Island Records,Wikidata P264
AlunaGeorge,London,record_label,wd:Q38903,Universal Music Group,Wikidata P264
Portishead,Bristol,record_label,wd:Q1533331,Go! Discs,Wikidata P264
Portishead,Bristol,record_label,wd:Q190585,Island Records,Wikidata P264
Frou Frou,London,record_label,wd:Q190585,Island Records,Wikidata P264
Soft Cell,Leeds,record_label,wd:Q3489789,Some Bizzare,Wikidata P264
Stealers Wheel,Glasgow,record_label,wd:Q277626,A&M Records,Wikidata P264
Katrina & The Waves,Cambridge,record_label,wd:Q183412,EMI,Wikidata P264
Katrina & The Waves,Cambridge,record_label,wd:Q193023,Capitol Records,Wikidata P264
Katrina & The Waves,Cambridge,record_label,wd:Q21077,Warner Music Group,Wikidata P264
Katrina & The Waves,Cambridge,record_label,wd:Q2511544,SBK Records,Wikidata P264
Katrina & The Waves,Cambridge,record_label,wd:Q4818321,Attic,Wikidata P264
LF SYSTEM,Edinburgh,record_label,wd:Q21077,Warner Music Group,Wikidata P264
Everything But The Girl,Hull,record_label,wd:Q165711,Sire,Wikidata P264
Everything But The Girl,Hull,record_label,wd:Q202440,Atlantic Records,Wikidata P264
The La's,Liverpool,record_label,wd:Q1533331,Go! Discs,Wikidata P264
The xx,London,record_label,wd:Q1123947,XL Recordings,Wikidata P264
Fine Young Cannibals,Birmingham,record_label,wd:Q2265719,I.R.S. Records,Wikidata P264
Fine Young Cannibals,Birmingham,record_label,wd:Q935090,London Records,Wikidata P264
Stereophonics,Cardiff,record_label,wd:Q6753829,MapleMusic Recordings,Wikidata P264
Bush,London,record_label,wd:Q1273666,MNRK Music Group,Wikidata P264
Bush,London,record_label,wd:Q202440,Atlantic Records,Wikidata P264
Cocteau Twins,Falkirk,record_label,wd:Q238095,4AD,Wikidata P264
The Zombies,London,record_label,wd:Q183387,Columbia Records,Wikidata P264
The Zombies,London,record_label,wd:Q2413622,The End Records,Wikidata P264
The Zombies,London,record_label,wd:Q2630076,Tower Records,Wikidata P264
The Zombies,London,record_label,wd:Q2792712,Parrot,Wikidata P264
The Zombies,London,record_label,wd:Q5227548,Date Records,Wikidata P264
The Zombies,London,record_label,wd:Q557632,Decca,Wikidata P264
The Zombies,London,record_label,wd:Q7304384,Red House Records,Wikidata P264
Hot Chocolate,London,record_label,wd:Q213710,Apple Records,Wikidata P264
Hot Chocolate,London,record_label,wd:Q3844913,Manticore Records,Wikidata P264
Hot Chocolate,London,record_label,wd:Q478062,RAK,Wikidata P264
Hot Chocolate,London,record_label,wd:Q4906603,Big Tree Records,Wikidata P264
The Alan Parsons Project,Glasgow,record_label,wd:Q1063242,Charisma,Wikidata P264
The Alan Parsons Project,Glasgow,record_label,wd:Q664167,Arista Records,Wikidata P264
Chase & Status,London,record_label,wd:Q1194456,Roc Nation,Wikidata P264
Chase & Status,London,record_label,wd:Q1330417,Vertigo Records,Wikidata P264
Chase & Status,London,record_label,wd:Q165745,Mercury Records,Wikidata P264
Chase & Status,London,record_label,wd:Q4048005,RAM Records,Wikidata P264
Hurts,Manchester,record_label,wd:Q202585,RCA Records,Wikidata P264
Chumbawamba,Burnley,record_label,wd:Q1273666,MNRK Music Group,Wikidata P264
Chumbawamba,Burnley,record_label,wd:Q183412,EMI,Wikidata P264
Chumbawamba,Burnley,record_label,wd:Q1848933,One Little Independent Records,Wikidata P264
Chumbawamba,Burnley,record_label,wd:Q7044444,No Masters,Wikidata P264
A Flock Of Seagulls,Liverpool,record_label,wd:Q27184,Jive Records,Wikidata P264
Slowdive,Reading,record_label,wd:Q1139341,Creation Records,Wikidata P264
Slowdive,Reading,record_label,wd:Q5245342,Dead Oceans,Wikidata P264
Supergrass,Oxford,record_label,wd:Q183412,EMI,Wikidata P264
Supergrass,Oxford,record_label,wd:Q193023,Capitol Records,Wikidata P264
Supergrass,Oxford,record_label,wd:Q208909,Parlophone,Wikidata P264
Supergrass,Oxford,record_label,wd:Q2996526,Cooking Vinyl,Wikidata P264
Supergrass,Oxford,record_label,wd:Q7068342,Nude Records,Wikidata P264
Cream,London,record_label,wd:Q155152,Polydor Records,Wikidata P264
Cream,London,record_label,wd:Q3421539,Reaction,Wikidata P264
Cream,London,record_label,wd:Q585643,Atco Records,Wikidata P264
Motörhead,London,record_label,wd:Q1093518,GWR Records,Wikidata P264
Motörhead,London,record_label,wd:Q1347984,Sanctuary Records,Wikidata P264
Motörhead,London,record_label,wd:Q216364,Epic Records,Wikidata P264
Motörhead,London,record_label,wd:Q4818321,Attic,Wikidata P264
Motörhead,London,record_label,wd:Q671229,Bronze,Wikidata P264
Motörhead,London,record_label,wd:Q694052,SPV GmbH,Wikidata P264
Yes,London,record_label,wd:Q202440,Atlantic Records,Wikidata P264
Yes,London,record_label,wd:Q585643,Atco Records,Wikidata P264
Yes,London,record_label,wd:Q726251,Elektra,Wikidata P264
Nazareth,Edinburgh,record_label,wd:Q6907678,Mooncrest,Wikidata P264
Foals,Oxford,record_label,wd:Q126399,Warner Bros. Entertainment,Wikidata P264
Foals,Oxford,record_label,wd:Q4051704,Transgressive Records,Wikidata P264
Foals,Oxford,record_label,wd:Q778673,Sub Pop,Wikidata P264
Foals,Oxford,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
The Foundations,London,record_label,wd:Q2117397,Pye Records,Wikidata P264
