popularity_rank,band_name,spotify_id,wikidata_qid,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,mapped_fua,musicbrainz_covered,wikidata_label_covered,network_degree,member_degree,label_degree,internal_degree,connected,member_connected,label_connected
19,Sade,47zz7sob9NUcODy0BTDvKx,Q658182,6060389,25528819,strict,UK001F,London,True,True,True,30,0,30,14,True,False,True
20,Disclosure,6nS5roXSAGhTGr34W6n7Et,Q1228440,2482964,25360907,strict,UK001F,London,True,True,True,47,0,47,28,True,False,True
21,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Q269091,4593372,23781006,strict,UK031F,Bath and North East Somerset,True,True,True,51,0,51,0,True,False,True
22,Keane,53A0W3U0s8diEn9RhXQhVz,Q484311,4211743,23259577,strict,UK056F,Hastings,True,True,True,38,0,38,0,True,False,True
23,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,Q180598,8767855,22515532,strict,UK008F,Manchester,True,True,True,43,5,39,3,True,True,True
24,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Q689,5786448,22166012,strict,UK001F,London,True,True,True,31,4,27,16,True,True,True
25,Muse,12Chz98pHFMPJEknJQMWvI,Q22151,8949427,20942571,strict,UK018F,Exeter,True,True,True,29,0,29,0,True,False,True
26,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Q2331,16927470,20605707,strict,UK001F,London,True,True,True,37,1,36,19,True,True,True
27,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Q2811247,8582651,18915018,strict,UK008F,Manchester,True,True,True,43,0,43,3,True,False,True
28,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,Q218255,4748870,18330664,strict,UK002F,Birmingham,True,False,True,101,0,101,6,True,False,True
29,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Q47670,10711277,18288641,strict,UK002F,Birmingham,True,True,True,82,11,75,6,True,True,True
30,The Outfield,1zxDewzd2j1ZdSBGaYcr0y,Q2093178,893650,17941634,strict,UK001F,London,True,True,True,40,0,40,22,True,False,True
31,Depeche Mode,762310PdDnwsDxAQxzQkfX,Q482964,7949283,17667155,strict,UK001F,London,True,True,True,113,1,113,57,True,True,True
32,America,35U9lQaRWSQISxQAB94Meo,Q126852,2286400,17384987,strict,UK001F,London,True,True,True,46,0,46,24,True,False,True
33,The Verve,2cGwlqi3k18jFpUyTrsR84,Q488916,3001478,16374768,strict,UK008F,Manchester,True,True,True,30,0,30,1,True,False,True
34,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Q58381,3958344,15134650,strict,UK002F,Birmingham,True,True,True,69,0,69,5,True,False,True
35,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Q207706,2546395,14843560,strict,UK001F,London,True,True,True,9,0,9,6,True,False,True
36,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Q158419,12405563,14779473,strict,UK001F,London,True,True,True,40,0,40,22,True,False,True
37,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Q125603,3508323,14589467,strict,UK001F,London,True,True,True,48,4,45,28,True,True,True
38,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,Q953918,6882187,14381934,strict,UK001F,London,True,True,True,50,0,50,28,True,False,True
39,Blur,7MhMgCo0Bl0Kukl93PZbYS,Q485820,4274924,14009757,strict,UK001F,London,True,True,True,66,0,66,32,True,False,True
40,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,Q494784,7131475,13707032,strict,UK010F,Sheffield,True,True,True,66,0,66,0,True,False,True
41,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,Q188407,3465980,13274460,strict,UK550F,Dundee City,True,True,True,7,0,7,1,True,False,True
42,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Q55641,4560204,12877807,strict,UK001F,London,True,True,True,51,0,51,25,True,False,True
43,The Animals,3ICflSq6ZgYAIrm2CTkfVP,Q131422,2812173,12324330,strict,UK013F,Newcastle,True,True,True,86,0,86,0,True,False,True
44,Rudimental,4WN5naL3ofxrVBgFpguzKo,Q50971,1462225,11737472,strict,UK001F,London,True,True,True,28,0,28,15,True,False,True
45,Faithless,5T4UKHhr4HGIC0VzdZQtAE,Q542071,796754,11726956,strict,UK001F,London,True,True,True,5,0,5,3,True,False,True
46,Disciples,5EehXjjMktLuJmbRsM7YfB,Q24025201,299331,11691137,strict,UK001F,London,True,True,True,16,0,16,9,True,False,True
47,Jungle,59oA5WbbQvomJz2BuRG071,Q17405943,1886516,11614048,strict,UK001F,London,True,True,True,6,0,6,5,True,False,True
48,bôa,5jTtGLk1mGFMY5lQOvJYUj,Q285481,1380058,11444869,strict,UK001F,London,True,True,True,0,0,0,0,False,False,False
49,Cutting Crew,3cniTumSiUysiPWXapGx1i,Q977526,628518,10972839,strict,UK001F,London,True,True,True,28,1,27,16,True,True,True
50,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Q173180,3218082,10807735,strict,UK004F,Glasgow,True,True,True,7,0,7,0,True,False,True
51,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,Q182890,6056540,10792689,strict,UK010F,Sheffield,True,True,True,56,1,55,1,True,True,True
52,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,Q485625,2426999,10634217,strict,UK001F,London,True,True,True,17,0,17,9,True,False,True
53,The Hollies,6waa8mKu91GjzD4NlONlNJ,Q282925,1450461,10112715,strict,UK008F,Manchester,True,True,True,56,3,53,2,True,True,True
54,Wham!,5lpH0xAS4fVfLkACg9DAuM,Q744087,3400543,10018855,strict,UK001F,London,True,True,True,64,0,64,33,True,False,True
55,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Q777302,2655723,9884423,strict,UK012F,Belfast,True,True,True,3,0,3,0,True,False,True
56,The Stranglers,0RUEHcBiENFEqxgicqS2ig,Q1532854,862339,9836875,strict,UK033F,Guildford,True,True,True,67,1,67,1,True,True,True
57,Simple Minds,6hN9F0iuULZYWXppob22Aj,Q748836,2504682,9628717,strict,UK004F,Glasgow,True,True,True,59,4,56,5,True,True,True
58,Bronski Beat,2wpWOzQE5TpA0dVnh5YD08,Q927927,730877,9566679,strict,UK001F,London,True,True,True,11,0,11,7,True,False,True
59,Seafret,4Ly0KABsxlx4fNj63zJTrF,Q28109766,1149369,9520023,strict,UK026F,Hull,True,True,True,40,0,40,0,True,False,True
60,Genesis,3CkvROUTQ6nRi9yQOcsB50,Q151012,3958098,9434858,strict,UK033F,Guildford,True,True,True,45,0,45,3,True,False,True
61,Spandau Ballet,2urZrEdsq72kx0UzfYN8Yv,Q16011,1587103,9335819,strict,UK001F,London,True,True,True,49,0,49,24,True,False,True
62,UB40,69MEO1AADKg1IZrq2XLzo5,Q560153,2783787,9327767,strict,UK002F,Birmingham,True,True,True,15,0,15,0,True,False,True
63,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Q208507,2435363,9143502,strict,UK008F,Manchester,True,True,True,8,0,8,1,True,False,True
64,Simply Red,1fa0cOhromAZdq2xRA4vv8,Q339430,2960800,9097250,strict,UK008F,Manchester,True,True,True,18,5,13,1,True,True,True
65,Jamiroquai,6J7biCazzYhU3gM9j1wfid,Q202041,3053662,9068742,strict,UK001F,London,True,True,True,84,1,83,44,True,True,True
66,Iron Maiden,6mdiAmATAx73kdxrNrnlao,Q42482,10931269,9029433,strict,UK001F,London,True,True,True,53,1,52,28,True,True,True
67,Toploader,6xeFne1rkxMhKSW3ipvkdV,Q1742953,146489,8829850,strict,UK055F,Eastbourne,True,True,True,0,0,0,0,False,False,False
68,New Order,0yNLKJebCb8Aueb54LYya3,Q214990,2651294,8786188,strict,UK008F,Manchester,True,True,True,59,3,58,9,True,True,True
69,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Q357418,2943616,8692931,strict,UK011F,Bristol,True,True,True,30,0,30,0,True,False,True
70,The Who,67ea9eGLXYMsO2eYQRui3w,Q93346,6100346,8659112,strict,UK001F,London,True,True,True,82,4,79,42,True,True,True
71,D-Block Europe,5VadK1havLhK1OpKYsXv9y,Q63313993,1930307,8351560,strict,UK001F,London,True,True,True,0,0,0,0,False,False,False
72,alt-J,3XHO7cRUPCLOr6jwp8vsx5,Q47996,3499216,8110938,strict,UK003F,Leeds,True,True,True,27,0,27,0,True,False,True
74,Dexys Midnight Runners,4QTVePrFu1xuGM9K0kNXkk,Q247259,384886,7999321,strict,UK002F,Birmingham,True,True,True,13,3,10,0,True,True,True
75,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Q188713,2958309,7864488,strict,UK001F,London,True,True,True,69,6,65,40,True,True,True
76,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,Q176457,4214119,7695790,strict,UK001F,London,True,True,True,32,1,32,17,True,True,True
77,Oh Wonder,5cIc3SBFuBLVxJz58W2tU9,Q21452721,1128715,7552797,strict,UK001F,London,True,True,True,38,0,38,23,True,False,True
78,Goodboys,2nm38smINjms1LtczR0Cei,Q65052503,130149,7292613,strict,UK001F,London,True,True,True,1,0,1,0,True,False,True
79,The Wanted,2NhdGz9EDv2FeUw6udu2g1,Q34918,2480552,7143333,strict,UK001F,London,True,True,True,8,0,8,3,True,False,True
80,Culture Club,6kz53iCdBSqhQCZ21CoLcc,Q50037,1913999,7076755,strict,UK001F,London,True,True,True,58,1,57,30,True,True,True
81,Deep Purple,568ZhdwyaiCyOGJRtNYhWf,Q101505,6229490,6998809,strict,UK001F,London,True,True,True,105,5,102,52,True,True,True
82,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,Q211768,2737101,6950019,strict,UK515F,Brighton and Hove,True,True,True,34,1,33,0,True,True,True
83,La Roux,3K2zB87GZv1krx031en5VA,Q200002,712440,6858904,strict,UK001F,London,True,True,True,37,0,37,21,True,False,True
84,10cc,6i6WlGzQtXtz7GcC5H5st5,Q169145,952868,6808182,strict,UK008F,Manchester,True,True,True,7,7,0,1,True,True,False
85,CamelPhat,240wlM8vDrf6S4zCyzGj2W,Q21008079,572358,6543464,strict,UK006F,Liverpool,True,True,True,2,1,2,1,True,True,True
86,Take That,1XgFuvRd7r5g0h844A5ZUQ,Q152066,1517488,6539015,strict,UK008F,Manchester,True,True,True,7,0,7,0,True,False,True
87,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,Q189965,3532823,6249726,strict,UK559F,Middlesbrough,True,True,True,17,9,8,0,True,True,True
88,The Vamps,7gAppWoH7pcYmphCVTXkzs,Q15042553,5952843,6167219,strict,UK001F,London,True,True,True,27,0,27,13,True,False,True
