band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Benediction,Birmingham,Napalm Death,Birmingham,Barney Greenway|Frank Healy,2,,0,2,True
Big Audio Dynamite,London,The Clash,London,Mick Jones,1,Sony Music,1,2,True
Black Grape,Manchester,Happy Mondays,Manchester,Bez|Shaun Ryder,2,,0,2,True
Black Sabbath,Birmingham,Chase & Status,London,,0,Mercury Records|Vertigo Records,2,2,False
Black Sabbath,Birmingham,Michael Schenker Group,London,Cozy Powell|Neil Murray,2,,0,2,False
Black Sabbath,Birmingham,Sex Pistols,London,,0,Universal Music Group|Warner Bros. Records,2,2,False
Black Sabbath,Birmingham,Texas,Glasgow,,0,Mercury Records|Vertigo Records,2,2,False
Black Sabbath,Birmingham,The Vamps,London,,0,Mercury Records|Virgin EMI Records,2,2,False
Black Sabbath,Birmingham,Whitesnake,Middlesbrough,Cozy Powell|Neil Murray,2,,0,2,False
Blind Faith,Guildford,Fairport Convention,London,,0,Island Records|Polydor Records,2,2,False
Blind Faith,Guildford,Hawkwind,London,Ginger Baker,1,Atco Records,1,2,False
Blind Faith,Guildford,The Who,London,,0,Atco Records|Polydor Records,2,2,False
Blur,London,Depeche Mode,London,,0,EMI|Virgin Records,2,2,True
Blur,London,Gorillaz,London,,0,Parlophone|Virgin Records,2,2,True
Blur,London,Katrina & The Waves,Cambridge,,0,EMI|SBK Records,2,2,False
Blur,London,Pink Floyd,London,,0,EMI|Parlophone,2,2,True
Blur,London,Placebo,London,,0,EMI|Virgin Records,2,2,True
Blur,London,Queen,London,,0,EMI|Parlophone,2,2,True
Blur,London,Sex Pistols,London,,0,EMI|Virgin Records,2,2,True
Blur,London,Spice Girls,London,,0,EMI|Virgin Records,2,2,True
Blur,London,Starsailor,Manchester,,0,EMI|Virgin Records,2,2,False
Blur,London,Supergrass,Oxford,,0,EMI|Parlophone,2,2,False
Blur,London,Talk Talk,London,,0,EMI|Parlophone,2,2,True
Blur,London,The Human League,Sheffield,,0,EMI|Virgin Records,2,2,False
Bring Me The Horizon,Sheffield,Cathedral,Coventry,,0,Columbia Records|Earache Records,2,2,False
Bring Me The Horizon,Sheffield,Glasvegas,Glasgow,,0,BMG Rights Management|Columbia Records,2,2,False
Bring Me The Horizon,Sheffield,One Direction,London,,0,Columbia Records|Sony Music,2,2,False
Bring Me The Horizon,Sheffield,Pink Floyd,London,,0,Columbia Records|Sony Music,2,2,False
Bring Me The Horizon,Sheffield,lostprophets,Cardiff,,0,Columbia Records|Visible Noise,2,2,False
Busted,London,Fightstar,London,Charlie Simpson,1,Island Records,1,2,True
Camel,Guildford,Genesis,Guildford,,0,Charisma|Decca,2,2,True
Camel,Guildford,Pilot,Edinburgh,David Paton|Stuart Tosh,2,,0,2,False
Camel,Guildford,Savoy Brown,London,,0,Decca|Deram,2,2,False
Camel,Guildford,Ten Years After,Nottingham,,0,Decca|Deram,2,2,False
Camel,Guildford,The Alan Parsons Project,Glasgow,Chris Rainbow,1,Charisma,1,2,False
Camel,Guildford,The Moody Blues,Birmingham,,0,Decca|Deram,2,2,False
Camel,Guildford,Them,Belfast,,0,Decca|Deram,2,2,False
Camel,Guildford,Wishbone Ash,Torbay,,0,Decca|MCA Records,2,2,False
CamelPhat,Liverpool,Ultrabeat,Liverpool,Mike Di Scala,1,Xploded Music,1,2,True
Carcass,Liverpool,Cathedral,Coventry,,0,Earache Records|Nuclear Blast,2,2,False
Carcass,Liverpool,Napalm Death,Birmingham,Bill Steer,1,Earache Records,1,2,False
Catatonia,Cardiff,Super Furry Animals,Cardiff,Dafydd Ieuan|Guto Pryce,2,,0,2,True
Cathedral,Coventry,Napalm Death,Birmingham,Lee Dorrian,1,Earache Records,1,2,False
Catherine Wheel,Great Yarmouth,Deacon Blue,Glasgow,,0,Chrysalis Records|Columbia Records,2,2,False
Catherine Wheel,Great Yarmouth,Gentle Giant,London,,0,Chrysalis Records|Columbia Records,2,2,False
Catherine Wheel,Great Yarmouth,Ten Years After,Nottingham,,0,Chrysalis Records|Columbia Records,2,2,False
Chase & Status,London,Texas,Glasgow,,0,Mercury Records|Vertigo Records,2,2,False
Clean Bandit,Cambridge,Rudimental,London,,0,Atlantic Records|Black Butter Records,2,2,False
Clean Bandit,Cambridge,The Rolling Stones,London,,0,Atlantic Records|Warner Music Group,2,2,False
Climie Fisher,London,Depeche Mode,London,,0,Capitol Records|EMI,2,2,True
Climie Fisher,London,Katrina & The Waves,Cambridge,,0,Capitol Records|EMI,2,2,False
Climie Fisher,London,Pink Floyd,London,,0,Capitol Records|EMI,2,2,True
Climie Fisher,London,Queen,London,,0,Capitol Records|EMI,2,2,True
Climie Fisher,London,Supergrass,Oxford,,0,Capitol Records|EMI,2,2,False
Climie Fisher,London,The Magic Numbers,London,,0,Capitol Records|EMI,2,2,True
Coldplay,London,Pink Floyd,London,,0,Capitol Records|Parlophone,2,2,True
