band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Five Star,London,New Model Army,Leeds,,0,Epic Records,1,1,False
Five Star,London,Oasis,Manchester,,0,Epic Records,1,1,False
Five Star,London,Sade,London,,0,Epic Records,1,1,True
Five Star,London,Skunk Anansie,London,,0,Epic Records,1,1,True
Five Star,London,Sky,London,,0,Epic Records,1,1,True
Five Star,London,Slade,Birmingham,,0,Epic Records,1,1,False
Five Star,London,Spandau Ballet,London,,0,Epic Records,1,1,True
Five Star,London,Super Furry Animals,Cardiff,,0,Epic Records,1,1,False
Five Star,London,Tears For Fears,Bath and North East Somerset,,0,Epic Records,1,1,False
Five Star,London,The Dave Clark Five,London,,0,Epic Records,1,1,True
Five Star,London,The Hollies,Manchester,,0,Epic Records,1,1,False
Five Star,London,The Stranglers,Guildford,,0,Epic Records,1,1,False
Five Star,London,The Vibrators,London,,0,Epic Records,1,1,True
Five Star,London,Travis,Glasgow,,0,Epic Records,1,1,False
Five Star,London,Wham!,London,,0,Epic Records,1,1,True
Five Star,London,lostprophets,Cardiff,,0,Epic Records,1,1,False
Fleetwood Mac,London,Foals,Oxford,,0,Warner Bros. Records,1,1,False
Fleetwood Mac,London,Gang Of Four,Leeds,,0,Warner Bros. Records,1,1,False
Fleetwood Mac,London,Gentle Giant,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Glasvegas,Glasgow,,0,Columbia Records,1,1,False
Fleetwood Mac,London,Gorillaz,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,Groove Armada,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Herman's Hermits,Manchester,,0,Columbia Records,1,1,False
Fleetwood Mac,London,Iron Maiden,London,,0,Epic Records,1,1,True
Fleetwood Mac,London,JLS,London,,0,Epic Records,1,1,True
Fleetwood Mac,London,Jethro Tull,Luton,,0,Reprise Records,1,1,False
Fleetwood Mac,London,Judas Priest,Birmingham,,0,Epic Records,1,1,False
Fleetwood Mac,London,Kula Shaker,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Little Mix,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,London Grammar,Nottingham,,0,Columbia Records,1,1,False
Fleetwood Mac,London,Magnetic Man,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Manfred Mann's Earth Band,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,Manic Street Preachers,Cardiff,,0,Columbia Records,1,1,False
Fleetwood Mac,London,Mumm-ra,Hastings,,0,Columbia Records,1,1,False
Fleetwood Mac,London,Muse,Exeter,,0,Warner Bros. Records,1,1,False
Fleetwood Mac,London,New Model Army,Leeds,,0,Epic Records,1,1,False
Fleetwood Mac,London,One Direction,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Pink Floyd,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Procol Harum,London,,0,Reprise Records,1,1,True
Fleetwood Mac,London,Red Box,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,Royal Blood,Brighton and Hove,,0,Warner Bros. Records,1,1,False
Fleetwood Mac,London,Sade,London,,0,Epic Records,1,1,True
Fleetwood Mac,London,Seafret,Hull,,0,Columbia Records,1,1,False
Fleetwood Mac,London,Sex Pistols,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,Siouxsie and the Banshees,London,,0,Sanctuary Records,1,1,True
Fleetwood Mac,London,Skunk Anansie,London,,0,Epic Records,1,1,True
Fleetwood Mac,London,Sky,London,,0,Epic Records,1,1,True
Fleetwood Mac,London,Slade,Birmingham,,0,Epic Records,1,1,False
Fleetwood Mac,London,Spandau Ballet,London,,0,Epic Records,1,1,True
Fleetwood Mac,London,Suede,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Super Furry Animals,Cardiff,,0,Epic Records,1,1,False
Fleetwood Mac,London,T. Rex,London,,0,Reprise Records,1,1,True
Fleetwood Mac,London,Take That,Manchester,,0,CBS Records,1,1,False
Fleetwood Mac,London,Tears For Fears,Bath and North East Somerset,,0,Epic Records,1,1,False
Fleetwood Mac,London,Ten Years After,Nottingham,,0,Columbia Records,1,1,False
Fleetwood Mac,London,The Animals,Newcastle,,0,Columbia Records,1,1,False
Fleetwood Mac,London,The Blue Nile,Glasgow,,0,Warner Bros. Records,1,1,False
Fleetwood Mac,London,The Clash,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,The Cure,Crawley,,0,Sire,1,1,False
Fleetwood Mac,London,The Dream Academy,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,The Farm,Liverpool,,0,Sire,1,1,False
Fleetwood Mac,London,The Hollies,Manchester,,0,Epic Records,1,1,False
Fleetwood Mac,London,The Kinks,London,,0,Reprise Records,1,1,True
Fleetwood Mac,London,The Moody Blues,Birmingham,Bekka Bramlett,1,,0,1,False
Fleetwood Mac,London,The Orb,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,The Outfield,Manchester,,0,Columbia Records,1,1,False
Fleetwood Mac,London,The Overtones,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,The Pretty Things,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,The Psychedelic Furs,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,The Rezillos,Edinburgh,,0,Sire,1,1,False
Fleetwood Mac,London,The Rolling Stones,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,The Smiths,Manchester,,0,Warner Bros. Records,1,1,False
Fleetwood Mac,London,The Stranglers,Guildford,,0,Epic Records,1,1,False
Fleetwood Mac,London,The Ting Tings,Manchester,,0,Columbia Records,1,1,False
Fleetwood Mac,London,The Undertones,Derry & Strabane Local Government District,,0,Sire,1,1,False
Fleetwood Mac,London,The Vaccines,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,The Vibrators,London,,0,Epic Records,1,1,True
Fleetwood Mac,London,The Who,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,The Yardbirds,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,The Zombies,London,,0,Columbia Records,1,1,True
Fleetwood Mac,London,Thompson Twins,Sheffield,,0,Warner Bros. Records,1,1,False
Fleetwood Mac,London,Tigertailz,Cardiff,,0,Sanctuary Records,1,1,False
Fleetwood Mac,London,Traffic,Birmingham,Dave Mason,1,,0,1,False
Fleetwood Mac,London,Travis,Glasgow,,0,Epic Records,1,1,False
Fleetwood Mac,London,Uriah Heep,London,,0,Warner Bros. Records,1,1,True
Fleetwood Mac,London,Venom,Newcastle,,0,Sanctuary Records,1,1,False
Fleetwood Mac,London,Wizzard,Birmingham,,0,Warner Bros. Records,1,1,False
Flesh For Lulu,London,Floetry,Liverpool,,0,Polydor Records,1,1,False
Flesh For Lulu,London,Gene,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,Girls Aloud,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,Kaiser Chiefs,Leeds,,0,Polydor Records,1,1,False
Flesh For Lulu,London,Klaxons,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,La Roux,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,Monaco,Manchester,,0,Polydor Records,1,1,False
Flesh For Lulu,London,N-Dubz,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,Paper Lace,Nottingham,,0,Polydor Records,1,1,False
Flesh For Lulu,London,Peter and the Test Tube Babies,Brighton and Hove,Derek Greening,1,,0,1,False
Flesh For Lulu,London,Rainbow,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,Shed Seven,York,,0,Polydor Records,1,1,False
Flesh For Lulu,London,Siouxsie and the Banshees,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,Slade,Birmingham,,0,Polydor Records,1,1,False
Flesh For Lulu,London,Talk Talk,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,The 1975,Manchester,,0,Polydor Records,1,1,False
Flesh For Lulu,London,The Beatles,Liverpool,,0,Polydor Records,1,1,False
Flesh For Lulu,London,The Cure,Crawley,,0,Polydor Records,1,1,False
Flesh For Lulu,London,The Jam,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,The Moody Blues,Birmingham,,0,Polydor Records,1,1,False
Flesh For Lulu,London,The Rolling Stones,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,The Saturdays,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,The Style Council,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,The Sweet,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,The Who,London,,0,Polydor Records,1,1,True
Flesh For Lulu,London,The Wonder Stuff,Birmingham,,0,Polydor Records,1,1,False
Floetry,Liverpool,Gene,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,Girls Aloud,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,Kaiser Chiefs,Leeds,,0,Polydor Records,1,1,False
Floetry,Liverpool,Klaxons,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,La Roux,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,Monaco,Manchester,,0,Polydor Records,1,1,False
Floetry,Liverpool,N-Dubz,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,Paper Lace,Nottingham,,0,Polydor Records,1,1,False
Floetry,Liverpool,Rainbow,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,Shed Seven,York,,0,Polydor Records,1,1,False
Floetry,Liverpool,Siouxsie and the Banshees,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,Slade,Birmingham,,0,Polydor Records,1,1,False
Floetry,Liverpool,Talk Talk,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,The 1975,Manchester,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Beatles,Liverpool,,0,Polydor Records,1,1,True
Floetry,Liverpool,The Cure,Crawley,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Jam,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Moody Blues,Birmingham,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Rolling Stones,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Saturdays,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Style Council,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Sweet,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Who,London,,0,Polydor Records,1,1,False
Floetry,Liverpool,The Wonder Stuff,Birmingham,,0,Polydor Records,1,1,False
Florence + The Machine,London,Free,London,,0,Island Records,1,1,True
Florence + The Machine,London,Frou Frou,London,,0,Island Records,1,1,True
Florence + The Machine,London,Jethro Tull,Luton,,0,Island Records,1,1,False
Florence + The Machine,London,Keane,Hastings,,0,Island Records,1,1,False
Florence + The Machine,London,Killing Joke,London,,0,Island Records,1,1,True
Florence + The Machine,London,Mumford & Sons,London,,0,Island Records,1,1,True
Florence + The Machine,London,New Young Pony Club,London,,0,Island Records,1,1,True
Florence + The Machine,London,Nine Black Alps,Manchester,,0,Island Records,1,1,False
Florence + The Machine,London,Oh Wonder,London,,0,Island Records,1,1,True
Florence + The Machine,London,Portishead,Bristol,,0,Island Records,1,1,False
Florence + The Machine,London,Procol Harum,London,,0,Island Records,1,1,True
Florence + The Machine,London,Pulp,Sheffield,,0,Island Records,1,1,False
Florence + The Machine,London,Puressence,Manchester,,0,Island Records,1,1,False
Florence + The Machine,London,Queen,London,,0,Island Records,1,1,True
Florence + The Machine,London,Slow Club,Sheffield,,0,Moshi Moshi Records,1,1,False
Florence + The Machine,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Florence + The Machine,London,Sugababes,London,,0,Island Records,1,1,True
Florence + The Machine,London,Teleman,London,,0,Moshi Moshi Records,1,1,True
Florence + The Machine,London,The Buggles,London,,0,Island Records,1,1,True
Florence + The Machine,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
Florence + The Machine,London,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Florence + The Machine,London,The Orb,London,,0,Island Records,1,1,True
Florence + The Machine,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Florence + The Machine,London,The Slits,London,,0,Island Records,1,1,True
Florence + The Machine,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Florence + The Machine,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
Florence + The Machine,London,Traffic,Birmingham,,0,Island Records,1,1,False
Florence + The Machine,London,Ultravox,London,,0,Island Records,1,1,True
Foals,Oxford,Gang Of Four,Leeds,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Gorillaz,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Let's Eat Grandma,Norwich,,0,Transgressive Records,1,1,False
Foals,Oxford,Manfred Mann's Earth Band,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Mogwai,Glasgow,,0,Sub Pop,1,1,False
Foals,Oxford,Muse,Exeter,,0,Warner Bros. Records,1,1,False
Foals,Oxford,New Order,Manchester,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Pentangle,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Red Box,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Royal Blood,Brighton and Hove,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Sex Pistols,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Still Corners,London,,0,Sub Pop,1,1,False
Foals,Oxford,The Blue Nile,Glasgow,,0,Warner Bros. Records,1,1,False
Foals,Oxford,The Dream Academy,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,The Overtones,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,The Pretty Things,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,The Smiths,Manchester,,0,Warner Bros. Records,1,1,False
Foals,Oxford,The Vaselines,Glasgow,,0,Sub Pop,1,1,False
Foals,Oxford,The Who,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Thompson Twins,Sheffield,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Uriah Heep,London,,0,Warner Bros. Records,1,1,False
Foals,Oxford,Wizzard,Birmingham,,0,Warner Bros. Records,1,1,False
Franz Ferdinand,Glasgow,Hot Chip,London,,0,Domino Recording Company,1,1,False
Franz Ferdinand,Glasgow,Superorganism,London,,0,Domino Recording Company,1,1,False
Franz Ferdinand,Glasgow,The Fall,Manchester,,0,Domino Recording Company,1,1,False
Franz Ferdinand,Glasgow,The Last Shadow Puppets,Sheffield,,0,Domino Recording Company,1,1,False
Franz Ferdinand,Glasgow,Young Marble Giants,Cardiff,,0,Domino Recording Company,1,1,False
Free,London,Frou Frou,London,,0,Island Records,1,1,True
Free,London,Gun,Glasgow,,0,A&M Records,1,1,False
Free,London,Humble Pie,London,,0,A&M Records,1,1,True
Free,London,Jethro Tull,Luton,,0,Island Records,1,1,False
Free,London,Keane,Hastings,,0,Island Records,1,1,False
Free,London,Killing Joke,London,,0,Island Records,1,1,True
Free,London,Mumford & Sons,London,,0,Island Records,1,1,True
Free,London,New Young Pony Club,London,,0,Island Records,1,1,True
Free,London,Nine Black Alps,Manchester,,0,Island Records,1,1,False
Free,London,Oh Wonder,London,,0,Island Records,1,1,True
Free,London,Portishead,Bristol,,0,Island Records,1,1,False
Free,London,Pulp,Sheffield,,0,Island Records,1,1,False
Free,London,Puressence,Manchester,,0,Island Records,1,1,False
Free,London,Queen,London,,0,Island Records,1,1,True
Free,London,Sex Pistols,London,,0,A&M Records,1,1,True
Free,London,Simple Minds,Glasgow,,0,A&M Records,1,1,False
Free,London,Squeeze,London,,0,A&M Records,1,1,True
Free,London,Stealers Wheel,Glasgow,,0,A&M Records,1,1,False
Free,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Free,London,Sugababes,London,,0,Island Records,1,1,True
Free,London,Supertramp,London,,0,A&M Records,1,1,True
Free,London,The Buggles,London,,0,Island Records,1,1,True
Free,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
Free,London,The Human League,Sheffield,,0,A&M Records,1,1,False
Free,London,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Free,London,The Orb,London,,0,Island Records,1,1,True
Free,London,The Police,London,,0,A&M Records,1,1,True
Free,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Free,London,The Slits,London,,0,Island Records,1,1,True
Free,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Free,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
Free,London,The Who,London,John “Rabbit” Bundrick,1,,0,1,True
Free,London,Traffic,Birmingham,,0,Island Records,1,1,False
Free,London,UB40,Birmingham,,0,A&M Records,1,1,False
Free,London,Ultravox,London,,0,Island Records,1,1,True
Friendly Fires,London,Jungle,London,,0,XL Recordings,1,1,True
Friendly Fires,London,Lemon Jelly,London,,0,XL Recordings,1,1,True
Friendly Fires,London,Radiohead,Oxford,,0,XL Recordings,1,1,False
Friendly Fires,London,The Horrors,London,,0,XL Recordings,1,1,True
Friendly Fires,London,The xx,London,,0,XL Recordings,1,1,True
Frou Frou,London,Jethro Tull,Luton,,0,Island Records,1,1,False
Frou Frou,London,Keane,Hastings,,0,Island Records,1,1,False
Frou Frou,London,Killing Joke,London,,0,Island Records,1,1,True
Frou Frou,London,Mumford & Sons,London,,0,Island Records,1,1,True
Frou Frou,London,New Young Pony Club,London,,0,Island Records,1,1,True
Frou Frou,London,Nine Black Alps,Manchester,,0,Island Records,1,1,False
Frou Frou,London,Oh Wonder,London,,0,Island Records,1,1,True
Frou Frou,London,Portishead,Bristol,,0,Island Records,1,1,False
Frou Frou,London,Procol Harum,London,,0,Island Records,1,1,True
Frou Frou,London,Pulp,Sheffield,,0,Island Records,1,1,False
Frou Frou,London,Puressence,Manchester,,0,Island Records,1,1,False
Frou Frou,London,Queen,London,,0,Island Records,1,1,True
Frou Frou,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Frou Frou,London,Sugababes,London,,0,Island Records,1,1,True
Frou Frou,London,The Buggles,London,,0,Island Records,1,1,True
Frou Frou,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
Frou Frou,London,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Frou Frou,London,The Orb,London,,0,Island Records,1,1,True
Frou Frou,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Frou Frou,London,The Slits,London,,0,Island Records,1,1,True
Frou Frou,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Frou Frou,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
Frou Frou,London,Traffic,Birmingham,,0,Island Records,1,1,False
Frou Frou,London,Ultravox,London,,0,Island Records,1,1,True
Gang Of Four,Leeds,Gorillaz,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Heaven 17,Sheffield,,0,EMI,1,1,False
Gang Of Four,Leeds,Jethro Tull,Luton,,0,EMI,1,1,False
Gang Of Four,Leeds,Katrina & The Waves,Cambridge,,0,EMI,1,1,False
Gang Of Four,Leeds,Manfred Mann's Earth Band,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Massive Attack,Bristol,,0,EMI,1,1,False
Gang Of Four,Leeds,Muse,Exeter,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,New Order,Manchester,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Pentangle,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Pilot,Edinburgh,,0,EMI Records,1,1,False
Gang Of Four,Leeds,Pink Floyd,London,,0,EMI,1,1,False
Gang Of Four,Leeds,Placebo,London,,0,EMI,1,1,False
Gang Of Four,Leeds,Red Box,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Royal Blood,Brighton and Hove,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Spice Girls,London,,0,EMI,1,1,False
Gang Of Four,Leeds,Starsailor,Manchester,,0,EMI,1,1,False
Gang Of Four,Leeds,Supergrass,Oxford,,0,EMI,1,1,False
Gang Of Four,Leeds,Talk Talk,London,,0,EMI,1,1,False
Gang Of Four,Leeds,Terrorvision,Leeds,,0,EMI,1,1,True
Gang Of Four,Leeds,The Blue Nile,Glasgow,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,The Dream Academy,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,The Escape Club,London,,0,EMI,1,1,False
Gang Of Four,Leeds,The Human League,Sheffield,,0,EMI,1,1,False
Gang Of Four,Leeds,The Kooks,Brighton and Hove,,0,EMI Records,1,1,False
Gang Of Four,Leeds,The Magic Numbers,London,,0,EMI,1,1,False
Gang Of Four,Leeds,The Overtones,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,The Pretty Things,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,The Quireboys,London,,0,EMI,1,1,False
Gang Of Four,Leeds,The Seahorses,York,Mark Heaney,1,,0,1,False
Gang Of Four,Leeds,The Shapeshifters,London,,0,EMI,1,1,False
Gang Of Four,Leeds,The Smiths,Manchester,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,The Stranglers,Guildford,,0,EMI,1,1,False
Gang Of Four,Leeds,The Verve,Manchester,,0,EMI,1,1,False
Gang Of Four,Leeds,The Who,London,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Thompson Twins,Sheffield,,0,Warner Bros. Records,1,1,False
Gang Of Four,Leeds,Uriah Heep,London,,0,Warner Bros. Records,1,1,False
Gene,London,Girls Aloud,London,,0,Polydor Records,1,1,True
Gene,London,Kaiser Chiefs,Leeds,,0,Polydor Records,1,1,False
Gene,London,Klaxons,London,,0,Polydor Records,1,1,True
Gene,London,La Roux,London,,0,Polydor Records,1,1,True
Gene,London,Monaco,Manchester,,0,Polydor Records,1,1,False
Gene,London,N-Dubz,London,,0,Polydor Records,1,1,True
Gene,London,Paper Lace,Nottingham,,0,Polydor Records,1,1,False
Gene,London,Rainbow,London,,0,Polydor Records,1,1,True
Gene,London,Shed Seven,York,,0,Polydor Records,1,1,False
Gene,London,Siouxsie and the Banshees,London,,0,Polydor Records,1,1,True
Gene,London,Slade,Birmingham,,0,Polydor Records,1,1,False
Gene,London,Talk Talk,London,,0,Polydor Records,1,1,True
Gene,London,The 1975,Manchester,,0,Polydor Records,1,1,False
Gene,London,The Beatles,Liverpool,,0,Polydor Records,1,1,False
Gene,London,The Cure,Crawley,,0,Polydor Records,1,1,False
Gene,London,The Jam,London,,0,Polydor Records,1,1,True
Gene,London,The Moody Blues,Birmingham,,0,Polydor Records,1,1,False
Gene,London,The Rolling Stones,London,,0,Polydor Records,1,1,True
Gene,London,The Saturdays,London,,0,Polydor Records,1,1,True
Gene,London,The Style Council,London,,0,Polydor Records,1,1,True
Gene,London,The Sweet,London,,0,Polydor Records,1,1,True
Gene,London,The Who,London,,0,Polydor Records,1,1,True
Gene,London,The Wonder Stuff,Birmingham,,0,Polydor Records,1,1,False
Generation X,London,Gentle Giant,London,,0,Chrysalis Records,1,1,True
Generation X,London,Go West,London,,0,Chrysalis Records,1,1,True
Generation X,London,Jethro Tull,Luton,,0,Chrysalis Records,1,1,False
Generation X,London,Living In A Box,Sheffield,,0,Chrysalis Records,1,1,False
Generation X,London,Michael Schenker Group,London,,0,Chrysalis Records,1,1,True
Generation X,London,Procol Harum,London,,0,Chrysalis Records,1,1,True
Generation X,London,Simple Minds,Glasgow,,0,Chrysalis Records,1,1,False
Generation X,London,Spandau Ballet,London,,0,Chrysalis Records,1,1,True
Generation X,London,Steeleye Span,London,,0,Chrysalis Records,1,1,True
Generation X,London,Supertramp,London,,0,Chrysalis Records,1,1,True
Generation X,London,Ten Years After,Nottingham,,0,Chrysalis Records,1,1,False
Generation X,London,The Clash,London,Terry Chimes,1,,0,1,True
Generation X,London,The Colourfield,Coventry,,0,Chrysalis Records,1,1,False
Generation X,London,The Cult,Leeds,James Stevenson,1,,0,1,False
Generation X,London,The Specials,Coventry,,0,Chrysalis Records,1,1,False
Generation X,London,UFO,London,,0,Chrysalis Records,1,1,True
Generation X,London,Uriah Heep,London,,0,Chrysalis Records,1,1,True
Generation X,London,World Party,London,,0,Chrysalis Records,1,1,True
Genesis,Guildford,Goldie Lookin Chain,Newport,,0,Atlantic Records,1,1,False
Genesis,Guildford,Hard-Fi,London,,0,Atlantic Records,1,1,False
Genesis,Guildford,Humble Pie,London,,0,Atco Records,1,1,False
Genesis,Guildford,Porcupine Tree,Dacorum,,0,Atlantic Records,1,1,False
Genesis,Guildford,Rudimental,London,,0,Atlantic Records,1,1,False
Genesis,Guildford,Savoy Brown,London,,0,Decca,1,1,False
Genesis,Guildford,Ten Years After,Nottingham,,0,Decca,1,1,False
Genesis,Guildford,The Alan Parsons Project,Glasgow,,0,Charisma,1,1,False
Genesis,Guildford,The Crazy World Of Arthur Brown,London,,0,Atlantic Records,1,1,False
Genesis,Guildford,The Darkness,Ipswich,,0,Atlantic Records,1,1,False
Genesis,Guildford,The Joy Formidable,Cheshire West and Chester,,0,Atlantic Records,1,1,False
Genesis,Guildford,The Moody Blues,Birmingham,,0,Decca,1,1,False
Genesis,Guildford,The Spencer Davis Group,Birmingham,,0,Atco Records,1,1,False
Genesis,Guildford,The Staves,London,,0,Atlantic Records,1,1,False
Genesis,Guildford,The Streets,Birmingham,,0,Atlantic Records,1,1,False
Genesis,Guildford,The Troggs,Southampton,,0,Atco Records,1,1,False
Genesis,Guildford,The Zombies,London,,0,Decca,1,1,False
Genesis,Guildford,Them,Belfast,,0,Decca,1,1,False
Genesis,Guildford,Van Der Graaf Generator,Manchester,,0,Charisma,1,1,False
Genesis,Guildford,Wishbone Ash,Torbay,,0,Decca,1,1,False
Genesis,Guildford,Zero 7,London,,0,Atlantic Records,1,1,False
Genesis,Guildford,alt-J,Leeds,,0,Atlantic Records,1,1,False
Gentle Giant,London,Glasvegas,Glasgow,,0,Columbia Records,1,1,False
Gentle Giant,London,Go West,London,,0,Chrysalis Records,1,1,True
Gentle Giant,London,Groove Armada,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Herman's Hermits,Manchester,,0,Columbia Records,1,1,False
Gentle Giant,London,Jamiroquai,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Jethro Tull,Luton,,0,Chrysalis Records,1,1,False
Gentle Giant,London,Kula Shaker,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Little Mix,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Living In A Box,Sheffield,,0,Chrysalis Records,1,1,False
Gentle Giant,London,London Grammar,Nottingham,,0,Columbia Records,1,1,False
Gentle Giant,London,Magnetic Man,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Manic Street Preachers,Cardiff,,0,Columbia Records,1,1,False
Gentle Giant,London,Michael Schenker Group,London,,0,Chrysalis Records,1,1,True
Gentle Giant,London,Mumm-ra,Hastings,,0,Columbia Records,1,1,False
Gentle Giant,London,Oasis,Manchester,,0,Columbia Records,1,1,False
Gentle Giant,London,One Direction,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Pink Floyd,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Procol Harum,London,,0,Chrysalis Records,1,1,True
Gentle Giant,London,Seafret,Hull,,0,Columbia Records,1,1,False
Gentle Giant,London,Simple Minds,Glasgow,,0,Chrysalis Records,1,1,False
Gentle Giant,London,Spandau Ballet,London,,0,Chrysalis Records,1,1,True
Gentle Giant,London,Steeleye Span,London,,0,Chrysalis Records,1,1,True
Gentle Giant,London,Suede,London,,0,Columbia Records,1,1,True
Gentle Giant,London,Supertramp,London,,0,Chrysalis Records,1,1,True
Gentle Giant,London,The Animals,Newcastle,,0,Columbia Records,1,1,False
Gentle Giant,London,The Clash,London,,0,Columbia Records,1,1,True
Gentle Giant,London,The Colourfield,Coventry,,0,Chrysalis Records,1,1,False
