capture_key,spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label
Bird in the Belly [4OlDV4RbT8NjBrBDF2u7zx],4OlDV4RbT8NjBrBDF2u7zx,Q50821861,Bird in the Belly,Bird in the Belly,,,musical group,United Kingdom
Bis [2CLWZP9ZwueC8Yx9ORbxlW],2CLWZP9ZwueC8Yx9ORbxlW,Q471241,Bis,Bis,Q4093,Glasgow,musical group,Scotland
Bitches Sin [2JFzqHBpmyG5sii0vrnG1l],2JFzqHBpmyG5sii0vrnG1l,Q9658134,Bitches Sin,Bitches Sin,,,rock band,United Kingdom
Black Box Recorder [6Hd3xhv1sj3rlojjvGLkGR],6Hd3xhv1sj3rlojjvGLkGR,Q442456,Black Box Recorder,Black Box Recorder,Q84,London,musical group,United Kingdom
"Black Country, New Road [3PP6ghmOlDl2jaKaH0avUN]",3PP6ghmOlDl2jaKaH0avUN,Q66759333,"Black Country, New Road","Black Country, New Road",Q23112,Cambridgeshire,musical group,United Kingdom
Black Dog Productions [51BEOy4C47tfza8eRCUxfM],51BEOy4C47tfza8eRCUxfM,Q129498236,Black Dog Productions,Black Dog Productions,Q84,London,musical group,United Kingdom
Black Dyke Band [4oSmVew9F141WbSWJTZZF4],4oSmVew9F141WbSWJTZZF4,Q880229,Black Dyke Band,Black Dyke Band,,,musical group,United Kingdom
Black Foxxes [0rkzatSSd1Dh41phOf4qFT],0rkzatSSd1Dh41phOf4qFT,Q51132163,Black Foxxes,Black Foxxes,Q134672,Exeter,musical group,England
Black Grape [147FGf3bdxV1L0mmVtgaJR],147FGf3bdxV1L0mmVtgaJR,Q2500994,Black Grape,Black Grape,Q47952,Salford,musical group,United Kingdom
Black Honey [2oVmQT6s29pVIKpqJkyxBS],2oVmQT6s29pVIKpqJkyxBS,Q55639325,Black Honey,Black Honey,Q131491,Brighton,musical group,United Kingdom
Black Midi [7Hvq85OU8T7Hsd63zNBwaL],7Hvq85OU8T7Hsd63zNBwaL,Q65070663,Black Midi,Black Midi,Q84,London,musical group,United Kingdom
Black Moth [2kjn4KcvCR9atreeGcoest],2kjn4KcvCR9atreeGcoest,Q18410806,Black Moth,Black Moth,,,musical group,United Kingdom
