origin_cluster,band_count,top_band,formation_qids,direct_entity_labels,matched_municipalities,candidate_fua_codes,candidate_fua_names,mapping_tier,fua_code,mapping_method,source_urls,notes
Birmingham,22,Black Sabbath,Q2256,Birmingham,Birmingham,UK002F,West Midlands urban area,strict,UK002F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2256,The official OECD municipality list assigns Birmingham to West Midlands urban area FUA.
Blackpool,1,Boston Manor,Q170377,Blackpool,Blackpool,UK553F,Blackpool,strict,UK553F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q170377,The official OECD municipality list assigns Blackpool to Blackpool FUA.
Blackwood,1,Manic Street Preachers,Q880986,Blackwood,Caerphilly,UK009F,Cardiff,strict,UK009F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q880986,The official OECD municipality list assigns Caerphilly to Cardiff FUA.
Bolton,1,Buzzcocks,Q184579,Bolton,Bolton,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q184579,The official OECD municipality list assigns Bolton to Manchester FUA.
Bracknell,1,The Hoosiers,Q783210,Bracknell,Bracknell Forest,UK573F,Bracknell Forest,strict,UK573F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q783210,The official OECD municipality list assigns Bracknell Forest to Bracknell Forest FUA.
Bradford,4,The Cult,Q22905,,Bradford,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q22905,The official OECD municipality list assigns Bradford to Leeds FUA.
Bradford-on-Avon,1,Jesus Jones,Q896940,Bradford-on-Avon,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q896940,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Braintree,1,The Prodigy,Q23240|Q676067,Essex|Braintree,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q676067,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bridgend,2,Bullet For My Valentine,Q6497774,Bridgend,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q6497774,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bridlington,1,Seafret,Q527391,Bridlington,East Riding of Yorkshire,UK026F,Kingston upon Hull,strict,UK026F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q527391,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Brighton,14,The Kooks,Q131491,Brighton,Brighton and Hove,UK515F,Brighton and Hove,strict,UK515F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q131491,The official OECD municipality list assigns Brighton and Hove to Brighton and Hove FUA.
Bristol,7,Massive Attack,Q23154,Bristol,,,,strict,UK011F,exact_fua_label,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23154,Origin matches an official or study FUA label.
Brixton,1,Flesh For Lulu,Q146690,Brixton,City of London|Lambeth,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q146690,"The official OECD municipality list assigns City of London, Lambeth to London FUA."
Buckinghamshire,1,Fluke,Q23229,Buckinghamshire,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23229,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Burnley,1,Chumbawamba,Q209096,Burnley,Burnley,UK050F,Burnley,strict,UK050F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q209096,The official OECD municipality list assigns Burnley to Burnley FUA.
Camberley,1,Bros,Q741400,Camberley,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q741400,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Cambridge,5,Clean Bandit,Q350,Cambridge,Cambridge,UK017F,Cambridge,strict,UK017F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q350,The official OECD municipality list assigns Cambridge to Cambridge FUA.
Cambridgeshire,1,"Black Country, New Road",Q23112,Cambridgeshire,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23112,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Canterbury,2,Moose Blood,Q1094104|Q29303,Canterbury|Canterbury,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1094104|https://www.wikidata.org/wiki/Q29303,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Cardiff,9,Los Campesinos!,Q10690,Cardiff,Cardiff,UK009F,Cardiff,strict,UK009F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q10690,The official OECD municipality list assigns Cardiff to Cardiff FUA.
Carlisle,1,Spooky Tooth,Q192896,Carlisle,Carlisle,UK575F,Carlisle,excluded_missing_population,,official_fua_missing_population,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q192896,"The official OECD municipality list assigns Carlisle to Carlisle (UK575F), but that FUA is absent from the frozen population denominator."
Catford,1,Japan,Q305029,Catford,City of London|Lewisham,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q305029,"The official OECD municipality list assigns City of London, Lewisham to London FUA."
Chelmsford,1,Nitzer Ebb,Q210985,Chelmsford,Chelmsford,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q210985,The official OECD municipality list assigns Chelmsford to London FUA.
Chelsea,1,Generation X,Q743535,Chelsea,City of London|Kensington and Chelsea,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q743535,"The official OECD municipality list assigns City of London, Kensington and Chelsea to London FUA."
Chingford,2,Blazin' Squad,Q3778007,Chingford,City of London|Waltham Forest,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q3778007,"The official OECD municipality list assigns City of London, Waltham Forest to London FUA."
Cinderford,1,EMF,Q1242795,Cinderford,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1242795,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Clydebank,1,Wet Wet Wet,Q996502,Clydebank,East Dunbartonshire|Glasgow City|West Dunbartonshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q996502,"The official OECD municipality list assigns East Dunbartonshire, Glasgow City, West Dunbartonshire to Glasgow FUA."
Colchester,1,Modern English,Q184163,Colchester,Colchester,UK546F,Colchester,strict,UK546F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q184163,The official OECD municipality list assigns Colchester to Colchester FUA.
County Tyrone,1,The Irish Brigade,Q192229,County Tyrone,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q192229,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Coventry,5,The Specials,Q6225,Coventry,Coventry,UK025F,Coventry,strict,UK025F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q6225,The official OECD municipality list assigns Coventry to Coventry FUA.
Crawley,1,The Cure,Q844908,Crawley,Crawley,UK576F,Crawley,strict,UK576F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q844908,The official OECD municipality list assigns Crawley to Crawley FUA.
Crouch End,1,Bombay Bicycle Club,Q24502,Crouch End,City of London|Haringey,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q24502,"The official OECD municipality list assigns City of London, Haringey to London FUA."
Croydon,1,Saint Etienne,Q2213391,Croydon,City of London|Croydon,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2213391,"The official OECD municipality list assigns City of London, Croydon to London FUA."
Cwmaman,1,Stereophonics,Q3365170,Cwmaman,Rhondda Cynon Taf,UK009F,Cardiff,strict,UK009F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q3365170,The official OECD municipality list assigns Rhondda Cynon Taf to Cardiff FUA.
Dalmarnock,1,Glasvegas,Q5211522,Dalmarnock,East Dunbartonshire|Glasgow City|North Lanarkshire|South Lanarkshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q5211522,"The official OECD municipality list assigns East Dunbartonshire, Glasgow City, North Lanarkshire, South Lanarkshire to Glasgow FUA."
Derby,1,The Struts,Q43475,Derby,Derby,UK518F,Derby,strict,UK518F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q43475,The official OECD municipality list assigns Derby to Derby FUA.
Derry,1,The Undertones,Q163584,Derry,Derry City and Strabane,UK586F,Derry & Strabane Local Government District,strict,UK586F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q163584,The official OECD municipality list assigns Derry City and Strabane to Derry & Strabane Local Government District FUA.
Dorset,1,Electric Wizard,Q23159,Dorset,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23159,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Downpatrick,1,Ash,Q1024917,Downpatrick,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1024917,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Droitwich Spa,1,Grim Reaper,Q1260116,Droitwich Spa,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1260116,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Dublin,1,The Nolans,Q1761,Dublin,,,,excluded_non_uk,,outside_uk_fua_universe,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1761,Dublin is outside the UK FUA universe.
Dundee,4,Snow Patrol,Q123709,Dundee,Angus|Dundee City,UK550F,Dundee City,strict,UK550F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q123709,"The official OECD municipality list assigns Angus, Dundee City to Dundee City FUA."
Dunfermline,3,Nazareth,Q211950,Dunfermline,,,,reviewed_extended,UK007F,reviewed_legacy_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q211950,Preserved from the reviewed top-200 mapping because the official municipality crosswalk does not resolve the reported place. Prior note: Included only in the extended sensitivity view as a reviewed association with Edinburgh FUA.
Ealing,2,White Lies,Q83726,Ealing,City of London|Ealing,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q83726,"The official OECD municipality list assigns City of London, Ealing to London FUA."
East End of London,1,Cockney Rejects,Q739700,East End of London,City of London,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q739700,The official OECD municipality list assigns City of London to London FUA.
East Grinstead,1,Right Said Fred,Q1277887,East Grinstead,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1277887,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
East Kilbride,2,The Jesus and Mary Chain,Q654226,East Kilbride,East Renfrewshire|South Lanarkshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q654226,"The official OECD municipality list assigns East Renfrewshire, South Lanarkshire to Glasgow FUA."
Eastbourne,1,Toploader,Q208262,Eastbourne,Eastbourne,UK055F,Eastbourne,strict,UK055F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q208262,The official OECD municipality list assigns Eastbourne to Eastbourne FUA.
Edinburgh,11,Pilot,Q23436,Edinburgh,City of Edinburgh|Midlothian,UK007F,Edinburgh,strict,UK007F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23436,"The official OECD municipality list assigns City of Edinburgh, Midlothian to Edinburgh FUA."
Eel Pie Island,1,Mystery Jets,Q3048859,Eel Pie Island,City of London|Richmond upon Thames,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q3048859,"The official OECD municipality list assigns City of London, Richmond upon Thames to London FUA."
Essex,2,The Tremeloes,Q23240,Essex,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23240,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Exeter,1,Black Foxxes,Q134672,Exeter,Exeter,UK018F,Exeter,strict,UK018F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q134672,The official OECD municipality list assigns Exeter to Exeter FUA.
Failsworth,1,Puressence,Q2346848,Failsworth,Oldham,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2346848,The official OECD municipality list assigns Oldham to Manchester FUA.
Falkirk,1,Arab Strap,Q623687,Falkirk,Falkirk,UK551F,Falkirk,strict,UK551F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q623687,The official OECD municipality list assigns Falkirk to Falkirk FUA.
Folkestone,1,Fast Food Rockers,Q375314,Folkestone,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q375314,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
