popularity_rank,spotify_name,monthly_listeners,followers,returned_spotify_id,spotify_url,wikidata_qid,band_name,formation_label,country_label,origin_cluster,origin_resolution,identity_status,review_flag
34,Eurythmics,14843560,2546395,0NKDgy9j66h3DLnN8qu1bB,https://open.spotify.com/artist/0NKDgy9j66h3DLnN8qu1bB,Q207706,Eurythmics,Sunderland,United Kingdom,Sunderland,reported_place,accepted_exact_name,
35,Little Mix,14779473,12405563,3e7awlrlDSwF3iM0WBjGMp,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp,Q158419,Little Mix,England,United Kingdom,London,reviewed_override,accepted_exact_name,
36,The Clash,14589467,3508323,3RGLhK1IP9jnYFH4BRFJBS,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,Q125603,The Clash,London,United Kingdom,London,reported_place,accepted_exact_name,
37,Mumford & Sons,14381934,6882187,3gd8FJtBJtkRxdfbTu19U2,https://open.spotify.com/artist/3gd8FJtBJtkRxdfbTu19U2,Q953918,Mumford & Sons,London,United Kingdom,London,reported_place,accepted_exact_name,
38,Blur,14009757,4274924,7MhMgCo0Bl0Kukl93PZbYS,https://open.spotify.com/artist/7MhMgCo0Bl0Kukl93PZbYS,Q485820,Blur,London,United Kingdom,London,reported_place,accepted_exact_name,
39,Bring Me The Horizon,13707032,7131475,1Ffb6ejR6Fe5IamqA5oRUF,https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF,Q494784,Bring Me the Horizon,Sheffield,United Kingdom,Sheffield,reported_place,accepted_exact_name,
40,Snow Patrol,13274460,3465980,3rIZMv9rysU7JkLzEaC5Jp,https://open.spotify.com/artist/3rIZMv9rysU7JkLzEaC5Jp,Q188407,Snow Patrol,Dundee,Scotland,Dundee,reported_place,accepted_exact_name,
41,Spice Girls,12877807,4560204,0uq5PttqEjj3IH1bzwcrXF,https://open.spotify.com/artist/0uq5PttqEjj3IH1bzwcrXF,Q55641,Spice Girls,London,United Kingdom,London,reported_place,accepted_exact_name,
42,The Animals,12324330,2812173,3ICflSq6ZgYAIrm2CTkfVP,https://open.spotify.com/artist/3ICflSq6ZgYAIrm2CTkfVP,Q131422,The Animals,Newcastle upon Tyne,United Kingdom,Newcastle upon Tyne,reported_place,accepted_exact_name,
43,Rudimental,11737472,1462225,4WN5naL3ofxrVBgFpguzKo,https://open.spotify.com/artist/4WN5naL3ofxrVBgFpguzKo,Q50971,Rudimental,London Borough of Hackney,United Kingdom,London,editorial_city_cluster,accepted_exact_name,
44,Faithless,11726956,796754,5T4UKHhr4HGIC0VzdZQtAE,https://open.spotify.com/artist/5T4UKHhr4HGIC0VzdZQtAE,Q542071,Faithless,London,United Kingdom,London,reported_place,accepted_exact_name,
45,Disciples,11691137,299331,5EehXjjMktLuJmbRsM7YfB,https://open.spotify.com/artist/5EehXjjMktLuJmbRsM7YfB,Q24025201,Disciples,London,United Kingdom,London,reported_place,accepted_exact_name,
46,Jungle,11614048,1886516,59oA5WbbQvomJz2BuRG071,https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071,Q17405943,Jungle,London,United Kingdom,London,reported_place,accepted_exact_name,
47,bôa,11444869,1380058,5jTtGLk1mGFMY5lQOvJYUj,https://open.spotify.com/artist/5jTtGLk1mGFMY5lQOvJYUj,Q285481,Bôa,London,United Kingdom,London,reported_place,accepted_exact_name,
48,Cutting Crew,10972839,628518,3cniTumSiUysiPWXapGx1i,https://open.spotify.com/artist/3cniTumSiUysiPWXapGx1i,Q977526,Cutting Crew,London,United Kingdom,London,reported_place,accepted_exact_name,
49,Franz Ferdinand,10807735,3218082,0XNa1vTidXlvJ2gHSsRi4A,https://open.spotify.com/artist/0XNa1vTidXlvJ2gHSsRi4A,Q173180,Franz Ferdinand,Glasgow,United Kingdom,Glasgow,reported_place,accepted_exact_name,
50,Def Leppard,10792689,6056540,6H1RjVyNruCmrBEWRbD0VZ,https://open.spotify.com/artist/6H1RjVyNruCmrBEWRbD0VZ,Q182890,Def Leppard,Sheffield,United Kingdom,Sheffield,reported_place,accepted_exact_name,
51,Pet Shop Boys,10634217,2426999,2ycnb8Er79LoH2AsR5ldjh,https://open.spotify.com/artist/2ycnb8Er79LoH2AsR5ldjh,Q485625,Pet Shop Boys,London,United Kingdom,London,reported_place,accepted_exact_name,
52,The Hollies,10112715,1450461,6waa8mKu91GjzD4NlONlNJ,https://open.spotify.com/artist/6waa8mKu91GjzD4NlONlNJ,Q282925,The Hollies,Manchester,United Kingdom,Manchester,reported_place,accepted_exact_name,
53,Wham!,10018855,3400543,5lpH0xAS4fVfLkACg9DAuM,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,Q744087,Wham!,Bushey,United Kingdom,London,editorial_city_cluster,accepted_exact_name,
54,Two Door Cinema Club,9884423,2655723,536BYVgOnRky0xjsPT96zl,https://open.spotify.com/artist/536BYVgOnRky0xjsPT96zl,Q777302,Two Door Cinema Club,Bangor,United Kingdom,Bangor,reported_place,accepted_exact_name,
55,The Stranglers,9836875,862339,0RUEHcBiENFEqxgicqS2ig,https://open.spotify.com/artist/0RUEHcBiENFEqxgicqS2ig,Q1532854,The Stranglers,Guildford,United Kingdom,Guildford,reported_place,accepted_exact_name,
56,Simple Minds,9628717,2504682,6hN9F0iuULZYWXppob22Aj,https://open.spotify.com/artist/6hN9F0iuULZYWXppob22Aj,Q748836,Simple Minds,Glasgow,Scotland,Glasgow,reported_place,accepted_exact_name,
57,Bronski Beat,9566679,730877,2wpWOzQE5TpA0dVnh5YD08,https://open.spotify.com/artist/2wpWOzQE5TpA0dVnh5YD08,Q927927,Bronski Beat,London,United Kingdom,London,reported_place,accepted_exact_name,
58,Seafret,9520023,1149369,4Ly0KABsxlx4fNj63zJTrF,https://open.spotify.com/artist/4Ly0KABsxlx4fNj63zJTrF,Q28109766,Seafret,Bridlington,United Kingdom,Bridlington,reported_place,accepted_exact_name,
59,Genesis,9434858,3958098,3CkvROUTQ6nRi9yQOcsB50,https://open.spotify.com/artist/3CkvROUTQ6nRi9yQOcsB50,Q151012,Genesis,Godalming|Surrey,United Kingdom,Godalming,reviewed_multi_place_rule,accepted_exact_name,
60,Spandau Ballet,9335819,1587103,2urZrEdsq72kx0UzfYN8Yv,https://open.spotify.com/artist/2urZrEdsq72kx0UzfYN8Yv,Q16011,Spandau Ballet,London Borough of Islington,United Kingdom,London,editorial_city_cluster,accepted_exact_name,
61,UB40,9327767,2783787,69MEO1AADKg1IZrq2XLzo5,https://open.spotify.com/artist/69MEO1AADKg1IZrq2XLzo5,Q560153,UB40,Birmingham,United Kingdom,Birmingham,reported_place,accepted_exact_name,
62,The Chemical Brothers,9143502,2435363,1GhPHrq36VKCY3ucVaZCfo,https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo,Q208507,The Chemical Brothers,Manchester,United Kingdom,Manchester,reported_place,accepted_exact_name,
63,Simply Red,9097250,2960800,1fa0cOhromAZdq2xRA4vv8,https://open.spotify.com/artist/1fa0cOhromAZdq2xRA4vv8,Q339430,Simply Red,Manchester,United Kingdom,Manchester,reported_place,accepted_exact_name,
64,Jamiroquai,9068742,3053662,6J7biCazzYhU3gM9j1wfid,https://open.spotify.com/artist/6J7biCazzYhU3gM9j1wfid,Q202041,Jamiroquai,London,United Kingdom,London,reported_place,accepted_exact_name,
65,Iron Maiden,9029433,10931269,6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,Q42482,Iron Maiden,Leyton,United Kingdom,London,editorial_city_cluster,accepted_exact_name,
66,Toploader,8829850,146489,6xeFne1rkxMhKSW3ipvkdV,https://open.spotify.com/artist/6xeFne1rkxMhKSW3ipvkdV,Q1742953,Toploader,Eastbourne,United Kingdom,Eastbourne,reported_place,accepted_exact_name,
67,New Order,8786188,2651294,0yNLKJebCb8Aueb54LYya3,https://open.spotify.com/artist/0yNLKJebCb8Aueb54LYya3,Q214990,New Order,Salford,United Kingdom,Manchester,editorial_city_cluster,accepted_exact_name,
68,Massive Attack,8692931,2943616,6FXMGgJwohJLUSr5nVlf9X,https://open.spotify.com/artist/6FXMGgJwohJLUSr5nVlf9X,Q357418,Massive Attack,Bristol,United Kingdom,Bristol,reported_place,accepted_exact_name,
69,The Who,8659112,6100346,67ea9eGLXYMsO2eYQRui3w,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,Q93346,The Who,London,United Kingdom,London,reported_place,accepted_exact_name,
70,D-Block Europe,8351560,1930307,5VadK1havLhK1OpKYsXv9y,https://open.spotify.com/artist/5VadK1havLhK1OpKYsXv9y,Q63313993,D-Block Europe,Lewisham,United Kingdom,London,editorial_city_cluster,accepted_exact_name,
71,alt-J,8110938,3499216,3XHO7cRUPCLOr6jwp8vsx5,https://open.spotify.com/artist/3XHO7cRUPCLOr6jwp8vsx5,Q47996,alt-J,Leeds,United Kingdom,Leeds,reported_place,accepted_exact_name,
72,The Proclaimers,8100195,438174,1A92IAcd7A6npCA33oGM5i,https://open.spotify.com/artist/1A92IAcd7A6npCA33oGM5i,Q289622,The Proclaimers,Auchtermuchty,United Kingdom,Auchtermuchty,reported_place,accepted_exact_name,
73,Dexys Midnight Runners,7999321,384886,4QTVePrFu1xuGM9K0kNXkk,https://open.spotify.com/artist/4QTVePrFu1xuGM9K0kNXkk,Q247259,Dexys Midnight Runners,Birmingham,United Kingdom,Birmingham,reported_place,accepted_exact_name,
74,The Kinks,7864488,2958309,1SQRv42e4PjEYfPhS0Tk9E,https://open.spotify.com/artist/1SQRv42e4PjEYfPhS0Tk9E,Q188713,The Kinks,London,United Kingdom,London,reported_place,accepted_exact_name,
