band,city,musicbrainz_id,spotify_id,spotify_name,expected_spotify_name,match_quality,id_source
Scars on 45,Bradford,c128319a-a151-41d5-9689-323e016d048b,5ltIfb6fKhN2sxGic1WRWy,,Scars On 45,musicbrainz_relationship,catalogue override
Anti-System,Bradford,d6dcc614-4c72-4a0b-95dd-1bf5087abd85,160NmOGDz8qBoB4LNpF5w4,,Anti-System,musicbrainz_relationship,catalogue override
Massive Attack,Bristol,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,6FXMGgJwohJLUSr5nVlf9X,Massive Attack,Massive Attack,exact,prior scene-depth identifier snapshot
Portishead,Bristol,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,6liAMWkVf5LH7YR9yfFy1Y,Portishead,Portishead,exact,prior scene-depth identifier snapshot
Smith & Mighty,Bristol,47cfcf6b-44d5-4a8d-ad12-47722c88468c,5fegFJAeq9eItFZf8oPIin,,Smith & Mighty,musicbrainz_relationship,prior scene-depth identifier snapshot
Idles,Bristol,be465d4f-c28d-4ba1-94ab-ebaada7db8af,75mafsNqNE1WSEVxIKuY5C,IDLES,IDLES,exact,prior scene-depth identifier snapshot
Kosheen,Bristol,4f4bda3c-d636-4135-b65a-6cc26bc75788,5squ8uM6fhMQY71t9xobJC,Kosheen,Kosheen,exact,prior scene-depth identifier snapshot
The Pop Group,Bristol,4c9f194e-6235-475a-bf7b-2fd54a0879ec,3fBmq4xVcd346QvErp6fko,,The Pop Group,musicbrainz_relationship,prior scene-depth identifier snapshot
Roni Size / Reprazent,Bristol,45e00f0f-f52b-4db8-a480-cf87b71c4800,0QJsUBH0PcoT2fYI1F1Oee,,Roni Size / Reprazent,musicbrainz_relationship,prior scene-depth identifier snapshot
Fuck Buttons,Bristol,f4640b20-b76b-40d3-9ffc-a38b6718b273,6tCENAD2FBfIMyygJMeOJV,,Fuck Buttons,musicbrainz_relationship,prior scene-depth identifier snapshot
Way Out West,Bristol,2c2a80cf-193d-4be6-992e-311428085474,3HghjRl8Mo6OJWG0WElY2z,,Way Out West,musicbrainz_relationship,prior scene-depth identifier snapshot
The Blue Aeroplanes,Bristol,935295a6-8b6c-4de6-819c-da5113dac8fc,4MTSrVgHNfGtYV9pek8vY5,,The Blue Aeroplanes,musicbrainz_relationship,prior scene-depth identifier snapshot
Dog Is Dead,Nottingham,,1XwRhEHqiCVgiEJQk66fyy,,D.I.D,musicbrainz_relationship,catalogue override
London Grammar,Nottingham,4dbe08c1-b40a-43b3-ab89-210000bd8ab2,3Bd1cgCjtCI32PYvDC3ynO,London Grammar,London Grammar,exact,prior scene-depth identifier snapshot
Paper Lace,Nottingham,c62995d6-a622-43e0-ae11-12a0f8638deb,33W24YuaMUEk85MwRX6cRs,,Paper Lace,musicbrainz_relationship,prior scene-depth identifier snapshot
Ten Years After,Nottingham,73faa89a-ee00-4e40-b68e-80e4891dbc45,7nkLRaWHImCvWGHdNGnhVE,Ten Years After,Ten Years After,exact,prior scene-depth identifier snapshot
Sleaford Mods,Nottingham,09d8290b-6ada-422f-8ce3-19349fb1c15d,0otAqZw8htTsGHfqR491Yh,Sleaford Mods,Sleaford Mods,exact,prior scene-depth identifier snapshot
Tindersticks,Nottingham,4306a798-e2f8-4192-9a45-2fd41cdae60c,3dmSPhg0tdao8ePj4pySJ5,,Tindersticks,musicbrainz_relationship,catalogue override
Six by Seven,Nottingham,5e2e050f-7280-464e-b251-0a1272c43300,4TXdHyuAOl3rAOFmZ6MeKz,,Six by Seven,musicbrainz_relationship,prior scene-depth identifier snapshot
Bent,Nottingham,0a77bec1-12ef-4caa-b36a-f533001fcd29,59xljcfdN2Z9VX2U5RFKEa,,Bent,musicbrainz_relationship,prior scene-depth identifier snapshot
Crazy P,Nottingham,45644225-982e-4b76-a529-d8f9688e9a7d,6jOz2B9qeID4dLP1o8bFGf,,Crazy P,musicbrainz_relationship,prior scene-depth identifier snapshot
Pitchshifter,Nottingham,fe8ab7ee-c664-4d44-aec1-5b58ae937a5c,10aXVE8RSUCeMzaFvBnZ2i,,Pitchshifter,musicbrainz_relationship,prior scene-depth identifier snapshot
