band,city,musicbrainz_id,origin_confidence,origin_evidence_url,editorial_review_flag,spotify_url,spotify_match_name,selection_source,notes,spotify_id,spotify_name,monthly_listeners,followers,stats_extracted_at,source,match_quality,id_source,population
Black Sabbath,Birmingham,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,high,https://musicbrainz.org/artist/5182c1d9-c7d2-4dad-afa0-ccfeada921a8,False,,,existing_shortlist,,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,18340960,10708202,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
ELO,Birmingham,0c502791-4ee9-4c5f-9696-0602b721ff3b,high,https://musicbrainz.org/artist/0c502791-4ee9-4c5f-9696-0602b721ff3b,False,,Electric Light Orchestra,existing_shortlist,,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,18346991,4747672,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
Duran Duran,Birmingham,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,high,https://musicbrainz.org/artist/1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,False,,,existing_shortlist,,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,15110442,3956931,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
UB40,Birmingham,7113aab7-628f-4050-ae49-dbecac110ca8,high,https://musicbrainz.org/artist/7113aab7-628f-4050-ae49-dbecac110ca8,False,,,existing_shortlist,,69MEO1AADKg1IZrq2XLzo5,UB40,9346480,2783214,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
Editors,Birmingham,0efe858c-89e5-4e47-906a-356fa953fd6e,medium,https://musicbrainz.org/artist/0efe858c-89e5-4e47-906a-356fa953fd6e,False,,,existing_shortlist,Members formed the early group at university in Stafford and established Editors in Birmingham.,6e9wIFWhBPHLE9bXK8gtBI,Editors,1231261,786010,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
Judas Priest,Birmingham,6b335658-22c8-485d-93de-0bc29a1d0349,high,https://musicbrainz.org/artist/6b335658-22c8-485d-93de-0bc29a1d0349,False,,,agent_addition,,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,4126199,4743344,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
The Moody Blues,Birmingham,774666d2-2064-4d6c-856c-f8cda0aaf9f0,high,https://musicbrainz.org/artist/774666d2-2064-4d6c-856c-f8cda0aaf9f0,False,,,agent_addition,,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,2136351,1500599,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
The Spencer Davis Group,Birmingham,178fdfdf-e02e-4608-9b51-e53471e28a58,high,https://musicbrainz.org/artist/178fdfdf-e02e-4608-9b51-e53471e28a58,False,,,agent_addition,,3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,1087812,317108,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
Dexys Midnight Runners,Birmingham,ccce2053-7007-4c36-b1e7-f8fcf5023a12,high,https://musicbrainz.org/artist/ccce2053-7007-4c36-b1e7-f8fcf5023a12,False,,,agent_addition,,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,7976870,384610,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
Ocean Colour Scene,Birmingham,601d793d-7e96-4bb6-b4a6-712d5c926259,high,https://musicbrainz.org/artist/601d793d-7e96-4bb6-b4a6-712d5c926259,False,,,agent_addition,,5vIOGcdmx1eIkq3ZtuS12U,Ocean Colour Scene,606437,454655,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2607437
Oasis,Manchester,39ab1aed-75e0-4140-bd47-540276886b60,high,https://musicbrainz.org/artist/39ab1aed-75e0-4140-bd47-540276886b60,False,,,existing_shortlist,,2DaxqgrOhkeH0fpeiQq2f4,Oasis,38993195,13931085,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
The Smiths,Manchester,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,high,https://musicbrainz.org/artist/40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,False,,,existing_shortlist,,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,22497823,8764552,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
New Order,Manchester,f1106b17-dcbb-45f6-b938-199ccfab50cc,medium,https://musicbrainz.org/artist/f1106b17-dcbb-45f6-b938-199ccfab50cc,False,,,existing_shortlist,MusicBrainz gives Salford; included within the Greater Manchester built-up area.,0yNLKJebCb8Aueb54LYya3,New Order,8755971,2650437,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
The Stone Roses,Manchester,b5fa29f1-6c22-4321-a488-b5f363b06b06,high,https://musicbrainz.org/artist/b5fa29f1-6c22-4321-a488-b5f363b06b06,False,,,existing_shortlist,,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,3481236,1862765,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
The 1975,Manchester,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,high,https://musicbrainz.org/artist/5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,False,,,existing_shortlist,,3mIj9lX2MWuHmhNCA7LSCW,The 1975,18897779,8580184,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
Joy Division,Manchester,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,medium,https://musicbrainz.org/artist/9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,False,,,agent_addition,MusicBrainz gives Salford; included within the Greater Manchester built-up area.,432R46LaYsJZV2Gmc4jUV5,Joy Division,4137144,2964661,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
The Chemical Brothers,Manchester,1946a82a-f927-40c2-8235-38d64f50d043,high,https://musicbrainz.org/artist/1946a82a-f927-40c2-8235-38d64f50d043,False,,,agent_addition,,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,9174580,2434559,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
Simply Red,Manchester,a9100753-f539-43cf-bcc9-579566fb512e,high,https://musicbrainz.org/artist/a9100753-f539-43cf-bcc9-579566fb512e,True,,,agent_addition,Formally eligible group; soul-pop editorial review.,1fa0cOhromAZdq2xRA4vv8,Simply Red,9037314,2960096,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
Take That,Manchester,24d2505b-388c-46cc-8a64-48223ea6d78d,high,https://musicbrainz.org/artist/24d2505b-388c-46cc-8a64-48223ea6d78d,True,,,agent_addition,Formally eligible group; pop editorial review.,1XgFuvRd7r5g0h844A5ZUQ,Take That,6535470,1517163,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,2867826
Happy Mondays,Manchester,01f4fb92-6bf0-4de5-83dc-3fe194e763bf,medium,https://musicbrainz.org/artist/01f4fb92-6bf0-4de5-83dc-3fe194e763bf,False,https://open.spotify.com/artist/339DNkQkuhHKEcHw6oK8f0,Happy Mondays,agent_addition,MusicBrainz gives Little Hulton; included within the Greater Manchester built-up area.,339DNkQkuhHKEcHw6oK8f0,Happy Mondays,653044,462465,2026-07-17,Spotify public artist page,exact,catalogue override,2867826
Simple Minds,Glasgow,f41490ce-fe39-435d-86c0-ab5ce098b423,high,https://musicbrainz.org/artist/f41490ce-fe39-435d-86c0-ab5ce098b423,False,,,existing_shortlist,,6hN9F0iuULZYWXppob22Aj,Simple Minds,9624401,2504010,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
Primal Scream,Glasgow,55704c38-224f-4b75-b29f-d43653f8bc9a,high,https://musicbrainz.org/artist/55704c38-224f-4b75-b29f-d43653f8bc9a,False,,,existing_shortlist,,3wury2nd8idV4GecUg5xze,Primal Scream,1168342,590729,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
Belle and Sebastian,Glasgow,e5c7b94f-e264-473c-bb0f-37c85d4d5c70,high,https://musicbrainz.org/artist/e5c7b94f-e264-473c-bb0f-37c85d4d5c70,False,,,existing_shortlist,,4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,1142389,746937,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
Franz Ferdinand,Glasgow,aa7a2827-f74b-473c-bd79-03d065835cf7,high,https://musicbrainz.org/artist/aa7a2827-f74b-473c-bd79-03d065835cf7,False,,,existing_shortlist,,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,10799410,3217271,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
CHVRCHES,Glasgow,6a93afbb-257f-4166-b389-9f2a1e5c5df8,high,https://musicbrainz.org/artist/6a93afbb-257f-4166-b389-9f2a1e5c5df8,False,,,existing_shortlist,,3CjlHNtplJyTf9npxaPl5w,CHVRCHES,4165963,1434679,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
Mogwai,Glasgow,d700b3f5-45af-4d02-95ed-57d301bda93e,high,https://musicbrainz.org/artist/d700b3f5-45af-4d02-95ed-57d301bda93e,False,,,agent_addition,,34UhPkLbtFKRq3nmfFgejG,Mogwai,369180,647158,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
Texas,Glasgow,7289d10d-d8d2-41ff-8308-c56ec9346e07,high,https://musicbrainz.org/artist/7289d10d-d8d2-41ff-8308-c56ec9346e07,False,,,agent_addition,,5JsdVATHNPE0XdMFMRoSuf,Texas,2419865,571930,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
Deacon Blue,Glasgow,1d46cb3a-8071-45ba-855e-74e3cff20974,high,https://musicbrainz.org/artist/1d46cb3a-8071-45ba-855e-74e3cff20974,False,,,agent_addition,,5jqKIZLB5WA5KquEihB3ND,Deacon Blue,614764,256030,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
Del Amitri,Glasgow,5b86617f-e775-4675-b6d3-c4ad95d05409,high,https://musicbrainz.org/artist/5b86617f-e775-4675-b6d3-c4ad95d05409,False,,,agent_addition,,2Q4FnG5T6NTUcAAZwuMV5K,Del Amitri,831032,116999,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
The Fratellis,Glasgow,f4ad883e-9a92-45ed-a540-a49c2d1c36dd,high,https://musicbrainz.org/artist/f4ad883e-9a92-45ed-a540-a49c2d1c36dd,False,,,agent_addition,,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,4148551,958447,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1673332
The Beatles,Liverpool,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,high,https://musicbrainz.org/artist/b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,False,,,existing_shortlist,,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,37817522,32378653,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
Echo & the Bunnymen,Liverpool,ccd4879c-5e88-4385-b131-bf65296bf245,high,https://musicbrainz.org/artist/ccd4879c-5e88-4385-b131-bf65296bf245,False,,,existing_shortlist,,0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,2210375,1120203,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
Frankie Goes to Hollywood,Liverpool,c09c8263-40ef-4352-8031-e438b1ce68fc,high,https://musicbrainz.org/artist/c09c8263-40ef-4352-8031-e438b1ce68fc,False,,,existing_shortlist,,1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,2763194,960555,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
The La's,Liverpool,ff3e88b3-7354-4f30-967c-1a61ebc8c642,high,https://musicbrainz.org/artist/ff3e88b3-7354-4f30-967c-1a61ebc8c642,False,,,existing_shortlist,,47Z8LEl3LnQkcpva0xSthT,The La's,5584504,319883,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
The Wombats,Liverpool,e105c272-b5d7-4135-82ef-d60bded54345,high,https://musicbrainz.org/artist/e105c272-b5d7-4135-82ef-d60bded54345,False,,,existing_shortlist,,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,2892885,1143444,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
Dead or Alive,Liverpool,98720123-fcec-47be-9e88-29a310fb2942,high,https://musicbrainz.org/artist/98720123-fcec-47be-9e88-29a310fb2942,False,,,agent_addition,,5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,3275055,490241,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
Gerry and the Pacemakers,Liverpool,fe5fb618-2f8b-4158-92b6-464f31672bca,high,https://musicbrainz.org/artist/fe5fb618-2f8b-4158-92b6-464f31672bca,False,,Gerry & The Pacemakers,agent_addition,,3UmBeGyNwr4iDWi1vTxWi8,Gerry & The Pacemakers,1165593,313678,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
A Flock of Seagulls,Liverpool,aaa436da-b331-4e58-a0fd-3d64d090c120,high,https://musicbrainz.org/artist/aaa436da-b331-4e58-a0fd-3d64d090c120,False,https://open.spotify.com/artist/0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,agent_addition,,0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,4655838,774131,2026-07-17,Spotify public artist page,exact,catalogue override,1525690
Atomic Kitten,Liverpool,6fda00c2-449a-4bf4-838f-038d41a07c73,high,https://musicbrainz.org/artist/6fda00c2-449a-4bf4-838f-038d41a07c73,True,,,agent_addition,Formally eligible group; pop editorial review.,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,2748214,525124,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
The Lightning Seeds,Liverpool,1ba601a0-3401-4b28-8ddd-9af8203661e8,high,https://musicbrainz.org/artist/1ba601a0-3401-4b28-8ddd-9af8203661e8,True,,,agent_addition,MusicBrainz treats this as a group but it began as Ian Broudie's studio project.,67YNiSqhrx1P8oPvIIvbP5,The Lightning Seeds,1052245,189029,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1525690
Kaiser Chiefs,Leeds,90218af4-4d58-4821-8d41-2ee295ebbe21,high,https://musicbrainz.org/artist/90218af4-4d58-4821-8d41-2ee295ebbe21,False,,,existing_shortlist,,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,2989666,1421898,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
Soft Cell,Leeds,7fb50287-029d-47cc-825a-235ca28024b2,high,https://musicbrainz.org/artist/7fb50287-029d-47cc-825a-235ca28024b2,False,,,existing_shortlist,,6aq8T2RcspxVOGgMrTzjWc,Soft Cell,5776902,868737,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
Alt-J,Leeds,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,high,https://musicbrainz.org/artist/fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,False,,,existing_shortlist,,3XHO7cRUPCLOr6jwp8vsx5,alt-J,8139672,3498882,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
Sisters of Mercy,Leeds,553d8166-27b0-49fe-b8e4-89a984e2c375,high,https://musicbrainz.org/artist/553d8166-27b0-49fe-b8e4-89a984e2c375,False,,Sisters of Mercy,existing_shortlist,,4HxBVyHaUa60eCSsJWxwWR,Sisters of Mercy,994798,770894,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
The Wedding Present,Leeds,707622da-475f-48e1-905d-248718df6521,high,https://musicbrainz.org/artist/707622da-475f-48e1-905d-248718df6521,False,,,existing_shortlist,,4tyCvqG48h4LdcbFfWBjR9,The Wedding Present,45698,65561,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
The Mission,Leeds,d85e95a3-07c7-4c04-a411-234290615113,high,https://musicbrainz.org/artist/d85e95a3-07c7-4c04-a411-234290615113,False,,The Mission UK,agent_addition,,3DLtpqLMAU6uc0BOJ7JmlM,The Mission UK,6692,16914,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
Chumbawamba,Leeds,7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,high,https://musicbrainz.org/artist/7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,False,,,agent_addition,,0TcYeHEK9sBtv7xPbKhzHz,Chumbawamba,4697804,225476,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
The Mekons,Leeds,66d2169c-dea5-46d3-b4cb-52ed87b24ab0,high,https://musicbrainz.org/artist/66d2169c-dea5-46d3-b4cb-52ed87b24ab0,False,,Mekons,agent_addition,,1Ag6UM6dow2OH9V06mxzV5,Mekons,41008,27776,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
Gang of Four,Leeds,d8661c02-f423-4d72-8044-40ff05daf7a1,high,https://musicbrainz.org/artist/d8661c02-f423-4d72-8044-40ff05daf7a1,False,,,agent_addition,,3AmWjMXXtBJOmNGpUFSOAl,Gang Of Four,469029,292670,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
Nightmares on Wax,Leeds,b8c5cc4f-239f-4e02-b46f-b040b77c2030,high,https://musicbrainz.org/artist/b8c5cc4f-239f-4e02-b46f-b040b77c2030,False,,,agent_addition,,4tNxq9NGKTKaX8OkZBLgf0,Nightmares On Wax,1820522,556580,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1903228
Def Leppard,Sheffield,7249b899-8db8-43e7-9e6e-22f1e736024e,high,https://musicbrainz.org/artist/7249b899-8db8-43e7-9e6e-22f1e736024e,False,,,existing_shortlist,,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,10829951,6055009,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
The Human League,Sheffield,7adaabfb-acfb-47bc-8c7c-59471c2f0db8,high,https://musicbrainz.org/artist/7adaabfb-acfb-47bc-8c7c-59471c2f0db8,False,,,existing_shortlist,,1aX2dmV8XoHYCOQRxjPESG,The Human League,6074581,1369971,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
Pulp,Sheffield,76b2e842-5e85-4c97-ab62-d5bc315595b5,high,https://musicbrainz.org/artist/76b2e842-5e85-4c97-ab62-d5bc315595b5,False,,,existing_shortlist,,36E7oYfz3LLRto6l2WmDcD,Pulp,2822160,1164059,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
Arctic Monkeys,Sheffield,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,high,https://musicbrainz.org/artist/ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,False,,,existing_shortlist,,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,52245313,35019293,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
Bring Me The Horizon,Sheffield,074e3847-f67f-49f9-81f1-8c8cea147e8e,high,https://musicbrainz.org/artist/074e3847-f67f-49f9-81f1-8c8cea147e8e,False,,,existing_shortlist,,1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,13723179,7129522,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
Thompson Twins,Sheffield,228af6b5-f691-4ed2-a63b-10cc6fcc1144,high,https://musicbrainz.org/artist/228af6b5-f691-4ed2-a63b-10cc6fcc1144,False,,,agent_addition,,5jVeqi3PNaTOajfvBa4uFn,Thompson Twins,2057822,750563,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
ABC,Sheffield,87199477-b0df-4ead-84ee-9b54b4abfc3d,high,https://musicbrainz.org/artist/87199477-b0df-4ead-84ee-9b54b4abfc3d,False,https://open.spotify.com/artist/2s79xe5F6eUQkjwjww27Fh,ABC,agent_addition,,2s79xe5F6eUQkjwjww27Fh,ABC,1032939,431546,2026-07-17,Spotify public artist page,exact,catalogue override,1569000
Moloko,Sheffield,2f94016a-3880-4d8c-9af9-0e197ee77189,high,https://musicbrainz.org/artist/2f94016a-3880-4d8c-9af9-0e197ee77189,False,,,agent_addition,,4aaBjq7VqqQvpSF69GglvO,Moloko,2508316,516311,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
Heaven 17,Sheffield,0796f847-09ca-4526-b17e-44390dd536ba,high,https://musicbrainz.org/artist/0796f847-09ca-4526-b17e-44390dd536ba,False,,,agent_addition,,5PYuBRQMHh7nWmdV076sH9,Heaven 17,343155,273271,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1569000
Cabaret Voltaire,Sheffield,439a29ad-f4ef-4857-a7cd-3d4a551056c8,high,https://musicbrainz.org/artist/439a29ad-f4ef-4857-a7cd-3d4a551056c8,False,https://open.spotify.com/artist/2kS4yz85MaZlxp2VaS3BEe,Cabaret Voltaire,agent_addition,,2kS4yz85MaZlxp2VaS3BEe,Cabaret Voltaire,45681,118598,2026-07-17,Spotify public artist page,exact,catalogue override,1569000
Smokie,Bradford,165e2705-abf7-4f1b-8971-4ceed8769c4d,high,https://musicbrainz.org/artist/165e2705-abf7-4f1b-8971-4ceed8769c4d,False,,,existing_shortlist,,53K7zDzY3McLG1sAg6l2wZ,Smokie,13599,184,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1379872
The Negatives,Bradford,78e78c9a-55f3-4004-be23-9e8e94d639f9,high,https://musicbrainz.org/artist/78e78c9a-55f3-4004-be23-9e8e94d639f9,False,https://open.spotify.com/artist/36dRY3CYXgYmxkJIxFssyh,The Negatives,eligibility_replacement,Replaces solo artist Kiki Dee in the independent scene-depth catalogue.,36dRY3CYXgYmxkJIxFssyh,The Negatives,179,383,2026-07-17,Spotify public artist page,exact,catalogue override,1379872
1919,Bradford,dca0d1d9-e9f6-439e-8567-96da7ada6611,high,https://musicbrainz.org/artist/dca0d1d9-e9f6-439e-8567-96da7ada6611,False,,,eligibility_replacement,Replaces solo artist Tasmin Archer in the independent scene-depth catalogue.,1y7JPbnD7PJpdjRZMDanUz,1919,4553,13321,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1379872
Poppy Factory,Bradford,a4504460-7d64-4732-b929-657c407c6f84,high,https://musicbrainz.org/artist/a4504460-7d64-4732-b929-657c407c6f84,False,https://open.spotify.com/artist/4NELcwVSl3zqJQHqjbDbHW,Poppy Factory,eligibility_replacement,Replaces Ivyrise because reliable biographies place Ivyrise's formation in Portsmouth.,4NELcwVSl3zqJQHqjbDbHW,Poppy Factory,150,97,2026-07-17,Spotify public artist page,exact,catalogue override,1379872
The Passmore Sisters,Bradford,7439c49e-d9cd-4504-a640-70b33fda8888,medium,https://en.wikipedia.org/wiki/Passmore_Sisters,False,,,eligibility_replacement,Replaces The Cult under a strict formation-origin rule.,0USsujXRISUOp6hj4DdcsT,The Passmore Sisters,138,304,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1379872
New Model Army,Bradford,e60e1f0b-1e8c-45e7-9d4a-222db9cb34f7,high,https://musicbrainz.org/artist/e60e1f0b-1e8c-45e7-9d4a-222db9cb34f7,False,,,agent_addition,,7n1EM42Fseebd9H2p8eWWS,New Model Army,227859,124756,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1379872
My Dying Bride,Bradford,2f04ad1f-9f97-41d0-a09c-59c40dfe9cd1,high,https://musicbrainz.org/artist/2f04ad1f-9f97-41d0-a09c-59c40dfe9cd1,False,,,agent_addition,,7iMWWdRNiCJwGOGEIYr02z,My Dying Bride,97885,210819,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,1379872
